role,arm,checkpoint,n,mean_loss,sd_loss,mean_masked
ALN,ALN,chck_100M,6992,2.4859815342208607,1.0752066945019192,34.691933638443935
ALN,ALN,chck_80M,6992,2.517526744534083,1.0819260966880582,34.691933638443935
ALN,ALN,chck_90M,6992,2.486861942147421,1.0737272032790008,34.691933638443935
DUP,DUP,chck_100M,6992,2.573057174797634,1.1092745508849045,34.691933638443935
DUP,DUP,chck_80M,6992,2.6129900147108516,1.1180827051599245,34.691933638443935
DUP,DUP,chck_90M,6992,2.5760036969468962,1.1085582521754564,34.691933638443935
OFF,OFF,chck_100M,6992,2.4927144512407335,1.0744595328436475,34.691933638443935
OFF,OFF,chck_80M,6992,2.535564145741018,1.083942358357079,34.691933638443935
OFF,OFF,chck_90M,6992,2.4995514069632168,1.0755802642871886,34.691933638443935
SEP,SEP,chck_100M,6992,2.6313143002073915,1.0968830379698158,34.691933638443935
SEP,SEP,chck_80M,6992,2.672418070540953,1.1029060738002199,34.691933638443935
SEP,SEP,chck_90M,6992,2.639295752256154,1.0986083546851766,34.691933638443935
SHUF,SHUF,chck_100M,6992,2.507017456519618,1.072059706339659,34.691933638443935
SHUF,SHUF,chck_80M,6992,2.550226040593683,1.0825577737276981,34.691933638443935
SHUF,SHUF,chck_90M,6992,2.509633000896795,1.0713613559777078,34.691933638443935
