role,arm,n_min,mean_loss,mean_masked
ALN,ALN,6992,2.4967900736341218,34.691933638443935
DUP,DUP,6992,2.5873502954851273,34.691933638443935
OFF,OFF,6992,2.509276667981656,34.691933638443935
SEP,SEP,6992,2.6476760410014997,34.691933638443935
SHUF,SHUF,6992,2.5222921660033655,34.691933638443935
