contrast,n_min,delta_loss,loss_a,loss_b
ALNminusOFF,6992,-0.012486594347534297,2.4967900736341218,2.509276667981656
ALNminusSEP,6992,-0.15088596736737792,2.4967900736341218,2.6476760410014997
ALNminusSHUF,6992,-0.025502092369243723,2.4967900736341218,2.5222921660033655
SHUFminusOFF,6992,0.013015498021709426,2.5222921660033655,2.509276667981656
SEPminusOFF,6992,0.13839937301984362,2.6476760410014997,2.509276667981656
DUPminusOFF,6992,0.07807362750347124,2.5873502954851273,2.509276667981656
ALNminusDUP,6992,-0.09056022185100554,2.4967900736341218,2.5873502954851273
DUPminusALN,6992,0.09056022185100554,2.5873502954851273,2.4967900736341218
SHUFminusSEP,6992,-0.1253838749981342,2.5222921660033655,2.6476760410014997
SEPminusSHUF,6992,0.1253838749981342,2.6476760410014997,2.5222921660033655
