arm,role,checkpoint,n,elapsed_sec,device
OFF,OFF,chck_80M,6992,12.54,cuda:1
OFF,OFF,chck_90M,6992,11.01,cuda:1
OFF,OFF,chck_100M,6992,10.89,cuda:1
DUP,DUP,chck_80M,6992,11.04,cuda:1
DUP,DUP,chck_90M,6992,10.8,cuda:1
DUP,DUP,chck_100M,6992,10.82,cuda:1
SHUF,SHUF,chck_80M,6992,10.86,cuda:1
SHUF,SHUF,chck_90M,6992,10.66,cuda:1
SHUF,SHUF,chck_100M,6992,11.01,cuda:1
SEP,SEP,chck_80M,6992,10.86,cuda:1
SEP,SEP,chck_90M,6992,10.96,cuda:1
SEP,SEP,chck_100M,6992,10.74,cuda:1
ALN,ALN,chck_80M,6992,10.98,cuda:1
ALN,ALN,chck_90M,6992,10.78,cuda:1
ALN,ALN,chck_100M,6992,10.73,cuda:1
