example_id,source,words,loss,n_masked,arm,role,checkpoint,seed
34715,gutenberg,160,3.149021625518799,26,OFF,OFF,chck_80M,43022
57252,simple_wiki,160,4.110564708709717,32,OFF,OFF,chck_80M,43022
245,bnc_spoken,160,3.546595811843872,29,OFF,OFF,chck_80M,43022
40267,open_subtitles,160,3.155508041381836,25,OFF,OFF,chck_80M,43022
29592,gutenberg,160,3.95873761177063,36,OFF,OFF,chck_80M,43022
25862,gutenberg,160,4.5193095207214355,29,OFF,OFF,chck_80M,43022
12973,childes,160,2.1945130825042725,27,OFF,OFF,chck_80M,43022
4568,bnc_spoken,160,3.1595561504364014,27,OFF,OFF,chck_80M,43022
34034,gutenberg,160,3.2942581176757812,32,OFF,OFF,chck_80M,43022
60763,simple_wiki,160,3.2250664234161377,33,OFF,OFF,chck_80M,43022
4664,bnc_spoken,160,2.868030548095703,34,OFF,OFF,chck_80M,43022
10575,childes,160,1.6408729553222656,30,OFF,OFF,chck_80M,43022
16004,childes,160,1.9006043672561646,41,OFF,OFF,chck_80M,43022
41264,open_subtitles,160,1.9453915357589722,32,OFF,OFF,chck_80M,43022
16052,childes,160,0.6056065559387207,36,OFF,OFF,chck_80M,43022
24796,gutenberg,160,3.598975658416748,38,OFF,OFF,chck_80M,43022
3202,bnc_spoken,160,4.22971248626709,24,OFF,OFF,chck_80M,43022
43196,open_subtitles,160,2.0604002475738525,29,OFF,OFF,chck_80M,43022
12105,childes,160,0.7056871652603149,35,OFF,OFF,chck_80M,43022
58281,simple_wiki,160,3.275268077850342,36,OFF,OFF,chck_80M,43022
18239,childes,160,1.4085663557052612,33,OFF,OFF,chck_80M,43022
54800,simple_wiki,160,3.769272565841675,40,OFF,OFF,chck_80M,43022
24538,gutenberg,160,4.153012752532959,40,OFF,OFF,chck_80M,43022
12025,childes,160,2.8377833366394043,36,OFF,OFF,chck_80M,43022
42529,open_subtitles,160,1.4852259159088135,34,OFF,OFF,chck_80M,43022
57450,simple_wiki,160,2.953415870666504,36,OFF,OFF,chck_80M,43022
47039,open_subtitles,160,2.847543478012085,25,OFF,OFF,chck_80M,43022
29746,gutenberg,160,3.257171154022217,28,OFF,OFF,chck_80M,43022
20530,childes,160,1.4246166944503784,50,OFF,OFF,chck_80M,43022
33127,gutenberg,160,2.3131840229034424,28,OFF,OFF,chck_80M,43022
4873,childes,160,0.7252403497695923,38,OFF,OFF,chck_80M,43022
24202,gutenberg,160,2.6849539279937744,29,OFF,OFF,chck_80M,43022
51788,open_subtitles,160,3.966371536254883,34,OFF,OFF,chck_80M,43022
58482,simple_wiki,160,3.4408621788024902,30,OFF,OFF,chck_80M,43022
22971,gutenberg,160,2.1738948822021484,19,OFF,OFF,chck_80M,43022
11799,childes,160,1.7216975688934326,36,OFF,OFF,chck_80M,43022
23001,gutenberg,160,2.6174020767211914,35,OFF,OFF,chck_80M,43022
6329,childes,160,1.2351748943328857,41,OFF,OFF,chck_80M,43022
61321,simple_wiki,160,3.6232028007507324,32,OFF,OFF,chck_80M,43022
14794,childes,160,1.8226648569107056,37,OFF,OFF,chck_80M,43022
49926,open_subtitles,160,2.421630859375,33,OFF,OFF,chck_80M,43022
48631,open_subtitles,160,3.1591243743896484,29,OFF,OFF,chck_80M,43022
30689,gutenberg,160,3.1207046508789062,27,OFF,OFF,chck_80M,43022
22560,gutenberg,160,3.2522661685943604,31,OFF,OFF,chck_80M,43022
10694,childes,160,2.178002119064331,38,OFF,OFF,chck_80M,43022
40690,open_subtitles,160,1.9660366773605347,34,OFF,OFF,chck_80M,43022
12163,childes,160,0.38194024562835693,35,OFF,OFF,chck_80M,43022
14405,childes,160,1.5320441722869873,37,OFF,OFF,chck_80M,43022
8343,childes,160,1.5701665878295898,31,OFF,OFF,chck_80M,43022
14477,childes,160,0.9984226226806641,46,OFF,OFF,chck_80M,43022
49825,open_subtitles,160,2.5660252571105957,32,OFF,OFF,chck_80M,43022
43292,open_subtitles,160,3.383916139602661,44,OFF,OFF,chck_80M,43022
17801,childes,160,1.4933135509490967,35,OFF,OFF,chck_80M,43022
53263,simple_wiki,160,3.2364370822906494,41,OFF,OFF,chck_80M,43022
34920,gutenberg,160,3.070988655090332,30,OFF,OFF,chck_80M,43022
22365,childes,160,1.1217116117477417,51,OFF,OFF,chck_80M,43022
46420,open_subtitles,160,2.700982093811035,34,OFF,OFF,chck_80M,43022
19704,childes,160,1.9652496576309204,40,OFF,OFF,chck_80M,43022
20945,childes,160,1.2462579011917114,37,OFF,OFF,chck_80M,43022
25709,gutenberg,160,2.4822657108306885,35,OFF,OFF,chck_80M,43022
14021,childes,160,1.9909188747406006,42,OFF,OFF,chck_80M,43022
15069,childes,160,0.9349453449249268,38,OFF,OFF,chck_80M,43022
34392,gutenberg,160,2.3447232246398926,23,OFF,OFF,chck_80M,43022
5691,childes,160,1.475312352180481,45,OFF,OFF,chck_80M,43022
28077,gutenberg,160,3.2274959087371826,35,OFF,OFF,chck_80M,43022
1678,bnc_spoken,160,4.5043158531188965,33,OFF,OFF,chck_80M,43022
60002,simple_wiki,160,5.606309413909912,40,OFF,OFF,chck_80M,43022
15751,childes,160,2.037613868713379,31,OFF,OFF,chck_80M,43022
43270,open_subtitles,160,3.303964614868164,31,OFF,OFF,chck_80M,43022
7032,childes,160,1.619118571281433,37,OFF,OFF,chck_80M,43022
43417,open_subtitles,160,3.259500026702881,38,OFF,OFF,chck_80M,43022
10326,childes,160,1.5931947231292725,41,OFF,OFF,chck_80M,43022
8165,childes,160,1.3869054317474365,37,OFF,OFF,chck_80M,43022
3176,bnc_spoken,160,2.38293194770813,36,OFF,OFF,chck_80M,43022
14015,childes,160,1.5421431064605713,37,OFF,OFF,chck_80M,43022
9557,childes,160,0.9054796695709229,30,OFF,OFF,chck_80M,43022
24856,gutenberg,160,3.3312695026397705,30,OFF,OFF,chck_80M,43022
14445,childes,160,2.8239076137542725,40,OFF,OFF,chck_80M,43022
58172,simple_wiki,160,3.854308605194092,33,OFF,OFF,chck_80M,43022
53393,simple_wiki,160,4.61165189743042,43,OFF,OFF,chck_80M,43022
42785,open_subtitles,160,2.590360641479492,38,OFF,OFF,chck_80M,43022
56464,simple_wiki,160,3.1092841625213623,42,OFF,OFF,chck_80M,43022
62077,simple_wiki,160,4.799448013305664,26,OFF,OFF,chck_80M,43022
19858,childes,160,2.0400402545928955,32,OFF,OFF,chck_80M,43022
51065,open_subtitles,160,4.052452564239502,38,OFF,OFF,chck_80M,43022
2742,bnc_spoken,160,2.8205342292785645,32,OFF,OFF,chck_80M,43022
53193,simple_wiki,160,3.387233018875122,40,OFF,OFF,chck_80M,43022
7684,childes,160,2.2602248191833496,46,OFF,OFF,chck_80M,43022
26402,gutenberg,160,3.0176284313201904,24,OFF,OFF,chck_80M,43022
19296,childes,160,2.0655601024627686,30,OFF,OFF,chck_80M,43022
21992,childes,160,0.9000445008277893,47,OFF,OFF,chck_80M,43022
52738,open_subtitles,160,2.4972989559173584,37,OFF,OFF,chck_80M,43022
1782,bnc_spoken,160,3.515650510787964,24,OFF,OFF,chck_80M,43022
9009,childes,160,1.169337511062622,40,OFF,OFF,chck_80M,43022
35332,gutenberg,160,2.8578219413757324,32,OFF,OFF,chck_80M,43022
36631,gutenberg,160,2.3415544033050537,28,OFF,OFF,chck_80M,43022
27893,gutenberg,160,3.214233875274658,25,OFF,OFF,chck_80M,43022
45118,open_subtitles,160,2.5407216548919678,39,OFF,OFF,chck_80M,43022
13042,childes,160,1.1241103410720825,49,OFF,OFF,chck_80M,43022
47026,open_subtitles,160,2.904940605163574,45,OFF,OFF,chck_80M,43022
46093,open_subtitles,160,3.144407272338867,39,OFF,OFF,chck_80M,43022
9638,childes,160,2.8034756183624268,36,OFF,OFF,chck_80M,43022
38847,open_subtitles,160,3.0668909549713135,34,OFF,OFF,chck_80M,43022
25389,gutenberg,160,3.1287572383880615,22,OFF,OFF,chck_80M,43022
23610,gutenberg,160,1.8160697221755981,45,OFF,OFF,chck_80M,43022
9850,childes,160,1.486596703529358,39,OFF,OFF,chck_80M,43022
33545,gutenberg,160,2.2559168338775635,39,OFF,OFF,chck_80M,43022
27677,gutenberg,160,2.2748725414276123,30,OFF,OFF,chck_80M,43022
31140,gutenberg,160,3.3385674953460693,24,OFF,OFF,chck_80M,43022
39267,open_subtitles,160,3.2399168014526367,27,OFF,OFF,chck_80M,43022
42641,open_subtitles,160,3.33770751953125,32,OFF,OFF,chck_80M,43022
16252,childes,160,1.2187047004699707,36,OFF,OFF,chck_80M,43022
21179,childes,160,2.2260096073150635,26,OFF,OFF,chck_80M,43022
36547,gutenberg,160,2.832545757293701,28,OFF,OFF,chck_80M,43022
31372,gutenberg,160,4.6234307289123535,35,OFF,OFF,chck_80M,43022
48479,open_subtitles,160,3.064835548400879,33,OFF,OFF,chck_80M,43022
8771,childes,160,1.2978891134262085,36,OFF,OFF,chck_80M,43022
35397,gutenberg,160,3.4957969188690186,37,OFF,OFF,chck_80M,43022
21260,childes,160,1.566024661064148,40,OFF,OFF,chck_80M,43022
13377,childes,160,1.5044573545455933,35,OFF,OFF,chck_80M,43022
16330,childes,160,1.4830785989761353,34,OFF,OFF,chck_80M,43022
47969,open_subtitles,160,4.347609043121338,45,OFF,OFF,chck_80M,43022
37483,gutenberg,160,4.243202209472656,33,OFF,OFF,chck_80M,43022
14826,childes,160,2.237253189086914,37,OFF,OFF,chck_80M,43022
40156,open_subtitles,160,2.607909679412842,40,OFF,OFF,chck_80M,43022
19420,childes,160,2.5318901538848877,27,OFF,OFF,chck_80M,43022
27140,gutenberg,160,4.062249183654785,24,OFF,OFF,chck_80M,43022
7181,childes,160,0.7483314275741577,32,OFF,OFF,chck_80M,43022
27695,gutenberg,160,3.174830198287964,39,OFF,OFF,chck_80M,43022
1384,bnc_spoken,160,3.0794897079467773,36,OFF,OFF,chck_80M,43022
20591,childes,160,1.5239982604980469,32,OFF,OFF,chck_80M,43022
21970,childes,160,1.517560362815857,34,OFF,OFF,chck_80M,43022
8436,childes,160,2.0931332111358643,34,OFF,OFF,chck_80M,43022
59742,simple_wiki,160,3.36385440826416,33,OFF,OFF,chck_80M,43022
55526,simple_wiki,160,1.3071528673171997,42,OFF,OFF,chck_80M,43022
29340,gutenberg,160,4.930513381958008,31,OFF,OFF,chck_80M,43022
33364,gutenberg,160,2.464470148086548,33,OFF,OFF,chck_80M,43022
55845,simple_wiki,160,2.0393011569976807,34,OFF,OFF,chck_80M,43022
49750,open_subtitles,160,1.8953112363815308,44,OFF,OFF,chck_80M,43022
46059,open_subtitles,160,2.088900566101074,42,OFF,OFF,chck_80M,43022
10122,childes,160,1.1490987539291382,42,OFF,OFF,chck_80M,43022
2911,bnc_spoken,160,2.8599720001220703,20,OFF,OFF,chck_80M,43022
29628,gutenberg,160,3.8077077865600586,35,OFF,OFF,chck_80M,43022
3336,bnc_spoken,160,2.2359817028045654,24,OFF,OFF,chck_80M,43022
39750,open_subtitles,160,3.2184524536132812,34,OFF,OFF,chck_80M,43022
11887,childes,160,1.1448700428009033,44,OFF,OFF,chck_80M,43022
37409,gutenberg,160,5.502136707305908,29,OFF,OFF,chck_80M,43022
16087,childes,160,0.4573272466659546,45,OFF,OFF,chck_80M,43022
55281,simple_wiki,160,2.875387668609619,27,OFF,OFF,chck_80M,43022
19070,childes,160,2.0952141284942627,31,OFF,OFF,chck_80M,43022
50032,open_subtitles,160,2.626258373260498,26,OFF,OFF,chck_80M,43022
57454,simple_wiki,160,3.393893003463745,34,OFF,OFF,chck_80M,43022
34510,gutenberg,160,2.925783157348633,30,OFF,OFF,chck_80M,43022
12407,childes,160,1.686863899230957,37,OFF,OFF,chck_80M,43022
38516,open_subtitles,160,1.969071865081787,33,OFF,OFF,chck_80M,43022
