example_id,source,words,loss,n_masked,arm,role,checkpoint,seed
34715,gutenberg,160,2.975346088409424,26,OFF,OFF,chck_80M,43022
57252,simple_wiki,160,4.230008602142334,32,OFF,OFF,chck_80M,43022
245,bnc_spoken,160,3.5702335834503174,29,OFF,OFF,chck_80M,43022
40267,open_subtitles,160,3.2262966632843018,25,OFF,OFF,chck_80M,43022
29592,gutenberg,160,3.8852298259735107,36,OFF,OFF,chck_80M,43022
25862,gutenberg,160,4.650529384613037,29,OFF,OFF,chck_80M,43022
12973,childes,160,2.075251817703247,27,OFF,OFF,chck_80M,43022
4568,bnc_spoken,160,2.930022716522217,27,OFF,OFF,chck_80M,43022
34034,gutenberg,160,3.430260181427002,32,OFF,OFF,chck_80M,43022
60763,simple_wiki,160,3.2525570392608643,33,OFF,OFF,chck_80M,43022
4664,bnc_spoken,160,3.1641087532043457,34,OFF,OFF,chck_80M,43022
10575,childes,160,1.5012131929397583,30,OFF,OFF,chck_80M,43022
16004,childes,160,1.790561318397522,41,OFF,OFF,chck_80M,43022
41264,open_subtitles,160,2.0874075889587402,32,OFF,OFF,chck_80M,43022
16052,childes,160,0.5579190850257874,36,OFF,OFF,chck_80M,43022
24796,gutenberg,160,3.6643099784851074,38,OFF,OFF,chck_80M,43022
3202,bnc_spoken,160,4.119126796722412,24,OFF,OFF,chck_80M,43022
43196,open_subtitles,160,2.215757131576538,29,OFF,OFF,chck_80M,43022
12105,childes,160,0.8481602668762207,35,OFF,OFF,chck_80M,43022
58281,simple_wiki,160,3.089596748352051,36,OFF,OFF,chck_80M,43022
18239,childes,160,1.323033332824707,33,OFF,OFF,chck_80M,43022
54800,simple_wiki,160,3.8390729427337646,40,OFF,OFF,chck_80M,43022
24538,gutenberg,160,4.369734287261963,40,OFF,OFF,chck_80M,43022
12025,childes,160,3.037215232849121,36,OFF,OFF,chck_80M,43022
42529,open_subtitles,160,1.6476242542266846,34,OFF,OFF,chck_80M,43022
57450,simple_wiki,160,3.2573671340942383,36,OFF,OFF,chck_80M,43022
47039,open_subtitles,160,2.7665579319000244,25,OFF,OFF,chck_80M,43022
29746,gutenberg,160,3.3571200370788574,28,OFF,OFF,chck_80M,43022
20530,childes,160,1.3171087503433228,50,OFF,OFF,chck_80M,43022
33127,gutenberg,160,2.3707187175750732,28,OFF,OFF,chck_80M,43022
4873,childes,160,0.6083784103393555,38,OFF,OFF,chck_80M,43022
24202,gutenberg,160,2.3992698192596436,29,OFF,OFF,chck_80M,43022
51788,open_subtitles,160,3.8485188484191895,34,OFF,OFF,chck_80M,43022
58482,simple_wiki,160,3.4582736492156982,30,OFF,OFF,chck_80M,43022
22971,gutenberg,160,2.439251661300659,19,OFF,OFF,chck_80M,43022
11799,childes,160,1.727070689201355,36,OFF,OFF,chck_80M,43022
23001,gutenberg,160,2.5822291374206543,35,OFF,OFF,chck_80M,43022
6329,childes,160,1.1387367248535156,41,OFF,OFF,chck_80M,43022
61321,simple_wiki,160,3.735233783721924,32,OFF,OFF,chck_80M,43022
14794,childes,160,1.8344285488128662,37,OFF,OFF,chck_80M,43022
49926,open_subtitles,160,2.586298704147339,33,OFF,OFF,chck_80M,43022
48631,open_subtitles,160,3.1163346767425537,29,OFF,OFF,chck_80M,43022
30689,gutenberg,160,3.2674543857574463,27,OFF,OFF,chck_80M,43022
22560,gutenberg,160,3.477095127105713,31,OFF,OFF,chck_80M,43022
10694,childes,160,2.3633275032043457,38,OFF,OFF,chck_80M,43022
40690,open_subtitles,160,2.0870273113250732,34,OFF,OFF,chck_80M,43022
12163,childes,160,0.42104482650756836,35,OFF,OFF,chck_80M,43022
14405,childes,160,1.3145097494125366,37,OFF,OFF,chck_80M,43022
8343,childes,160,1.6290593147277832,31,OFF,OFF,chck_80M,43022
14477,childes,160,0.987940788269043,46,OFF,OFF,chck_80M,43022
49825,open_subtitles,160,2.6744184494018555,32,OFF,OFF,chck_80M,43022
43292,open_subtitles,160,3.391838550567627,44,OFF,OFF,chck_80M,43022
17801,childes,160,1.9437705278396606,35,OFF,OFF,chck_80M,43022
53263,simple_wiki,160,3.933185338973999,41,OFF,OFF,chck_80M,43022
34920,gutenberg,160,3.3085694313049316,30,OFF,OFF,chck_80M,43022
22365,childes,160,1.1437934637069702,51,OFF,OFF,chck_80M,43022
46420,open_subtitles,160,2.7987823486328125,34,OFF,OFF,chck_80M,43022
19704,childes,160,2.095824956893921,40,OFF,OFF,chck_80M,43022
20945,childes,160,1.2775815725326538,37,OFF,OFF,chck_80M,43022
25709,gutenberg,160,2.4858150482177734,35,OFF,OFF,chck_80M,43022
14021,childes,160,1.7663494348526,42,OFF,OFF,chck_80M,43022
15069,childes,160,0.8701053261756897,38,OFF,OFF,chck_80M,43022
34392,gutenberg,160,2.3707547187805176,23,OFF,OFF,chck_80M,43022
5691,childes,160,1.501981496810913,45,OFF,OFF,chck_80M,43022
28077,gutenberg,160,3.402082681655884,35,OFF,OFF,chck_80M,43022
1678,bnc_spoken,160,4.260775566101074,33,OFF,OFF,chck_80M,43022
60002,simple_wiki,160,5.746989727020264,40,OFF,OFF,chck_80M,43022
15751,childes,160,1.7610806226730347,31,OFF,OFF,chck_80M,43022
43270,open_subtitles,160,3.170905351638794,31,OFF,OFF,chck_80M,43022
7032,childes,160,1.5180782079696655,37,OFF,OFF,chck_80M,43022
43417,open_subtitles,160,3.1540279388427734,38,OFF,OFF,chck_80M,43022
10326,childes,160,1.4570550918579102,41,OFF,OFF,chck_80M,43022
8165,childes,160,1.5168111324310303,37,OFF,OFF,chck_80M,43022
