arm,role,checkpoint,n,elapsed_sec,device
OFF,OFF,chck_80M,6992,14.11,cuda:1
OFF,OFF,chck_90M,6992,11.17,cuda:1
OFF,OFF,chck_100M,6992,10.95,cuda:1
ALN,ALN,chck_80M,6992,12.15,cuda:1
ALN,ALN,chck_90M,6992,12.17,cuda:1
ALN,ALN,chck_100M,6992,12.1,cuda:1
