group,V_acc,V_stale_pct,n,R_acc,R_stale_pct,C_acc,C_stale_pct,VminusR,VminusC,RminusC
ALL,25.904621435594887,39.81062982050539,6780,25.058997050147493,50.50403442789369,26.48967551622419,34.595922875130526,0.8456243854473939,-0.5850540806293019,-1.4306784660766958
rel_updates_0,36.88081332468094,nan,1541,39.56305429374865,nan,36.44819381354099,nan,-2.6822409690677063,0.4326195111399542,3.1148604802076605
rel_updates_1,16.57848324514991,73.21428571428571,1323,15.747039556563365,33.333333333333336,16.75485008818342,28.484848484848484,0.8314436885865462,-0.17636684303350947,-1.0078105316200556
rel_updates_2,22.406529752501317,40.44835967127226,1266,19.931542917324908,52.56770651939566,20.905739863085834,37.67746367525454,2.4749868351764093,1.5007898894154827,-0.9741969457609265
rel_updates_3,23.902439024390244,41.08396391774614,1230,21.761517615176153,49.15846464991731,25.094850948509485,32.386165658224485,2.1409214092140907,-1.1924119241192415,-3.333333333333332
rel_updates_4,27.607913669064747,37.79222676797195,1112,25.569544364508392,52.4131417391891,31.205035971223023,34.66666666666667,2.0383693045563547,-3.597122302158276,-5.635491606714631
rel_updates_5,27.272727272727273,35.37707390648567,308,24.891774891774894,38.30690575642287,29.97835497835498,23.465160075329567,2.3809523809523796,-2.7056277056277054,-5.086580086580085
rel_ge1,22.67608322198893,39.81062982050539,5239,20.792772157536426,50.50403442789369,23.560475917796015,34.595922875130526,1.8833110644525028,-0.8843926958070867,-2.7677037602595895
rel_ge2,24.73612529792305,39.5443172665793,3916,22.497446373850867,50.667226841185204,25.859720803541027,34.6600990493006,2.2386789240721825,-1.1235955056179776,-3.36227442969016
rel_ge3,25.849056603773587,38.90279915419438,2650,23.72327044025157,49.27138855810677,28.22641509433962,32.34735386659122,2.125786163522015,-2.377358490566035,-4.50314465408805
