arm,group,n_checkpoints,n,late_mean_accuracy_pct,late_mean_stale_pct
C,ALL,3,6780,26.48967551622419,34.595922875130526
C,rel_ge1,3,5239,23.560475917796015,34.595922875130526
C,rel_ge2,3,3916,25.859720803541027,34.6600990493006
C,rel_ge3,3,2650,28.22641509433962,32.34735386659122
C,rel_updates_0,3,1541,36.44819381354099,nan
C,rel_updates_1,3,1323,16.75485008818342,28.484848484848484
C,rel_updates_2,3,1266,20.905739863085834,37.67746367525454
C,rel_updates_3,3,1230,25.094850948509485,32.386165658224485
C,rel_updates_4,3,1112,31.205035971223023,34.66666666666667
C,rel_updates_5,3,308,29.97835497835498,23.465160075329567
