arm,checkpoint,group,n,accuracy_pct,stale_pick_pct,mean_relevant_updates,mean_total_ops,mean_prefix_words
C,chck_100M,ALL,6780,26.40117994100295,34.83516483516483,1.9960176991150442,7.359587020648967,120.59041297935103
C,chck_100M,rel_ge1,5239,23.344149646879174,34.83516483516483,2.5831265508684864,8.527772475663294,129.96087039511357
C,chck_100M,rel_ge2,3916,25.56179775280899,35.0,3.1179775280898876,9.274770173646578,136.0349846782431
C,chck_100M,rel_ge3,2650,27.849056603773583,32.28346456692913,3.6520754716981134,9.80188679245283,140.93735849056603
C,chck_100M,rel_updates_0,1541,36.794289422452955,nan,0.0,3.388059701492537,88.73329007138221
C,chck_100M,rel_updates_1,1323,16.780045351473923,20.0,1.0,6.316704459561603,111.98185941043084
C,chck_100M,rel_updates_2,1266,20.774091627172197,38.52040816326531,2.0,8.171406003159557,125.77330173775671
C,chck_100M,rel_updates_3,1230,24.634146341463413,31.696428571428573,3.0,9.44308943089431,137.81463414634146
C,chck_100M,rel_updates_4,1112,30.93525179856115,35.111111111111114,4.0,10.02158273381295,142.931654676259
C,chck_100M,rel_updates_5,308,29.545454545454547,23.728813559322035,5.0,10.441558441558442,146.2077922077922
C,chck_80M,ALL,6780,26.150442477876105,34.9171270718232,1.9960176991150442,7.359587020648967,120.59041297935103
C,chck_80M,rel_ge1,5239,23.439587707577783,34.9171270718232,2.5831265508684864,8.527772475663294,129.96087039511357
C,chck_80M,rel_ge2,3916,25.663942798774258,34.78747203579418,3.1179775280898876,9.274770173646578,136.0349846782431
C,chck_80M,rel_ge3,2650,28.150943396226417,32.608695652173914,3.6520754716981134,9.80188679245283,140.93735849056603
C,chck_80M,rel_updates_0,1541,35.36664503569111,nan,0.0,3.388059701492537,88.73329007138221
C,chck_80M,rel_updates_1,1323,16.855631141345427,45.45454545454545,1.0,6.316704459561603,111.98185941043084
C,chck_80M,rel_updates_2,1266,20.458135860979464,37.628865979381445,2.0,8.171406003159557,125.77330173775671
C,chck_80M,rel_updates_3,1230,25.365853658536587,32.57918552036199,3.0,9.44308943089431,137.81463414634146
C,chck_80M,rel_updates_4,1112,30.665467625899282,35.111111111111114,4.0,10.02158273381295,142.931654676259
C,chck_80M,rel_updates_5,308,30.194805194805195,23.333333333333332,5.0,10.441558441558442,146.2077922077922
C,chck_90M,ALL,6780,26.91740412979351,34.03547671840355,1.9960176991150442,7.359587020648967,120.59041297935103
C,chck_90M,rel_ge1,5239,23.897690398931093,34.03547671840355,2.5831265508684864,8.527772475663294,129.96087039511357
C,chck_90M,rel_ge2,3916,26.353421859039837,34.19282511210762,3.1179775280898876,9.274770173646578,136.0349846782431
C,chck_90M,rel_ge3,2650,28.67924528301887,32.14990138067061,3.6520754716981134,9.80188679245283,140.93735849056603
C,chck_90M,rel_updates_0,1541,37.18364698247891,nan,0.0,3.388059701492537,88.73329007138221
C,chck_90M,rel_updates_1,1323,16.628873771730916,20.0,1.0,6.316704459561603,111.98185941043084
C,chck_90M,rel_updates_2,1266,21.484992101105846,36.883116883116884,2.0,8.171406003159557,125.77330173775671
C,chck_90M,rel_updates_3,1230,25.284552845528456,32.88288288288288,3.0,9.44308943089431,137.81463414634146
C,chck_90M,rel_updates_4,1112,32.014388489208635,33.77777777777778,4.0,10.02158273381295,142.931654676259
C,chck_90M,rel_updates_5,308,30.194805194805195,23.333333333333332,5.0,10.441558441558442,146.2077922077922
