checkpoint,words_m,family,view_score,repeat_score,V_minus_R,view_minus_50,repeat_minus_50,both_EWoK_within_49_51,view_per_target,repeat_per_target
chck_80M,80,Entity,27.96,25.27,2.6900000000000013,,,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_80M.json,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_80M.json
chck_90M,90,Entity,27.44,24.71,2.7300000000000004,,,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_90M.json,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_90M.json
chck_100M,100,Entity,27.42,25.22,2.200000000000003,,,,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_100M.json,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/repeat_eval/per_target/second_basin_max_repeat_seed43122_chck_100M.json
