binary_delta,checkpoint,domain,dose_name,family,interaction_delta_view_minus_repeat,margin_delta_view_minus_repeat,numops,repeat_correct,repeat_interaction,repeat_margin,split,uid,view_correct,view_interaction,view_margin,words,source_csv
0.0,chck_10M,,dose1,Entity,,-1.1702522933483124,4,False,,-1.2696541249752045,ambiref,ambiref_4_ops_12,False,,-2.439906418323517,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,0.6641473025083542,4,False,,-0.735983356833458,ambiref,ambiref_4_ops_165,False,,-0.07183605432510376,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
-1.0,chck_10M,,dose1,Entity,,-1.7546846717596054,4,True,,0.8410735577344894,ambiref,ambiref_4_ops_207,False,,-0.913611114025116,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,1.779376357793808,4,False,,-2.091192811727524,ambiref,ambiref_4_ops_239,False,,-0.3118164539337158,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,1.2360977828502655,4,False,,-4.649735003709793,ambiref,ambiref_4_ops_284,False,,-3.4136372208595276,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,0.004667907953262329,5,False,,-4.8044420182704926,ambiref,ambiref_5_ops_43,False,,-4.79977411031723,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,-0.8809453547000885,5,False,,-1.051557034254074,ambiref,ambiref_5_ops_69,False,,-1.9325023889541626,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,-0.5741043835878372,5,False,,-0.33681468665599823,ambiref,ambiref_5_ops_8,False,,-0.9109190702438354,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,2.208164930343628,5,False,,-2.9639800786972046,ambiref,ambiref_5_ops_97,False,,-0.7558151483535767,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
-1.0,chck_10M,,dose1,Entity,,-2.044681668281555,5,True,,0.44020020961761475,ambiref,ambiref_5_ops_99,False,,-1.6044814586639404,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,0.39548996090888977,0,False,,-5.254536181688309,move_contents,move_contents_0_ops_114,False,,-4.859046220779419,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,-1.6195911914110184,0,False,,-3.496917501091957,move_contents,move_contents_0_ops_236,False,,-5.1165086925029755,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,2.163288250565529,0,False,,-4.047955021262169,move_contents,move_contents_0_ops_346,False,,-1.88466677069664,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,-2.811592996120453,0,False,,-5.20473176240921,move_contents,move_contents_0_ops_468,False,,-8.016324758529663,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,-0.23058640956878662,0,False,,-5.334377110004425,move_contents,move_contents_0_ops_504,False,,-5.564963519573212,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,1.5770994871854782,1,False,,-3.8079071789979935,move_contents,move_contents_1_ops_161,False,,-2.2308076918125153,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,0.530656486749649,1,True,,1.2799688577651978,move_contents,move_contents_1_ops_194,True,,1.8106253445148468,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,2.1946632862091064,1,False,,-2.3011345267295837,move_contents,move_contents_1_ops_243,False,,-0.1064712405204773,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,-1.853196382522583,1,False,,-1.433180570602417,move_contents,move_contents_1_ops_265,False,,-3.286376953125,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
0.0,chck_10M,,dose1,Entity,,0.6909191012382507,1,True,,1.5870084166526794,move_contents,move_contents_1_ops_293,True,,2.27792751789093,10000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_common10_80_sample5/view_minus_repeat_margin_deltas.csv
