dose_name,checkpoint,all_n,all_margin_delta_mean,zero_n,zero_margin_delta_mean,nonzero_n,nonzero_margin_delta_mean,nonzero_minus_zero_margin_delta,all_frac_margin_positive,zero_frac_margin_positive,nonzero_frac_margin_positive,binary_delta_mean_all,binary_delta_mean_zero,binary_delta_mean_nonzero
dose1,chck_10M,90,-0.03760732329554028,15,-0.26162897050380707,75,0.007197006146113078,0.26882597664992014,0.4777777777777778,0.4,0.49333333333333335,-0.08888888888888889,0.0,-0.10666666666666667
dose1,chck_20M,90,-0.3227447701825036,15,-0.09550604025522867,75,-0.36819251616795856,-0.2726864759127299,0.4444444444444444,0.5333333333333333,0.4266666666666667,-0.022222222222222223,0.0,-0.02666666666666667
dose1,chck_30M,90,-1.2331184247508644,15,-0.582252539973706,75,-1.3632916017062962,-0.7810390617325902,0.4111111111111111,0.4666666666666667,0.4,-0.14444444444444443,-0.13333333333333333,-0.14666666666666667
dose1,chck_40M,90,0.9402976883057919,15,-1.8490318986897667,75,1.4981636057049037,3.34719550439467,0.5444444444444444,0.26666666666666666,0.6,0.03333333333333333,-0.06666666666666667,0.05333333333333334
dose1,chck_50M,90,1.3647775214967421,15,0.28806671927838273,75,1.580119681940414,1.2920529626620312,0.5333333333333333,0.4666666666666667,0.5466666666666666,-0.022222222222222223,-0.06666666666666667,-0.013333333333333334
dose1,chck_60M,90,1.0495575497082124,15,0.7179658786083262,75,1.1158758839281897,0.39791000531986354,0.5333333333333333,0.6,0.52,0.03333333333333333,-0.06666666666666667,0.05333333333333334
dose1,chck_70M,90,0.7291331465045611,15,-1.5209721838201706,75,1.1791542125695074,2.700126396389678,0.5111111111111111,0.26666666666666666,0.56,-0.011111111111111112,-0.2,0.02666666666666667
dose1,chck_80M,90,0.867337383302058,15,-0.17289055162497485,75,1.0753829702874647,1.2482735219124395,0.5111111111111111,0.5333333333333333,0.5066666666666667,-0.022222222222222223,-0.13333333333333333,0.0
dose1p82,chck_10M,90,0.10127372062868542,15,0.08590466976165771,75,0.10434753080209096,0.018442861040433245,0.5555555555555556,0.5333333333333333,0.56,-0.022222222222222223,0.0,-0.02666666666666667
dose1p82,chck_20M,90,-0.12335888544718425,15,-0.2582453606029352,75,-0.09638159041603406,0.16186377018690112,0.4444444444444444,0.4666666666666667,0.44,-0.044444444444444446,-0.13333333333333333,-0.02666666666666667
dose1p82,chck_30M,90,0.4341328223339386,15,-0.09001675645510356,75,0.538962738091747,0.6289794945468505,0.5888888888888889,0.5333333333333333,0.6,0.044444444444444446,0.06666666666666667,0.04
dose1p82,chck_40M,90,0.6296412054733891,15,-0.0863709459391733,75,0.7728436357559015,0.8592145816950748,0.5222222222222223,0.6,0.5066666666666667,0.03333333333333333,0.13333333333333333,0.013333333333333334
dose1p82,chck_50M,90,1.2410770126650783,15,2.468542097155781,75,0.9955839957669377,-1.4729581013888433,0.5333333333333333,0.7333333333333333,0.49333333333333335,0.08888888888888889,0.13333333333333333,0.08
dose1p82,chck_60M,90,0.1390847020303934,15,-1.4972354789730162,75,0.4663487382310753,1.9635842172040916,0.5333333333333333,0.4666666666666667,0.5466666666666666,0.011111111111111112,0.06666666666666667,0.0
dose1p82,chck_70M,90,-0.18339727967266098,15,-2.2449378727857643,75,0.22891083894995973,2.473848711735724,0.4777777777777778,0.3333333333333333,0.5066666666666667,0.044444444444444446,-0.13333333333333333,0.08
dose1p82,chck_80M,90,0.2795949275411355,15,-1.4722615837895623,75,0.629966229807275,2.102227813596837,0.5333333333333333,0.4,0.56,0.03333333333333333,-0.13333333333333333,0.06666666666666667
dose2p64,chck_10M,90,-0.14304910120036868,15,-0.6017087976137797,75,-0.05131716191768646,0.5503916356960933,0.45555555555555555,0.3333333333333333,0.48,0.044444444444444446,0.13333333333333333,0.02666666666666667
dose2p64,chck_20M,90,0.3635483096871111,15,0.5253799815972646,75,0.3311819753050804,-0.1941980062921842,0.5777777777777777,0.5333333333333333,0.5866666666666667,-0.044444444444444446,-0.06666666666666667,-0.04
dose2p64,chck_30M,90,0.1919370258330471,15,0.7389233634496729,75,0.08253975830972195,-0.656383605139951,0.5,0.5333333333333333,0.49333333333333335,0.1,0.0,0.12
dose2p64,chck_40M,90,-0.32415979178622367,15,-4.550211094707872,75,0.5210504687981059,5.071261563505978,0.43333333333333335,0.13333333333333333,0.49333333333333335,0.044444444444444446,-0.2,0.09333333333333334
dose2p64,chck_50M,90,0.4795210657796512,15,-1.8228218937680747,75,0.9399896576891964,2.762811551457271,0.5333333333333333,0.4,0.56,0.03333333333333333,0.0,0.04
dose2p64,chck_60M,90,1.3149501860562143,15,-3.728832683857763,75,2.3237067600390096,6.052539443896773,0.5888888888888889,0.3333333333333333,0.64,0.08888888888888889,-0.13333333333333333,0.13333333333333333
dose2p64,chck_70M,90,0.022077296544254447,15,-3.455683999566827,75,0.7176295557664707,4.173313555333298,0.5111111111111111,0.4,0.5333333333333333,0.13333333333333333,0.06666666666666667,0.14666666666666667
dose2p64,chck_80M,90,0.9792498404043727,15,-2.674393758829683,75,1.7099785602511839,4.3843723190808666,0.5555555555555556,0.4,0.5866666666666667,0.08888888888888889,0.06666666666666667,0.09333333333333334
