dose_name,checkpoint,group,numops_group,n,margin_delta_mean,margin_delta_median,margin_delta_stdev,frac_margin_positive,binary_delta_mean,frac_binary_positive
dose1,chck_10M,all,all,90,-0.03760732329554028,-0.19235710054636002,1.247170107363493,0.4777777777777778,-0.08888888888888889,0.044444444444444446
dose1,chck_10M,ambiref_nonzero_ops,split:ambiref:nonzero,25,0.046097582578659056,0.004667907953262329,1.2648730757479782,0.56,-0.12,0.04
dose1,chck_10M,ambiref_zero_ops,split:ambiref:zero,5,0.4638597697019577,0.509445071220398,0.8555957711532706,0.6,0.2,0.2
dose1,chck_10M,move_contents_nonzero_ops,split:move_contents:nonzero,25,0.150445157289505,0.0803258866071701,1.188253940191824,0.56,-0.08,0.0
dose1,chck_10M,move_contents_zero_ops,split:move_contents:zero,5,-0.42059847712516785,-0.23058640956878662,1.7048761752586081,0.4,0.0,0.0
dose1,chck_10M,nonzero_ops,nonzero,75,0.007197006146113078,-0.09747344255447388,1.2255692614943832,0.49333333333333335,-0.10666666666666667,0.04
dose1,chck_10M,numops_0,0,15,-0.26162897050380707,-0.27115777134895325,1.3275077206952424,0.4,0.0,0.06666666666666667
dose1,chck_10M,numops_1,1,15,0.19084257582823436,0.21398977935314178,1.3804956574507308,0.6666666666666666,-0.2,0.0
dose1,chck_10M,numops_2,2,15,-0.1573926071325938,-0.2961433380842209,1.079398679153132,0.4666666666666667,-0.06666666666666667,0.06666666666666667
dose1,chck_10M,numops_3,3,15,0.06270573437213897,-0.09747344255447388,1.1115508074909415,0.4666666666666667,0.0,0.06666666666666667
dose1,chck_10M,numops_4,4,15,0.4080193450053533,0.7028065621852875,1.2710868844884282,0.6666666666666666,-0.06666666666666667,0.06666666666666667
dose1,chck_10M,numops_5,5,15,-0.46819001734256743,-0.5741043835878372,1.0665248308628021,0.2,-0.2,0.0
dose1,chck_10M,regular_nonzero_ops,split:regular:nonzero,25,-0.17495172142982482,-0.2991066873073578,1.1995821244982767,0.36,-0.12,0.08
dose1,chck_10M,regular_zero_ops,split:regular:zero,5,-0.8281482040882111,-1.0630881488323212,0.8807009087736913,0.2,-0.2,0.0
dose1,chck_10M,split_ambiref,split:ambiref,30,0.11572461376587549,0.10932884365320206,1.2163470801635583,0.5666666666666667,-0.06666666666666667,0.06666666666666667
dose1,chck_10M,split_move_contents,split:move_contents,30,0.05527121822039286,0.0658000037074089,1.3062721937642072,0.5333333333333333,-0.06666666666666667,0.0
dose1,chck_10M,split_regular,split:regular,30,-0.2838178018728892,-0.39806894212961197,1.1780050340812693,0.3333333333333333,-0.13333333333333333,0.06666666666666667
dose1,chck_10M,zero_ops,zero,15,-0.26162897050380707,-0.27115777134895325,1.3275077206952424,0.4,0.0,0.06666666666666667
dose1,chck_20M,all,all,90,-0.3227447701825036,-0.1949957013130188,1.6387416109940773,0.4444444444444444,-0.022222222222222223,0.044444444444444446
dose1,chck_20M,ambiref_nonzero_ops,split:ambiref:nonzero,25,-0.3346136784553528,-0.24649381637573242,1.909854783270446,0.48,-0.08,0.04
dose1,chck_20M,ambiref_zero_ops,split:ambiref:zero,5,0.9449060499668122,1.162978708744049,1.2590687484891379,0.6,0.0,0.0
dose1,chck_20M,move_contents_nonzero_ops,split:move_contents:nonzero,25,-0.2580078649520874,-0.07164734601974487,1.224129687656903,0.48,-0.04,0.0
dose1,chck_20M,move_contents_zero_ops,split:move_contents:zero,5,-1.6864056050777436,-0.8715335726737976,1.798433028035943,0.2,0.0,0.0
dose1,chck_20M,nonzero_ops,nonzero,75,-0.36819251616795856,-0.22833985090255737,1.602322190608061,0.4266666666666667,-0.02666666666666667,0.05333333333333334
dose1,chck_20M,numops_0,0,15,-0.09550604025522867,0.05135035514831543,1.792678851493193,0.5333333333333333,0.0,0.0
dose1,chck_20M,numops_1,1,15,-0.31959070563316344,-0.16165155172348022,2.298610738300147,0.4666666666666667,-0.13333333333333333,0.0
dose1,chck_20M,numops_2,2,15,-0.14423998792966206,-0.030117452144622803,1.217218449773096,0.4666666666666667,0.0,0.0
dose1,chck_20M,numops_3,3,15,-0.5873826026916504,-0.7164000272750854,1.4749000952268292,0.4,-0.06666666666666667,0.06666666666666667
dose1,chck_20M,numops_4,4,15,-0.6377395570278168,-0.6305325031280518,1.398355606080135,0.2,0.0,0.06666666666666667
dose1,chck_20M,numops_5,5,15,-0.1520097275575002,0.05278497934341431,1.3119715963666707,0.6,0.06666666666666667,0.13333333333333333
dose1,chck_20M,regular_nonzero_ops,split:regular:nonzero,25,-0.5119560050964356,-0.2427404522895813,1.588185847344849,0.32,0.04,0.12
dose1,chck_20M,regular_zero_ops,split:regular:zero,5,0.45498143434524535,0.22588711977005005,0.9513262960181721,0.8,0.0,0.0
dose1,chck_20M,split_ambiref,split:ambiref,30,-0.12136039038499197,-0.07663339376449585,1.8791527135702952,0.5,-0.06666666666666667,0.03333333333333333
dose1,chck_20M,split_move_contents,split:move_contents,30,-0.4960741549730301,-0.2563987076282501,1.4391603785237381,0.43333333333333335,-0.03333333333333333,0.0
dose1,chck_20M,split_regular,split:regular,30,-0.35079976518948874,-0.15264567732810974,1.5435798845463315,0.4,0.03333333333333333,0.1
dose1,chck_20M,zero_ops,zero,15,-0.09550604025522867,0.05135035514831543,1.792678851493193,0.5333333333333333,0.0,0.0
dose1,chck_30M,all,all,90,-1.2331184247508644,-0.3353103185072541,4.19814321111345,0.4111111111111111,-0.14444444444444443,0.03333333333333333
dose1,chck_30M,ambiref_nonzero_ops,split:ambiref:nonzero,25,-2.0459167127497495,-2.720040898770094,5.216392333232846,0.4,-0.16,0.0
dose1,chck_30M,ambiref_zero_ops,split:ambiref:zero,5,0.6503890351392329,2.1365096867084503,4.54533292011641,0.6,0.0,0.0
dose1,chck_30M,move_contents_nonzero_ops,split:move_contents:nonzero,25,-1.287553391866386,-1.0584845170378685,3.6424304606458793,0.4,-0.16,0.08
dose1,chck_30M,move_contents_zero_ops,split:move_contents:zero,5,-2.550504358485341,-0.2553660422563553,4.814857131488782,0.4,0.0,0.0
dose1,chck_30M,nonzero_ops,nonzero,75,-1.3632916017062962,-0.3385242596268654,4.0001881702690145,0.4,-0.14666666666666667,0.04
dose1,chck_30M,numops_0,0,15,-0.582252539973706,-0.2553660422563553,5.023003071703898,0.4666666666666667,-0.13333333333333333,0.0
dose1,chck_30M,numops_1,1,15,-2.69270045204709,-1.4167044907808304,5.07244931149907,0.4,-0.26666666666666666,0.06666666666666667
dose1,chck_30M,numops_2,2,15,-1.7366501840452353,-1.3947364538908005,3.8559001965916546,0.3333333333333333,0.0,0.06666666666666667
dose1,chck_30M,numops_3,3,15,-1.3963719504264493,-0.44001689553260803,2.5404660020111414,0.3333333333333333,-0.2,0.0
dose1,chck_30M,numops_4,4,15,-1.2064446871479353,-0.33209637738764286,3.3574434328043368,0.26666666666666666,-0.2,0.0
dose1,chck_30M,numops_5,5,15,0.21570926513522864,1.3989653401076794,4.154246166058007,0.6666666666666666,-0.06666666666666667,0.06666666666666667
dose1,chck_30M,regular_nonzero_ops,split:regular:nonzero,25,-0.7564047005027532,-0.18731223791837692,2.585815640822031,0.4,-0.12,0.04
dose1,chck_30M,regular_zero_ops,split:regular:zero,5,0.15335770342499017,-1.5433595925569534,5.0906027265672265,0.4,-0.4,0.0
dose1,chck_30M,split_ambiref,split:ambiref,30,-1.596532421434919,-1.0004551820456982,5.208521598690649,0.43333333333333335,-0.13333333333333333,0.0
dose1,chck_30M,split_move_contents,split:move_contents,30,-1.4980452196362117,-0.7492507062852383,3.8911984397823933,0.4,-0.13333333333333333,0.06666666666666667
dose1,chck_30M,split_regular,split:regular,30,-0.6047776331814627,-0.23597222194075584,3.1632307268483855,0.4,-0.16666666666666666,0.03333333333333333
dose1,chck_30M,zero_ops,zero,15,-0.582252539973706,-0.2553660422563553,5.023003071703898,0.4666666666666667,-0.13333333333333333,0.0
dose1,chck_40M,all,all,90,0.9402976883057919,1.144973961636424,5.254634422930797,0.5444444444444444,0.03333333333333333,0.1111111111111111
dose1,chck_40M,ambiref_nonzero_ops,split:ambiref:nonzero,25,0.9516786503046751,0.4963957518339157,5.302259973651771,0.52,0.04,0.12
dose1,chck_40M,ambiref_zero_ops,split:ambiref:zero,5,-3.4720113983377816,-2.500596578232944,4.384147233208619,0.2,0.0,0.0
dose1,chck_40M,move_contents_nonzero_ops,split:move_contents:nonzero,25,3.2180462089926003,2.5227572210133076,5.00897325168367,0.72,0.08,0.16
dose1,chck_40M,move_contents_zero_ops,split:move_contents:zero,5,-1.3837900560349226,-1.5035951249301434,3.5812501944783675,0.4,-0.2,0.0
dose1,chck_40M,nonzero_ops,nonzero,75,1.4981636057049037,1.7143202871084213,5.281949805595881,0.6,0.05333333333333334,0.13333333333333333
dose1,chck_40M,numops_0,0,15,-1.8490318986897667,-1.8707818295806646,4.103132622016654,0.26666666666666666,-0.06666666666666667,0.0
dose1,chck_40M,numops_1,1,15,0.9553602333491047,1.068427860736847,4.924739860308712,0.6,-0.13333333333333333,0.0
dose1,chck_40M,numops_2,2,15,0.9980025713642439,2.17279002815485,4.777109179762922,0.6666666666666666,0.13333333333333333,0.13333333333333333
