seed,arm,base_common_g,base_common_b,base_common_p,aux_common_g,aux_common_b,aux_common_p,base_compact_with_source_delta_nll,base_current_with_source_delta_nll,aux_compact_with_source_delta_nll,aux_current_with_source_delta_nll,elapsed_sec
60004,compact_aux_support,0.12405613124536885,0.09709099960502325,0.02411071967510945,0.09752779241119118,-0.061255859421743546,-0.07482696431023735,-0.5215370041516755,-0.1979061649753039,-0.623056671814993,-0.23325175649370067,12.7
60005,compact_aux_support,0.16094798480393369,0.09384829411915106,0.015750588320550412,0.15789024559004858,-0.07265193053587739,-0.11623079578081771,-0.5377030036694594,-0.18868905633294786,-0.6003369720695032,-0.21686179883822443,14.4
60006,compact_aux_support,0.10109440232017299,0.08904331182362517,0.01870001159963156,0.08520454749287591,-0.07497876747289586,-0.09867655521347414,-0.538412403647323,-0.1923206157876206,-0.5796069636813957,-0.22258480801524239,16.4
60004,compact_base80_unspent,0.11341491291044459,0.06261929299294329,0.022996088578587467,0.051190718808876615,-0.02340913838928658,-0.04099602358681815,-0.5146442024655968,-0.19434429357851532,-0.1193063020635622,-0.08639592118838448,13.1
60005,compact_base80_unspent,0.15735821273066994,0.06913123963422894,0.018358153729211697,0.08502402581784521,-0.034714570230183525,-0.044475827898297994,-0.5599513041229924,-0.19203709685469078,-0.11302992755293167,-0.0713374514806284,12.6
60006,compact_base80_unspent,0.11502059677881853,0.0755052472074472,0.021382063002813423,0.04472420085221529,-0.03416290761725538,-0.03178974560328892,-0.5447476794535759,-0.18517330583791572,-0.12294014242590603,-0.06872633470837693,17.1
60004,compact_interleaved_recurrence,0.10746954615915284,0.08263991387937931,0.03435958672137487,0.03072149450114622,-0.026707071960637613,-0.03517413848922368,-0.5825910194364649,-0.23297945400554454,-0.12212704996945278,-0.09535237061624814,12.7
60005,compact_interleaved_recurrence,0.14359137794679208,0.07275612618962661,0.024002071647416957,0.08788391156676445,-0.03533519544483475,-0.0592854448727199,-0.5857537181732672,-0.21900703640944008,-0.1272791933254198,-0.081130664515686,12.6
60006,compact_interleaved_recurrence,0.14247262460024407,0.08484486601692405,0.027016811597914955,0.07642109896655061,-0.060618017439819205,-0.06532692909240723,-0.5932176355884251,-0.2086994439985788,-0.1148785434296411,-0.06732085008046679,17.0
60004,current_aux_substitution,0.02388765233724068,0.07810638647149541,0.03209126628580549,0.09771911553218075,-0.1777641758755116,-0.15090160000891917,-0.15791738752419787,-0.4979967884986157,-0.6430920318079492,-0.3061708931373211,12.2
60005,current_aux_substitution,0.03965428904053712,0.06972921862355654,0.02334755193619503,0.09106473283775683,-0.23251691484446863,-0.19854336267425904,-0.1499950294857514,-0.5091476903027939,-0.6060338922352954,-0.3167777258744796,16.6
60006,current_aux_substitution,0.012280582695578562,0.06184456369706566,0.032928044597307846,0.06710158402122383,-0.15506067966842757,-0.15906167881829397,-0.1585887331621007,-0.5170047327300576,-0.6079683732241392,-0.31930167647771585,15.9
60004,current_base80,0.028035890135825418,0.0642351521551609,0.045682737657002044,0.03755379354004708,-0.17489669089471654,-0.15570773113341563,-0.17234253681975886,-0.5780279677851735,-0.15281109799433387,-0.19750785742126895,13.0
60005,current_base80,-0.01180775123027457,0.04585776366648219,0.02702309511956712,-0.02084682058055127,-0.17808728562002735,-0.16602746077946254,-0.18751453480366717,-0.6320673739772995,-0.15956394543419733,-0.21218131835173284,12.6
60006,current_base80,-0.0009620420455134027,0.05875218185086164,0.04181539751234508,-0.009793572826310928,-0.1760641070792363,-0.16425373866444545,-0.19984551780863613,-0.593123650225821,-0.1517649028083366,-0.19598170083953023,16.9
