seed,checkpoint,contrast,BLiMP,Supplement,EWoK,COMPS,exEntity4,cheap5_noReading,complete_broad4
43022,chck_80M,childspeech_minus_adultprose,-1.13,-0.02,-0.05,-0.77,-0.4925,-0.512,
43022,chck_100M,childspeech_minus_adultprose,-1.45,-1.56,0.94,-0.38,-0.6125,-0.714,
43122,chck_80M,childspeech_minus_adultprose,,,,,,,False
43122,chck_100M,childspeech_minus_adultprose,,,,,,,False
