group_field,group_value,n,true_nll_advantage_vs_reversed_mean,true_nll_advantage_vs_reversed_p05,true_nll_advantage_vs_reversed_p95,true_nll_advantage_vs_shuffled_mean,true_nll_advantage_vs_shuffled_p05,true_nll_advantage_vs_shuffled_p95,true_reduction_vs_base_mean,true_reduction_vs_base_p05,true_reduction_vs_base_p95
source,simple_wiki,1031,0.03302798689809148,-0.5319890975952148,0.674858570098877,0.7678701267211864,-1.8319201469421387,6.981359481811523,0.7378241145612074,-1.7553489208221436,7.102802991867065
source,gutenberg,832,0.019044287880275918,-0.44442541599273677,0.5201250553131103,0.31111008823469233,-1.0471515893936156,2.209179556369776,0.3147285340504683,-1.051349139213562,1.9074382901191704
source,bnc_spoken,721,0.021364428073341536,-0.496332585811615,0.578986644744873,0.5030060972716148,-1.2160282135009766,4.39088249206543,0.5709619252728079,-1.263967514038086,4.688143730163574
source,open_subtitles,617,0.006127641774503426,-0.5310049057006836,0.5035392284393306,0.27256506434904043,-1.1518304586410522,2.3442073822021476,0.3835698452735142,-1.2193421363830568,2.669384002685537
source,childes,583,-0.0018337430490297066,-0.3785227298736572,0.34000115394592284,0.4599937750986561,-1.0509881734848023,3.385168600082383,0.3744851987670962,-1.1825906276702882,2.9338891506194975
source,switchboard,312,0.021817256193921473,-0.6058987617492675,0.6451452076435087,0.5494255651197492,-1.5303675472736358,4.8081958055496195,0.5431183947721132,-1.325243878364563,4.5414229869842515
target_kind,content,3670,0.01706441306065066,-0.49690701365470885,0.5510199010372159,0.5165772556812374,-1.3454917073249817,5.217288064956653,0.5336022373633517,-1.320873886346817,5.224829411506635
target_kind,number,299,0.03628650751045864,-0.32100701332092285,0.45580843687057493,0.2927951305944248,-0.9708818912506103,2.112085938453672,0.1965900736278465,-0.8132603526115417,2.022244405746456
target_kind,function,59,0.038350553520150106,-0.19414350986480713,0.4411724805831903,0.3726970697989908,-0.8056805372238158,3.187043094635,0.40509927077061036,-0.8121510028839111,2.1671718835830545
target_kind,pronoun,52,-0.05734563140028443,-0.6164380788803101,0.23873208761215206,0.29421225517916566,-1.2527872562408446,2.0342112183570844,0.2549972153815011,-0.8527176976203918,1.2843939900398245
neighbor_overlap_bin,0p05_0p15,2230,0.01553408181652528,-0.48233804702758787,0.5374086380004873,0.5247645450809985,-1.3582606971263884,5.288310170173639,0.5185908894165264,-1.3040044546127318,5.211016321182221
neighbor_overlap_bin,lt0p05,1398,0.01366082523200489,-0.5064543724060058,0.5546091079711903,0.1858216415156115,-1.1940919637680052,1.8631372928619379,0.23236015511851377,-1.2236288428306579,1.8863199591636612
neighbor_overlap_bin,0p15_0p30,384,0.04351639308333688,-0.4754000663757324,0.4897549629211424,1.126324545994218,-1.3632216930389403,7.486114001274107,1.104671646720514,-1.5151338338851927,7.580670070648192
neighbor_overlap_bin,ge0p30,84,0.05202369392611131,-0.33557721972465515,0.32773997187614373,1.8862222150672183,-0.05199077501893043,8.642034053802488,1.8233769351541664,-0.5317896485328674,8.750943851470945
mid_len_bin,8_15,1548,0.027035110201941562,-0.5200277328491211,0.5600611209869382,0.5276975315603403,-1.3455428659915922,5.527750277519221,0.5300440325464368,-1.424645185470581,5.437087917327877
mid_len_bin,16_30,1273,0.01560524780457241,-0.45814285278320316,0.5147171974182115,0.49609074790118235,-1.2039175987243653,4.988104438781672,0.5097314859434537,-1.0454081535339355,5.279807472228997
mid_len_bin,lt8,996,-0.00025519966717351723,-0.5074757039546967,0.5475616455078125,0.49680108612212287,-1.478121280670166,3.597205400466919,0.5010540933128148,-1.457106113433838,3.7603198289871216
mid_len_bin,gt30,279,0.04787623361888004,-0.3219147801399231,0.5707156777381888,0.27864408381946726,-0.8943432807922362,1.7915960788726804,0.3233280796440832,-0.9088060379028321,2.242529201507568
