pair_id,bucket,regime,edit_class,gen_words,longest_run_frac,order_agreement,reordering_index,novel_word_fraction,kept_source_word_fraction,function_word_edit_rate,leading_deletion_only,is_verbatim_source_substring
compact:frontier_consolidation_fwcompact_medium_013187,hard_absent_relation,anchor_gapfill,deletion_reorder,16,0.625,1.0,0.0,0.0,1.0,0.2857,False,False
compact:frontier_consolidation_fwcompact_medium_054905,hard_absent_relation,lexclosed_compress,verbatim_substring,16,1.0,1.0,0.0,0.0,1.0,0.0,True,True
compact:frontier_consolidation_fwcompact_medium_057265,hard_absent_relation,clause_bridge,deletion_reorder,18,0.9444,1.0,0.0,0.0556,0.9444,0.0,False,False
compact:frontier_consolidation_fwcompact_medium_029936,hard_absent_relation,anchor_gapfill,deletion_reorder,13,0.5385,1.0,0.0,0.0,1.0,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_021237,hard_absent_relation,lexclosed_compress,verbatim_substring,35,1.0,1.0,0.0,0.0,1.0,0.0,True,True
compact:frontier_consolidation_fwcompact_medium_042919,hard_absent_relation,lexclosed_compress,deletion_reorder,21,0.6667,1.0,0.0,0.0476,0.9524,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_044276,hard_absent_relation,anchor_gapfill,deletion_reorder,18,0.7222,1.0,0.0,0.0,1.0,0.1111,False,False
compact:frontier_consolidation_fwcompact_medium_034181,hard_absent_relation,lexclosed_compress,verbatim_substring,17,1.0,1.0,0.0,0.0,1.0,0.125,True,True
compact:frontier_consolidation_fwcompact_medium_038975,hard_absent_relation,anchor_gapfill,substantive_restructure,11,0.1818,1.0,0.0,0.2727,0.7273,0.7143,False,False
compact:frontier_consolidation_fwcompact_medium_026050,hard_absent_relation,anchor_gapfill,light_restructure,23,0.2174,0.9444,0.0556,0.0435,0.9565,0.7143,False,False
compact:frontier_consolidation_fwcompact_medium_013221,hard_absent_relation,anchor_gapfill,light_restructure,14,0.4286,1.0,0.0,0.0,1.0,0.25,False,False
compact:frontier_consolidation_fwcompact_medium_024789,hard_absent_relation,lexclosed_compress,light_restructure,16,0.5625,1.0,0.0,0.1875,0.8125,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_007911,hard_absent_relation,lexclosed_compress,deletion_reorder,12,0.5,1.0,0.0,0.0,1.0,0.3333,False,False
compact:frontier_consolidation_fwcompact_medium_007997,hard_absent_relation,lexclosed_compress,light_restructure,14,0.4286,1.0,0.0,0.0,1.0,0.5714,False,False
compact:frontier_consolidation_fwcompact_medium_017608,hard_absent_relation,lexclosed_compress,deletion_reorder,16,0.9375,1.0,0.0,0.0,1.0,0.1111,False,False
compact:frontier_consolidation_fwcompact_medium_034711,hard_absent_relation,clause_bridge,light_restructure,22,0.5909,0.875,0.125,0.0,1.0,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_043741,hard_absent_relation,anchor_gapfill,light_restructure,15,0.5333,0.875,0.125,0.0667,0.9333,0.6154,False,False
compact:frontier_consolidation_fwcompact_medium_022350,hard_absent_relation,lexclosed_compress,light_restructure,8,0.5,1.0,0.0,0.125,0.875,0.625,False,False
compact:frontier_consolidation_fwcompact_medium_031456,hard_absent_relation,lexclosed_compress,light_restructure,12,0.4167,0.75,0.25,0.1667,0.8333,0.1429,False,False
compact:frontier_consolidation_fwcompact_medium_051855,hard_absent_relation,anchor_gapfill,deletion_reorder,12,0.8333,1.0,0.0,0.0,1.0,0.5714,False,False
compact:frontier_consolidation_fwcompact_medium_027545,hard_absent_relation,anchor_gapfill,deletion_reorder,10,0.7,1.0,0.0,0.0,1.0,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_007183,hard_absent_relation,anchor_gapfill,light_restructure,20,0.35,0.8824,0.1176,0.0,1.0,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_022843,hard_absent_relation,anchor_gapfill,light_restructure,21,0.3333,1.0,0.0,0.0,1.0,0.4545,False,False
compact:frontier_consolidation_fwcompact_medium_053900,hard_absent_relation,lexclosed_compress,light_restructure,15,0.2667,1.0,0.0,0.1333,0.8667,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_024370,hard_absent_relation,anchor_gapfill,deletion_reorder,12,0.6667,1.0,0.0,0.0833,0.9167,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_061373,hard_absent_relation,lexclosed_compress,light_restructure,21,0.381,1.0,0.0,0.0476,0.9524,0.4706,False,False
compact:frontier_consolidation_fwcompact_medium_051386,hard_absent_relation,clause_bridge,deletion_reorder,22,0.9545,1.0,0.0,0.0455,0.9545,0.0909,False,False
compact:frontier_consolidation_fwcompact_medium_059769,hard_absent_relation,anchor_gapfill,light_restructure,11,0.3636,1.0,0.0,0.0909,0.9091,1.0,False,False
compact:frontier_consolidation_fwcompact_medium_051691,hard_absent_relation,anchor_gapfill,light_restructure,17,0.4118,1.0,0.0,0.0,1.0,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_039830,hard_absent_relation,lexclosed_compress,verbatim_substring,16,1.0,1.0,0.0,0.0,1.0,0.0,True,True
compact:frontier_consolidation_fwcompact_medium_015343,hard_absent_relation,anchor_gapfill,deletion_reorder,15,0.5333,0.9167,0.0833,0.0,1.0,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_046698,hard_absent_relation,clause_bridge,deletion_reorder,14,0.5714,1.0,0.0,0.0,1.0,0.2,False,False
compact:frontier_consolidation_fwcompact_medium_044349,hard_absent_relation,anchor_gapfill,deletion_reorder,23,0.913,1.0,0.0,0.0,1.0,0.2,False,False
compact:frontier_consolidation_fwcompact_medium_039259,hard_absent_relation,lexclosed_compress,light_restructure,30,0.6667,0.8571,0.1429,0.0,1.0,0.2381,False,False
compact:frontier_consolidation_fwcompact_medium_034662,hard_absent_relation,lexclosed_compress,verbatim_substring,34,1.0,1.0,0.0,0.0,1.0,0.0,True,True
compact:frontier_consolidation_fwcompact_medium_011282,hard_absent_relation,anchor_gapfill,deletion_reorder,33,0.9697,1.0,0.0,0.0,1.0,0.2,False,False
compact:frontier_consolidation_fwcompact_medium_017226,hard_absent_relation,anchor_gapfill,light_restructure,13,0.3077,1.0,0.0,0.0,1.0,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_029007,hard_absent_norelation,clause_bridge,verbatim_substring,17,1.0,1.0,0.0,0.0,1.0,0.0,True,True
compact:frontier_consolidation_fwcompact_medium_038046,hard_absent_norelation,anchor_gapfill,light_restructure,14,0.5714,0.8889,0.1111,0.0714,0.9286,0.5556,False,False
compact:frontier_consolidation_fwcompact_medium_029598,hard_absent_norelation,anchor_gapfill,deletion_reorder,14,0.6429,1.0,0.0,0.0,1.0,0.4444,False,False
compact:frontier_consolidation_fwcompact_medium_031745,hard_absent_norelation,anchor_gapfill,light_restructure,24,0.25,1.0,0.0,0.0,1.0,0.5385,False,False
compact:frontier_consolidation_fwcompact_medium_003757,hard_absent_norelation,clause_bridge,deletion_reorder,21,0.9524,1.0,0.0,0.0476,0.9524,0.5294,False,False
compact:frontier_consolidation_fwcompact_medium_028240,hard_absent_norelation,anchor_gapfill,light_restructure,12,0.25,0.8889,0.1111,0.0,1.0,0.6667,False,False
compact:frontier_consolidation_fwcompact_medium_044135,hard_absent_norelation,clause_bridge,verbatim_substring,22,1.0,1.0,0.0,0.0,1.0,0.3333,True,True
compact:frontier_consolidation_fwcompact_medium_042231,hard_absent_norelation,anchor_gapfill,light_restructure,16,0.4375,1.0,0.0,0.0,1.0,0.2,False,False
compact:frontier_consolidation_fwcompact_medium_035734,hard_absent_norelation,anchor_gapfill,light_restructure,15,0.3333,0.9091,0.0909,0.0667,0.9333,0.625,False,False
compact:frontier_consolidation_fwcompact_medium_004982,hard_absent_norelation,anchor_gapfill,light_restructure,10,0.4,1.0,0.0,0.0,1.0,0.4444,False,False
compact:frontier_consolidation_fwcompact_medium_028160,relation_zero_absent,anchor_gapfill,deletion_reorder,17,0.5294,1.0,0.0,0.0,1.0,0.2308,False,False
compact:frontier_consolidation_fwcompact_medium_029668,relation_zero_absent,lexclosed_compress,substantive_restructure,13,0.5385,0.8333,0.1667,0.2308,0.7692,0.625,False,False
compact:frontier_consolidation_fwcompact_medium_053186,relation_zero_absent,lexclosed_compress,light_restructure,20,0.55,0.8,0.2,0.0,1.0,0.4444,False,False
compact:frontier_consolidation_fwcompact_medium_032518,relation_zero_absent,anchor_gapfill,light_restructure,19,0.4737,1.0,0.0,0.0526,0.9474,0.5,False,False
compact:frontier_consolidation_fwcompact_medium_014152,relation_zero_absent,lexclosed_compress,verbatim_substring,20,1.0,1.0,0.0,0.0,1.0,0.0,True,True
compact:frontier_consolidation_fwcompact_medium_041121,relation_zero_absent,anchor_gapfill,deletion_reorder,12,0.75,1.0,0.0,0.0,1.0,0.2,False,False
compact:frontier_consolidation_fwcompact_medium_060456,relation_zero_absent,anchor_gapfill,light_restructure,15,0.4,0.9,0.1,0.0667,0.9333,0.75,False,False
compact:frontier_consolidation_fwcompact_medium_005065,relation_zero_absent,clause_bridge,verbatim_substring,18,1.0,1.0,0.0,0.0,1.0,0.1818,True,True
