family,dose_name,rho,checkpoint,words,subgroup,n,margin_mean,margin_median,margin_stdev,frac_margin_positive,binary_delta_mean,frac_binary_positive
EWoK,dose1,0.042352,chck_50M,50000000,domain_quantitative-properties,5,-0.6033670157194138,-0.09756937623023987,2.201955337700673,0.4,0.0,0.2
EWoK,dose1,0.042352,chck_50M,50000000,domain_social-interactions,5,1.253749981150031,1.5484566111117601,2.0299073640052203,0.6,0.2,0.2
EWoK,dose1,0.042352,chck_50M,50000000,domain_social-properties,5,-1.1289058070629836,-1.7223570346832275,1.1462901927581102,0.2,-0.2,0.0
EWoK,dose1,0.042352,chck_50M,50000000,domain_social-relations,5,1.9824449703097344,2.02449263446033,2.3541525220573103,0.6,0.0,0.0
EWoK,dose1,0.042352,chck_50M,50000000,domain_spatial-relations,5,-0.7309802053030581,-0.4419397562742233,2.2403248716971764,0.2,0.2,0.2
EWoK,dose1,0.042352,chck_60M,60000000,all,55,0.028074502551250838,-0.1056450791656971,3.7498289776855125,0.45454545454545453,-0.03636363636363636,0.18181818181818182
EWoK,dose1,0.042352,chck_60M,60000000,domain_agent-properties,5,3.114542440418154,3.2351058474741876,2.580210671992509,0.8,0.2,0.2
EWoK,dose1,0.042352,chck_60M,60000000,domain_material-dynamics,5,-0.6147174678742886,-0.6638721525669098,0.7866599525683802,0.4,-0.2,0.0
EWoK,dose1,0.042352,chck_60M,60000000,domain_material-properties,5,-1.011814644932747,-0.8111155927181244,1.794178549831051,0.4,0.0,0.4
EWoK,dose1,0.042352,chck_60M,60000000,domain_physical-dynamics,5,-1.1738530851900577,-0.5371403694152832,2.9674292510838454,0.4,-0.4,0.2
EWoK,dose1,0.042352,chck_60M,60000000,domain_physical-interactions,5,-1.54525929922238,-0.8898219801485538,2.723286959715161,0.4,-0.2,0.0
EWoK,dose1,0.042352,chck_60M,60000000,domain_physical-relations,5,-0.9261979879811406,-2.0297992061823606,7.974712637283178,0.2,-0.2,0.0
EWoK,dose1,0.042352,chck_60M,60000000,domain_quantitative-properties,5,-0.5494518544524908,-0.3878151401877403,2.0700121201163952,0.2,0.2,0.2
EWoK,dose1,0.042352,chck_60M,60000000,domain_social-interactions,5,0.6687689850106835,1.0787700675427914,1.8222147013820438,0.8,0.2,0.4
EWoK,dose1,0.042352,chck_60M,60000000,domain_social-properties,5,0.8616325344890357,-0.46736037731170654,2.645036673442283,0.4,0.0,0.4
EWoK,dose1,0.042352,chck_60M,60000000,domain_social-relations,5,3.0407120146788658,2.8639988601207733,3.756439241012246,0.6,0.2,0.2
EWoK,dose1,0.042352,chck_60M,60000000,domain_spatial-relations,5,-1.5555421068798752,-1.1530566299334168,2.6025756806813294,0.4,-0.2,0.0
EWoK,dose1,0.042352,chck_70M,70000000,all,55,0.045309521482241426,0.6424374544294551,3.753920587612486,0.6,0.07272727272727272,0.2545454545454545
EWoK,dose1,0.042352,chck_70M,70000000,domain_agent-properties,5,2.8579511547926812,1.7531201534438878,3.0847388067263446,0.8,0.4,0.4
EWoK,dose1,0.042352,chck_70M,70000000,domain_material-dynamics,5,0.2418321141973138,1.43606645334512,2.988747475343669,0.8,0.0,0.2
EWoK,dose1,0.042352,chck_70M,70000000,domain_material-properties,5,0.23275365605950354,0.268441766500473,1.1121586478777983,0.6,0.0,0.2
EWoK,dose1,0.042352,chck_70M,70000000,domain_physical-dynamics,5,-1.3024528864771128,0.6140080839395523,3.4510014616267384,0.6,-0.2,0.2
EWoK,dose1,0.042352,chck_70M,70000000,domain_physical-interactions,5,-1.9362423569895326,1.1654699712526053,4.353179600388803,0.6,0.2,0.4
EWoK,dose1,0.042352,chck_70M,70000000,domain_physical-relations,5,-1.7811208631610498,-2.390076970332302,6.060519538431277,0.2,-0.2,0.0
