mode,family,slot,subgroup,slope_per_rho,intercept,r2,n,mean_dose1,mean_dose1p82,mean_dose2p64,dose2p64_minus_dose1
checkpoint,EWoK,chck_10M,all,0.6482014186886174,-0.05472538880038531,0.125343258335461,3,-0.061628358337012204,0.06399091414429925,-0.01658121320334348,0.045047145133668726
checkpoint,EWoK,chck_10M,domain_agent-properties,-2.8630348563587935,0.34483448081806484,0.9573472344692577,3,0.2114541471004486,0.14829297810792924,0.012410381436347961,-0.19904376566410065
checkpoint,EWoK,chck_10M,domain_material-dynamics,-2.3163330320034494,0.06352704616581066,0.3840771127338689,3,-0.09342803955078124,0.00262603759765625,-0.254486608505249,-0.16105856895446777
checkpoint,EWoK,chck_10M,domain_material-properties,-1.151825272747205,0.14128941582117446,0.06668599759191851,3,0.006049877405166626,0.22541532516479493,-0.07406482100486755,-0.08011469841003419
checkpoint,EWoK,chck_10M,domain_physical-dynamics,2.3741645369942397,-0.22070947535849086,0.658307941266872,3,-0.15447772145271302,0.031039619445800783,0.010558396577835083,0.1650361180305481
checkpoint,EWoK,chck_10M,domain_physical-interactions,5.776065209643842,-0.27846675313896074,0.644071784633851,3,0.05231315493583679,-0.005360257625579834,0.45390487313270567,0.4015917181968689
checkpoint,EWoK,chck_10M,domain_physical-relations,0.12098088144470817,0.009872442101473748,0.000632449762724252,3,-0.08149449080228806,0.21222834289073944,-0.07312832474708557,0.00836616605520249
checkpoint,EWoK,chck_10M,domain_quantitative-properties,2.1167511462671387,-0.26777338792445465,0.9456492547491395,3,-0.16794289350509645,-0.12489792704582214,-0.020781666040420532,0.14716122746467591
checkpoint,EWoK,chck_10M,domain_social-interactions,-0.6936492331387135,-0.13737110898996344,0.19733943848399083,3,-0.13868011236190797,-0.247015118598938,-0.18688968420028687,-0.0482095718383789
checkpoint,EWoK,chck_10M,domain_social-properties,1.1270055943980395,-0.040476487491367626,0.02681231374942139,3,-0.12897669076919555,0.31896319389343264,-0.050689983367919925,0.07828670740127562
checkpoint,EWoK,chck_10M,domain_social-relations,1.6849866680259784,-0.16374270657184462,0.8953789522995681,3,-0.1039365291595459,-0.010678458213806152,0.013198423385620116,0.11713495254516602
checkpoint,EWoK,chck_10M,domain_spatial-relations,0.9551039630490064,-0.05296274223568016,0.0771440570907852,3,-0.0787926435470581,0.1532863199710846,-0.012424331903457642,0.06636831164360046
checkpoint,EWoK,chck_20M,all,3.95745365469893,-0.35996837188388603,0.9039083491940365,3,-0.16647327284921298,-0.10655950917439028,0.10866082466461442,0.2751340975138274
checkpoint,EWoK,chck_20M,domain_agent-properties,3.29776126448613,-0.5356977749320877,0.03250208687355305,3,-0.757031473517418,0.44079274758696557,-0.5279373168945313,0.22909415662288668
checkpoint,EWoK,chck_20M,domain_material-dynamics,-0.6598808565863773,-0.2518906549977179,0.0010920775910164826,3,-0.6802624702453614,0.49825277328491213,-0.7263217449188233,-0.046059274673461936
checkpoint,EWoK,chck_20M,domain_material-properties,10.613582337863216,-0.7781064856179152,0.17802201929256933,3,0.12898771464824677,-0.8749732136726379,0.8670546345412731,0.7380669198930263
checkpoint,EWoK,chck_20M,domain_physical-dynamics,-0.04099496456360583,-0.22646392271896995,5.16921981097429e-06,3,0.13357279002666472,-0.9533378794789314,0.1308893822133541,-0.002683407813310612
checkpoint,EWoK,chck_20M,domain_physical-interactions,0.3432040445852806,0.0465029241138263,0.001469354546289381,3,-0.11847183257341384,0.4320737361907959,-0.09469493478536606,0.023776897788047785
checkpoint,EWoK,chck_20M,domain_physical-relations,10.67331677383419,-0.7493020984088827,0.7098863726664311,3,-0.16036428213119508,-0.20004194751381874,0.5817077301442624,0.7420720122754574
