family,dose_name,rho,window,subgroup,n,margin_mean,margin_median,margin_stdev,frac_margin_positive,binary_delta_mean,frac_binary_positive,checkpoint_count,mean_of_checkpoint_means,checkpoints
EWoK,dose1,0.042352,common10_80,all,440,0.059937882661258546,0.014379829168319702,3.076618846643241,0.5045454545454545,0.05,0.22045454545454546,8,0.05993788266125855,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1,0.042352,common10_80,domain_agent-properties,40,1.2884828896436376,0.5224195241462439,3.7115963524168714,0.675,0.225,0.225,8,1.2884828896436376,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1,0.042352,common10_80,domain_material-dynamics,40,0.07529703928157687,0.2461283802986145,2.700192286245171,0.575,0.1,0.325,8,0.07529703928157687,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1,0.042352,common10_80,domain_material-properties,40,0.14540989918168634,0.19830763898789883,1.419559980876385,0.625,0.2,0.325,8,0.14540989918168631,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1,0.042352,common10_80,domain_physical-dynamics,40,-0.8733639467041939,-0.24950805492699146,2.9318333797585088,0.425,-0.175,0.175,8,-0.8733639467041939,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1,0.042352,common10_80,domain_physical-interactions,40,-0.13695802411530167,0.14775255881249905,3.3841604504734204,0.525,0.075,0.225,8,-0.1369580241153017,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1,0.042352,common10_80,domain_physical-relations,40,-1.147287618269911,-0.5434858745429665,5.036612570369004,0.275,-0.175,0.025,8,-1.147287618269911,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1,0.042352,common10_80,domain_quantitative-properties,40,-0.2711516528390348,-0.18521217070519924,1.9494716591494554,0.35,0.05,0.225,8,-0.2711516528390348,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1,0.042352,common10_80,domain_social-interactions,40,0.8322596875834278,0.560739055275917,2.0574531226005344,0.675,0.35,0.525,8,0.8322596875834278,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
EWoK,dose1,0.042352,common10_80,domain_social-properties,40,-0.07172310436144472,-0.0703885406255722,2.136099611384084,0.45,-0.05,0.15,8,-0.07172310436144472,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
