mode,family,slot,subgroup,slope_per_rho,intercept,r2,n,mean_dose1,mean_dose1p82,mean_dose2p64,dose2p64_minus_dose1
window,EWoK,common10_80,all,-0.7328008343026354,0.00891855492268813,0.03110830602211323,3,0.05993788266125855,-0.21174264126771464,0.009031347163611578,-0.050906535497646975
window,EWoK,common10_80,domain_agent-properties,-21.34313590323287,1.4546767893774295,0.25202616539417577,3,1.2884828896436376,-1.6671066905284533,-0.1949522633804009,-1.4834351530240384
window,EWoK,common10_80,domain_material-dynamics,0.31125709146521774,0.18065812560324043,0.0027676941829626323,3,0.07529703928157687,0.4418037438299507,0.09688105426612309,0.02158401498454622
window,EWoK,common10_80,domain_material-properties,-1.809946407056773,0.08447907880725175,0.06512909134036493,3,0.14540989918168631,-0.3303386744693853,0.019645770115312176,-0.12576412906637413
window,EWoK,common10_80,domain_physical-dynamics,10.560180627093207,-1.3142111140617563,0.999089127269021,3,-0.8733639467041939,-0.4870118334889412,-0.13922313499788289,0.7341408117063111
window,EWoK,common10_80,domain_physical-interactions,-5.849429540071523,-0.2626700635480831,0.08988806953169826,3,-0.1369580241153017,-1.46084416526719,-0.543438428780064,-0.4064804046647623
window,EWoK,common10_80,domain_physical-relations,16.546794225300204,-1.664698241895746,0.7662281590557494,3,-1.147287618269911,-0.021766631700666034,0.002961087541189048,1.1502487058111
window,EWoK,common10_80,domain_quantitative-properties,-4.065146012481086,0.11332808582813245,0.12860397236430254,3,-0.2711516528390348,0.22454712468897922,-0.5538583534769714,-0.2827067006379366
window,EWoK,common10_80,domain_social-interactions,-12.19500441790704,1.0901703847989554,0.4724193681896851,3,0.8322596875834278,-0.36757166363531724,-0.01541797160753049,-0.8476776591909583
window,EWoK,common10_80,domain_social-properties,3.5830065531043864,0.2505493162258001,0.022483528388412388,3,-0.07172310436144472,1.4751288510626182,0.1771492699976079,0.24887237435905263
window,EWoK,common10_80,domain_social-relations,-10.106923205872867,1.4347362889620836,0.2280912329721323,3,1.379737695318181,-0.090981018677121,0.6772761481057387,-0.7024615472124424
window,EWoK,common10_80,domain_spatial-relations,16.30753781233016,-1.268914545947739,0.9973481950053953,3,-0.5613861554447794,-0.04502809575933503,0.572321641016606,1.1337077964613855
window,EWoK,early10_40,all,2.5895698959206666,-0.26511041392250034,0.3300682982678269,3,-0.08141505937462418,-0.2134806442407849,0.09864591984977861,0.18006097922440278
window,EWoK,early10_40,domain_agent-properties,-1.1399687118870245,-0.7417409668429947,0.0028032531233666003,3,-0.3586296269670129,-1.692636558203958,-0.43768163704080515,-0.07905201007379226
