target,global_index,domain,local_index,ContextType,ContextDiff,TargetDiff,ConceptA,ConceptB,buckets,decoder_mode,band,band_start,band_end,s11_sum,s21_sum,s12_sum,s22_sum,official_margin_t1_sum,official_margin_t2_sum,within_context_margin_c1_sum,within_context_margin_c2_sum,interaction_sum,t1_correct,t2_correct,both_official_positive,both_swapped_positive,interaction_positive,both_within_context_positive,stable_conditional_failure,persistent_both_official,persistent_swapped
matched_base_80M,1,agent-properties,1,direct,antonym,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-88.22423988580704,-88.31170985102654,-75.2685404419899,-75.3819052875042,0.08746996521949768,-0.11336484551429749,-12.955699443817139,12.929804563522339,-0.025894880294799805,True,False,False,False,False,False,False,False,False
matched_base_80M,3,agent-properties,3,direct,antonym,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-71.03353810310364,-71.17261257767677,-58.80539959669113,-58.92615056037903,0.13907447457313538,-0.12075096368789673,-12.228138506412506,12.246462017297745,0.018323510885238647,True,False,False,False,True,False,False,False,False
matched_base_80M,9,agent-properties,9,direct,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-72.49880918860435,-72.62275090813637,-58.087920784950256,-58.21152347326279,0.12394171953201294,-0.12360268831253052,-14.410888403654099,14.411227434873581,0.0003390312194824219,True,False,False,False,True,False,False,False,False
matched_base_80M,19,agent-properties,19,indirect,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-90.21172550320625,-90.25228416919708,-75.65560844540596,-75.74460759758949,0.04055866599082947,-0.08899915218353271,-14.556117057800293,14.50767657160759,-0.04844048619270325,True,False,False,False,False,False,False,False,False
matched_base_80M,20,agent-properties,20,indirect,antonym,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-76.14785352349281,-76.22659683227539,-88.84816625714302,-88.87157216668129,0.07874330878257751,-0.023405909538269043,12.700312733650208,-12.644975334405899,0.05533739924430847,True,False,False,False,True,False,False,False,False
matched_base_80M,21,agent-properties,21,indirect,antonym,concept swap,believe,doubt,shared_correct,raw,L1-L2,1,2,-88.87157216668129,-88.84816625714302,-76.22659683227539,-76.14785352349281,-0.023405909538269043,0.07874330878257751,-12.644975334405899,12.700312733650208,0.05533739924430847,False,True,False,False,True,False,False,False,False
matched_base_80M,32,agent-properties,32,indirect,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-59.02052390575409,-59.08307668566704,-72.31985011696815,-72.35304799675941,0.06255277991294861,-0.033197879791259766,13.299326211214066,-13.269971311092377,0.029354900121688843,True,False,False,False,True,False,False,False,False
matched_base_80M,51,agent-properties,51,indirect,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-71.00790220499039,-71.09464898705482,-58.745917558670044,-58.830677062273026,0.08674678206443787,-0.08475950360298157,-12.261984646320343,12.2639719247818,0.001987278461456299,True,False,False,False,True,False,False,False,False
matched_base_80M,66,agent-properties,66,indirect,antonym,concept swap,believe,doubt,shared_correct,raw,L1-L2,1,2,-77.2648715376854,-77.18723851442337,-89.79877445101738,-89.7751450240612,-0.07763302326202393,0.023629426956176758,12.533902913331985,-12.587906509637833,-0.05400359630584717,False,True,False,False,False,False,True,False,False
matched_base_80M,82,agent-properties,82,indirect,other,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-59.069044053554535,-57.91187432408333,-70.56952944397926,-70.40871250629425,-1.1571697294712067,0.16081693768501282,11.500485390424728,-12.496838182210922,-0.9963527917861938,False,True,False,False,False,False,True,False,False
