target,global_index,domain,local_index,ContextType,ContextDiff,TargetDiff,ConceptA,ConceptB,buckets,decoder_mode,band,band_start,band_end,s11_sum,s21_sum,s12_sum,s22_sum,official_margin_t1_sum,official_margin_t2_sum,within_context_margin_c1_sum,within_context_margin_c2_sum,interaction_sum,t1_correct,t2_correct,both_official_positive,both_swapped_positive,interaction_positive,both_within_context_positive,stable_conditional_failure,persistent_both_official,persistent_swapped
scale1p75_disabled_80M,1,agent-properties,1,direct,antonym,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-87.71071219444275,-88.0277045071125,-75.41373160481453,-75.62186361849308,0.31699231266975403,-0.20813201367855072,-12.29698058962822,12.405840888619423,0.10886029899120331,True,False,False,False,True,False,False,False,False
scale1p75_disabled_80M,3,agent-properties,3,direct,antonym,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-68.35016587376595,-68.71688869595528,-58.18811635673046,-58.41995598375797,0.36672282218933105,-0.2318396270275116,-10.162049517035484,10.296932712197304,0.13488319516181946,True,False,False,False,True,False,False,False,False
scale1p75_disabled_80M,9,agent-properties,9,direct,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-72.76591300964355,-73.17818105220795,-59.50527110695839,-59.76999953389168,0.4122680425643921,-0.2647284269332886,-13.260641902685165,13.408181518316269,0.14753961563110352,True,False,False,False,True,False,False,False,False
scale1p75_disabled_80M,19,agent-properties,19,indirect,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-87.32582691311836,-87.34420955181122,-74.81742288172245,-74.82202477753162,0.018382638692855835,-0.004601895809173584,-12.508404031395912,12.522184774279594,0.013780742883682251,True,False,False,False,True,False,False,False,False
scale1p75_disabled_80M,20,agent-properties,20,indirect,antonym,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-75.11859056353569,-75.1114846765995,-87.45244979858398,-87.46264183521271,-0.007105886936187744,-0.010192036628723145,12.333859235048294,-12.351157158613205,-0.01729792356491089,False,False,False,True,False,False,True,False,False
scale1p75_disabled_80M,21,agent-properties,21,indirect,antonym,concept swap,believe,doubt,shared_correct,raw,L1-L2,1,2,-87.46264183521271,-87.45244979858398,-75.1114846765995,-75.11859056353569,-0.010192036628723145,-0.007105886936187744,-12.351157158613205,12.333859235048294,-0.01729792356491089,False,False,False,True,False,False,True,False,False
scale1p75_disabled_80M,32,agent-properties,32,indirect,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-57.11931112408638,-57.15918938815594,-68.827433437109,-68.92606249451637,0.03987826406955719,-0.09862905740737915,11.708122313022614,-11.766873106360435,-0.05875079333782196,True,False,False,False,False,False,False,False,False
scale1p75_disabled_80M,51,agent-properties,51,indirect,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-69.17681394517422,-69.29428921639919,-58.09190817177296,-58.13246527314186,0.11747527122497559,-0.040557101368904114,-11.08490577340126,11.161823943257332,0.07691816985607147,True,False,False,False,True,False,False,False,False
scale1p75_disabled_80M,66,agent-properties,66,indirect,antonym,concept swap,believe,doubt,shared_correct,raw,L1-L2,1,2,-75.21100866794586,-75.22913065552711,-88.32728260755539,-88.31338050961494,0.018121987581253052,0.013902097940444946,13.116273939609528,-13.08424985408783,0.032024085521698,True,True,True,False,True,False,False,False,False
scale1p75_disabled_80M,82,agent-properties,82,indirect,other,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-57.98555672168732,-57.14983120560646,-69.43399842083454,-69.02079041302204,-0.8357255160808563,0.4132080078125,11.448441699147224,-11.87095920741558,-0.4225175082683563,False,True,False,False,False,False,True,False,False
scale1p75_disabled_80M,105,agent-properties,105,indirect,variable swap,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-72.69454780220985,-72.77136397361755,-60.47558802366257,-60.54109841585159,0.07681617140769958,-0.06551039218902588,-12.218959778547287,12.23026555776596,0.011305779218673706,True,False,False,False,True,False,False,False,False
scale1p75_disabled_80M,115,agent-properties,115,direct,negation,concept swap,believe,imagine,removed_stable_failure,raw,L1-L2,1,2,-61.95493692159653,-62.656283751130104,-47.695954620838165,-47.97560088336468,0.701346829533577,-0.27964626252651215,-14.258982300758362,14.680682867765427,0.4217005670070648,True,False,False,False,True,False,False,False,False
scale1p75_disabled_80M,123,agent-properties,123,direct,other,concept swap,believe,imagine,base_only_correct,raw,L1-L2,1,2,-70.80552312731743,-70.87648940086365,-57.76354065537453,-57.91209000349045,0.07096627354621887,-0.14854934811592102,-13.041982471942902,12.9643993973732,-0.07758307456970215,True,False,False,False,False,False,False,False,False
scale1p75_disabled_80M,133,agent-properties,133,indirect,antonym,variable swap,choose,-,removed_stable_failure,raw,L1-L2,1,2,-80.71674954891205,-80.77171671390533,-78.14944192767143,-78.21857663989067,0.05496716499328613,-0.06913471221923828,-2.567307621240616,2.5531400740146637,-0.014167547225952148,True,False,False,False,False,False,False,False,False
scale1p75_disabled_80M,137,agent-properties,137,indirect,antonym,variable swap,choose,-,shared_stable_failure,raw,L1-L2,1,2,-69.5579619705677,-69.59560579061508,-70.44895276427269,-70.44904705882072,0.03764382004737854,-9.429454803466797e-05,0.8909907937049866,-0.8534412682056427,0.03754952549934387,True,False,False,False,True,False,False,False,False
scale1p75_disabled_80M,138,agent-properties,138,indirect,antonym,variable swap,choose,-,scale_only_correct,raw,L1-L2,1,2,-79.67125308513641,-79.62876832485199,-82.1790417432785,-82.15317296981812,-0.04248476028442383,0.025868773460388184,2.50778865814209,-2.5244046449661255,-0.016615986824035645,False,True,False,False,False,False,True,False,False
scale1p75_disabled_80M,145,agent-properties,145,indirect,antonym,variable swap,choose,-,base_only_correct,raw,L1-L2,1,2,-68.44024801254272,-68.43928480148315,-67.61434322595596,-67.60640609264374,-0.0009632110595703125,0.007937133312225342,-0.8259047865867615,0.8328787088394165,0.006973922252655029,False,True,False,False,True,False,False,False,False
scale1p75_disabled_80M,150,agent-properties,150,indirect,antonym,variable swap,choose,-,added_stable_failure,raw,L1-L2,1,2,-71.17385292053223,-71.1802641749382,-70.78187680244446,-70.82265493273735,0.006411254405975342,-0.040778130292892456,-0.39197611808776855,0.35760924220085144,-0.034366875886917114,True,False,False,False,False,False,False,False,False
scale1p75_disabled_80M,161,agent-properties,161,indirect,antonym,variable swap,choose,-,removed_stable_failure,raw,L1-L2,1,2,-79.57262563705444,-79.68100023269653,-77.34585797786713,-77.39783656597137,0.10837459564208984,-0.05197858810424805,-2.226767659187317,2.2831636667251587,0.0563960075378418,True,False,False,False,True,False,False,False,False
scale1p75_disabled_80M,163,agent-properties,163,indirect,antonym,variable swap,choose,-,shared_correct,raw,L1-L2,1,2,-79.96677732467651,-80.11481404304504,-78.78054684400558,-78.85329568386078,0.14803671836853027,-0.07274883985519409,-1.186230480670929,1.2615183591842651,0.07528787851333618,True,False,False,False,True,False,False,False,False
scale1p75_disabled_80M,164,agent-properties,164,indirect,antonym,variable swap,choose,-,scale_only_correct,raw,L1-L2,1,2,-78.78389203548431,-78.87359827756882,-80.15388178825378,-80.13072657585144,0.08970624208450317,0.02315521240234375,1.3699897527694702,-1.2571282982826233,0.11286145448684692,True,True,True,False,True,False,False,False,False
scale1p75_disabled_80M,170,agent-properties,170,indirect,antonym,variable swap,choose,-,removed_stable_failure;scale_only_correct,raw,L1-L2,1,2,-66.15760959684849,-66.26736748218536,-65.6276381611824,-65.75263440608978,0.10975788533687592,-0.12499624490737915,-0.5299714356660843,0.514733076095581,-0.015238359570503235,True,False,False,False,False,False,False,False,False
scale1p75_disabled_80M,171,agent-properties,171,indirect,antonym,variable swap,choose,-,added_stable_failure,raw,L1-L2,1,2,-65.75263440608978,-65.6276381611824,-66.26736748218536,-66.15760959684849,-0.12499624490737915,0.10975788533687592,0.514733076095581,-0.5299714356660843,-0.015238359570503235,False,True,False,False,False,False,True,False,False
scale1p75_disabled_80M,183,agent-properties,183,indirect,antonym,variable swap,choose,-,added_stable_failure,raw,L1-L2,1,2,-68.9247208237648,-68.93296909332275,-68.0425346493721,-68.06417965888977,0.00824826955795288,-0.021645009517669678,-0.8821861743927002,0.8687894344329834,-0.013396739959716797,True,False,False,False,False,False,False,False,False
scale1p75_disabled_80M,194,agent-properties,194,indirect,antonym,variable swap,choose,-,base_only_correct,raw,L1-L2,1,2,-64.58063866198063,-64.61364802718163,-62.02422317862511,-62.082445204257965,0.0330093652009964,-0.058222025632858276,-2.556415483355522,2.5312028229236603,-0.025212660431861877,True,False,False,False,False,False,False,False,False
scale1p75_disabled_80M,196,agent-properties,196,indirect,antonym,variable swap,choose,-,base_only_correct,raw,L1-L2,1,2,-77.28471326828003,-77.2750214934349,-80.85637092590332,-80.82357442378998,-0.009691774845123291,0.032796502113342285,3.571657657623291,-3.548552930355072,0.023104727268218994,False,True,False,False,True,False,False,False,False
