decoder_mode,band_start,band_end,band,n,band_both_correct,band_swap_both_correct,band_both_correct_frac,band_swap_frac,persistent_both_correct,persistent_swap_correct,persistent_both_correct_frac,persistent_swap_frac,actual_minus_swap_persistent,actual_minus_swap_band,M_mean,min_correct_margin_actual,selector_score
raw,1,2,L1-L2,1152,3,3,0.0026041666666666665,0.0026041666666666665,1,0,0.0008680555555555555,0.0,1,0,-0.05036546476185322,"{'n': 3, 'mean': 0.010828653971354166, 'median': 0.012002944946289062, 'p10': 0.0053119659423828125, 'p90': 0.015875625610351562, 'min': 0.00363922119140625, 'max': 0.016843795776367188}",1.0
raw,0,1,L0-L1,1152,0,0,0.0,0.0,0,0,0.0,0.0,0,0,-0.00828662266333898,{'n': 0},0.0
stat,0,1,L0-L1,1152,0,4,0.0,0.003472222222222222,0,0,0.0,0.0,0,-4,-0.02658177146481143,{'n': 0},-1.0
ridge,0,1,L0-L1,1152,0,8,0.0,0.006944444444444444,0,0,0.0,0.0,0,-8,-0.043549546557996005,{'n': 0},-2.0
raw,3,4,L3-L4,1152,3,13,0.0026041666666666665,0.011284722222222222,1,1,0.0008680555555555555,0.0008680555555555555,0,-10,-0.07912368720604314,"{'n': 3, 'mean': 0.013572057088216146, 'median': 0.009912490844726562, 'p10': 0.005257034301757813, 'p90': 0.023350906372070313, 'min': 0.004093170166015625, 'max': 0.02671051025390625}",-2.5
raw,4,5,L4-L5,1152,3,11,0.0026041666666666665,0.009548611111111112,0,1,0.0,0.0008680555555555555,-1,-8,-0.07370556083818276,"{'n': 3, 'mean': 0.052654425303141274, 'median': 0.035698890686035156, 'p10': 0.012034416198730469, 'p90': 0.10005664825439453, 'min': 0.006118297576904297, 'max': 0.11614608764648438}",-3.0
raw,5,6,L5-L6,1152,4,8,0.003472222222222222,0.006944444444444444,0,3,0.0,0.0026041666666666665,-3,-4,-0.08026022836565971,"{'n': 4, 'mean': 0.02199530601501465, 'median': 0.00995016098022461, 'p10': 0.0051075458526611325, 'p90': 0.048519182205200205, 'min': 0.004320621490478516, 'max': 0.06376028060913086}",-4.0
raw,2,3,L2-L3,1152,0,14,0.0,0.012152777777777778,0,1,0.0,0.0008680555555555555,-1,-14,-0.08566106421252091,{'n': 0},-4.5
stat,1,2,L1-L2,1152,0,20,0.0,0.017361111111111112,0,0,0.0,0.0,0,-20,-0.09738570472432508,{'n': 0},-5.0
ridge,2,3,L2-L3,1152,4,22,0.003472222222222222,0.019097222222222224,0,1,0.0,0.0008680555555555555,-1,-18,-0.21906573159827125,"{'n': 4, 'mean': 0.1293790340423584, 'median': 0.11020708084106445, 'p10': 0.05300331115722656, 'p90': 0.22109231948852542, 'min': 0.03666114807128906, 'max': 0.2604408264160156}",-5.5
stat,4,5,L4-L5,1152,3,17,0.0026041666666666665,0.014756944444444444,0,2,0.0,0.001736111111111111,-2,-14,-0.08764380216598511,"{'n': 3, 'mean': 0.032274881998697914, 'median': 0.02351856231689453, 'p10': 0.022690773010253906, 'p90': 0.04536151885986328, 'min': 0.02248382568359375, 'max': 0.05082225799560547}",-5.5
stat,3,4,L3-L4,1152,2,17,0.001736111111111111,0.014756944444444444,0,2,0.0,0.001736111111111111,-2,-15,-0.10526518813437885,"{'n': 2, 'mean': 0.0015864372253417969, 'median': 0.0015864372253417969, 'p10': 0.0009345054626464845, 'p90': 0.0022383689880371097, 'min': 0.0007715225219726562, 'max': 0.0024013519287109375}",-5.75
ridge,3,4,L3-L4,1152,1,23,0.0008680555555555555,0.019965277777777776,0,1,0.0,0.0008680555555555555,-1,-22,-0.19383655529883173,"{'n': 1, 'mean': 0.08424758911132812, 'median': 0.08424758911132812, 'p10': 0.08424758911132812, 'p90': 0.08424758911132812, 'min': 0.08424758911132812, 'max': 0.08424758911132812}",-6.5
stat,5,6,L5-L6,1152,1,19,0.0008680555555555555,0.016493055555555556,0,2,0.0,0.001736111111111111,-2,-18,-0.09214893149005042,"{'n': 1, 'mean': 0.024820327758789062, 'median': 0.024820327758789062, 'p10': 0.024820327758789062, 'p90': 0.024820327758789062, 'min': 0.024820327758789062, 'max': 0.024820327758789062}",-6.5
ridge,4,5,L4-L5,1152,3,23,0.0026041666666666665,0.019965277777777776,0,2,0.0,0.001736111111111111,-2,-20,-0.1592037897143099,"{'n': 3, 'mean': 0.09515754381815593, 'median': 0.07640242576599121, 'p10': 0.07185397148132325, 'p90': 0.1259631633758545, 'min': 0.07071685791015625, 'max': 0.1383533477783203}",-7.0
stat,2,3,L2-L3,1152,1,19,0.0008680555555555555,0.016493055555555556,0,3,0.0,0.0026041666666666665,-3,-18,-0.132444699605306,"{'n': 1, 'mean': 0.028497695922851562, 'median': 0.028497695922851562, 'p10': 0.028497695922851562, 'p90': 0.028497695922851562, 'min': 0.028497695922851562, 'max': 0.028497695922851562}",-7.5
ridge,5,6,L5-L6,1152,4,24,0.003472222222222222,0.020833333333333332,0,3,0.0,0.0026041666666666665,-3,-20,-0.14704847077114713,"{'n': 4, 'mean': 0.05858933925628662, 'median': 0.04112100601196289, 'p10': 0.016997051239013673, 'p90': 0.11415629386901857, 'min': 0.008694648742675781, 'max': 0.14342069625854492}",-8.0
ridge,1,2,L1-L2,1152,2,29,0.001736111111111111,0.025173611111111112,0,4,0.0,0.003472222222222222,-4,-27,-0.15727516719036633,"{'n': 2, 'mean': 0.17908215522766113, 'median': 0.17908215522766113, 'p10': 0.1346804141998291, 'p90': 0.22348389625549317, 'min': 0.1235799789428711, 'max': 0.23458433151245117}",-10.75
stat,6,7,L6-L7,1152,55,103,0.04774305555555555,0.08940972222222222,1,3,0.0008680555555555555,0.0026041666666666665,-2,-48,-0.33397070662532413,"{'n': 55, 'mean': 1.540485202182423, 'median': 1.1481528282165527, 'p10': 0.05712876319885253, 'p90': 3.7541860103607183, 'min': 0.009575366973876953, 'max': 4.31224250793457}",-14.0
raw,6,7,L6-L7,1152,53,102,0.04600694444444445,0.08854166666666667,0,7,0.0,0.006076388888888889,-7,-49,-0.3248843530180036,"{'n': 53, 'mean': 1.391989899131487, 'median': 0.8603916168212891, 'p10': 0.11482274532318115, 'p90': 3.5478196144104004, 'min': 0.003859996795654297, 'max': 3.936396837234497}",-19.25
ridge,6,7,L6-L7,1152,64,110,0.05555555555555555,0.0954861111111111,1,9,0.0008680555555555555,0.0078125,-8,-46,-0.38580239780842224,"{'n': 64, 'mean': 1.7990401480346918, 'median': 1.0838204622268677, 'p10': 0.12488083839416508, 'p90': 3.9891623079776766, 'min': 0.0052525997161865234, 'max': 6.358534336090088}",-19.5
raw,7,8,L7-L8,1152,171,301,0.1484375,0.2612847222222222,76,125,0.06597222222222222,0.10850694444444445,-49,-130,-0.9628694498104677,"{'n': 171, 'mean': 3.0815382722264144, 'median': 2.268320381641388, 'p10': 0.3472168445587158, 'p90': 7.0209298729896545, 'min': 0.014455735683441162, 'max': 12.476636171340942}",-81.5
stat,7,8,L7-L8,1152,174,306,0.15104166666666666,0.265625,78,136,0.06770833333333333,0.11805555555555555,-58,-132,-0.9659223832689653,"{'n': 174, 'mean': 3.0701798075146374, 'median': 2.32946215569973, 'p10': 0.24019651412963866, 'p90': 7.152731215953829, 'min': 0.02277851104736328, 'max': 13.001814603805542}",-91.0
ridge,7,8,L7-L8,1152,173,297,0.1501736111111111,0.2578125,82,145,0.07118055555555555,0.12586805555555555,-63,-124,-0.9895425001749472,"{'n': 173, 'mean': 3.216230815933274, 'median': 2.338026285171509, 'p10': 0.22375205755233762, 'p90': 8.068718254566194, 'min': 0.0009698867797851562, 'max': 14.43717885017395}",-94.0
