target,global_index,domain,local_index,ContextType,ContextDiff,TargetDiff,ConceptA,ConceptB,buckets,decoder_mode,band,band_start,band_end,s11_sum,s21_sum,s12_sum,s22_sum,official_margin_t1_sum,official_margin_t2_sum,within_context_margin_c1_sum,within_context_margin_c2_sum,interaction_sum,t1_correct,t2_correct,both_official_positive,both_swapped_positive,interaction_positive,both_within_context_positive,stable_conditional_failure,persistent_both_official,persistent_swapped
scale1p75_live_80M,1,agent-properties,1,direct,antonym,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-87.58651530742645,-87.894482254982,-75.27913171052933,-75.51470595598221,0.307966947555542,-0.23557424545288086,-12.307383596897125,12.379776298999786,0.07239270210266113,True,False,False,False,True,False,False,False,False
scale1p75_live_80M,3,agent-properties,3,direct,antonym,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-67.99937415122986,-68.36278873682022,-57.75381921231747,-57.98830209672451,0.36341458559036255,-0.23448288440704346,-10.245554938912392,10.37448664009571,0.1289317011833191,True,False,False,False,True,False,False,False,False
scale1p75_live_80M,9,agent-properties,9,direct,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-72.62064802646637,-73.01818907260895,-59.21311166882515,-59.47949931025505,0.3975410461425781,-0.2663876414299011,-13.40753635764122,13.538689762353897,0.131153404712677,True,False,False,False,True,False,False,False,False
scale1p75_live_80M,19,agent-properties,19,indirect,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-87.28840598464012,-87.3088458776474,-74.66070240736008,-74.66128818690777,0.020439893007278442,-0.0005857795476913452,-12.627703577280045,12.647557690739632,0.019854113459587097,True,False,False,False,True,False,False,False,False
scale1p75_live_80M,20,agent-properties,20,indirect,antonym,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-75.13918687403202,-75.1259723007679,-87.3942409157753,-87.40154755115509,-0.01321457326412201,-0.00730663537979126,12.255054041743279,-12.275575250387192,-0.02052120864391327,False,False,False,True,False,False,True,False,False
scale1p75_live_80M,21,agent-properties,21,indirect,antonym,concept swap,believe,doubt,shared_correct,raw,L1-L2,1,2,-87.40154755115509,-87.3942409157753,-75.1259723007679,-75.13918687403202,-0.00730663537979126,-0.01321457326412201,-12.275575250387192,12.255054041743279,-0.02052120864391327,False,False,False,True,False,False,True,False,False
scale1p75_live_80M,32,agent-properties,32,indirect,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-56.73703649640083,-56.775756523013115,-68.50279808044434,-68.60150423645973,0.0387200266122818,-0.09870615601539612,11.765761584043503,-11.825747713446617,-0.05998612940311432,True,False,False,False,False,False,False,False,False
scale1p75_live_80M,51,agent-properties,51,indirect,antonym,concept swap,believe,doubt,added_stable_failure,raw,L1-L2,1,2,-68.807781919837,-68.93105252087116,-57.52647593617439,-57.571565479040146,0.12327060103416443,-0.045089542865753174,-11.281305983662605,11.359487041831017,0.07818105816841125,True,False,False,False,True,False,False,False,False
scale1p75_live_80M,66,agent-properties,66,indirect,antonym,concept swap,believe,doubt,shared_correct,raw,L1-L2,1,2,-75.03736236691475,-75.05903570353985,-88.25852099061012,-88.24258610606194,0.021673336625099182,0.015934884548187256,13.221158623695374,-13.183550402522087,0.03760822117328644,True,True,True,False,True,False,False,False,False
scale1p75_live_80M,82,agent-properties,82,indirect,other,concept swap,believe,doubt,removed_stable_failure,raw,L1-L2,1,2,-57.463081270456314,-56.659084022045135,-69.07177300751209,-68.66702312231064,-0.8039972484111786,0.40474988520145416,11.608691737055779,-12.007939100265503,-0.3992473632097244,False,True,False,False,False,False,True,False,False
