domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,494,0.14777327935222673,386,0.7813765182186235,0.9168646080760094,421,-0.9301259876228869
social-relations,303,0.1782178217821782,213,0.7029702970297029,0.8554216867469879,249,-0.8289417633786798
physical-relations,223,0.2600896860986547,142,0.6367713004484304,0.8606060606060606,165,-1.5051060006953776
spatial-relations,147,0.12244897959183673,124,0.8435374149659864,0.9612403100775194,129,-0.6080189114436507
physical-interactions,93,0.26881720430107525,53,0.5698924731182796,0.7794117647058824,68,-0.22769967559725046
material-dynamics,65,0.5384615384615384,20,0.3076923076923077,0.6666666666666666,30,-0.005535189062356949
quantitative-properties,46,0.5434782608695652,15,0.32608695652173914,0.7142857142857143,21,-0.11074724630452693
social-interactions,38,0.39473684210526316,13,0.34210526315789475,0.5652173913043478,23,-0.015843812027014792
social-properties,40,0.4,12,0.3,0.5,24,0.030110947787761688
material-properties,9,0.2222222222222222,5,0.5555555555555556,0.7142857142857143,7,-0.39362656231969595
physical-dynamics,13,0.5384615384615384,5,0.38461538461538464,0.8333333333333334,6,0.11927633918821812
