arm,official_reproduced_parallel_accuracy,all_rank1,all_rank2,all_rank3,all_rank4,all_mean_top_minus_correct,all_median_top_minus_correct,all_small_wrong_le_0p25,all_small_wrong_le_0p50,hard52_accuracy,hard52_rank1,hard52_rank2,hard52_rank3,hard52_rank4,hard52_mean_top_minus_correct,hard52_median_top_minus_correct,hard52_small_wrong_le_0p25,hard52_small_wrong_le_0p50,model_root,revision
compact_view_70M,26.21359223300971,27,26,24,26,1.0356364750470393,0.6736047051169656,7,16,3.8461538461538463,2,12,17,21,1.7031002964455157,1.4675402641296387,1,6,experiments/archive/frontier_consolidation/training/runs/fw_compact_view_shared16k_seed43022/hf_model/chck_70M,main
source_breadth_rowblock_70M,26.21359223300971,27,27,33,16,0.9190464588224496,0.5545846939086916,8,20,1.9230769230769231,1,15,25,11,1.4763328583714115,1.2441237767537432,2,9,experiments/archive/frontier_consolidation/training/runs/fw_source_breadth_shared16k_seed43022/hf_model/chck_70M,main
