source,target,parallel_accuracy,hard52_mean_top_minus_correct,hard52_rank2,hard52_rank3,hard52_rank4
previous_endpoint,legal40k8x480_43022,22.33009708737864,1.953398905689513,11,18,23
previous_endpoint,legal16k8x480_43022,26.21359223300971,1.7828714988464314,10,20,22
previous_endpoint,depth12x384_43022,24.271844660194176,1.858921292610368,13,18,21
previous_endpoint,inherited16k_noncompliant_43022,25.24271844660194,1.8377760893575519,10,24,18
A02_70M,compact_view_70M,26.21359223300971,1.7031002964455157,12,17,21
A02_70M,source_breadth_rowblock_70M,26.21359223300971,1.4763328583714115,15,25,11
