subset,n,compact_correct,breadth_correct,breadth_minus_compact_correct,breadth_better_rank_rows,same_rank_rows,breadth_worse_rank_rows,breadth_lower_margin_rows,breadth_higher_margin_rows,mean_margin_delta_breadth_minus_compact,median_margin_delta_breadth_minus_compact
all103,103,27,27,0,32,49,22,48,37,-0.11659001622458964,0.0
hard52,52,2,1,-1,18,24,10,30,22,-0.22676743807410427,-0.08646800177437919
other51,51,25,26,1,14,25,12,18,15,-0.004252252770182588,0.0
