model_type,model_label,pair_id,pair_type,target_segment,token_text,token_norm,token_is_content_norm,orig_id,copy_by_id,copy_by_text,source_bpe_zone_by_id,source_bpe_zone_by_norm,source_bpe_positions_by_id,source_bpe_positions_by_norm,repeat_prefix_words,source_word_count,source_token_count,paired_nll,sideonly_nll,lift_nll_sideonly_minus_paired
mlm,scale1p75_chck100,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,disc,disc,True,1207,True,True,prefix_only,prefix_only,[1],[1],7,10,13,0.025437340140342712,11.071107864379883,11.04567052423954
mlm,scale1p75_chck100,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,are,are,False,331,True,True,prefix_only,prefix_only,[2],[2],7,10,13,0.01692623272538185,0.28301939368247986,0.266093160957098
mlm,scale1p75_chck100,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,and,and,False,223,True,True,prefix_only,prefix_only,[5],[5],7,10,13,0.028568847104907036,0.8483901619911194,0.8198213148862123
mlm,scale1p75_chck100,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,usually,usually,True,2591,True,True,prefix_only,prefix_only,[6],[6],7,10,13,0.16488461196422577,4.061059474945068,3.8961748629808426
mlm,scale1p75_chck100,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,Bul,bul,False,11494,True,True,prefix_only,prefix_only,[0],[0],7,10,13,1.0310876369476318,13.034870147705078,12.003782510757446
mlm,scale1p75_chck100,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,and,and,False,223,True,True,prefix_only,prefix_only,[5],[5],7,10,13,0.03251461312174797,0.8386156558990479,0.8061010427772999
mlm,scale1p75_chck100,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,pain,pain,True,2343,True,True,tail_only,tail_only,[9],[9],7,10,13,0.45403122901916504,7.573784351348877,7.119753122329712
mlm,scale1p75_chck100,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,less,less,False,1251,False,False,not_in_source,not_in_source,[],[],7,10,13,5.695533752441406,4.727294445037842,-0.9682393074035645
mlm,scale1p75_chck100,compact:frontier_consolidation_fwcompact_medium_012971,repeat,source,are,are,False,331,True,True,prefix_only,prefix_only,[2],[2],7,10,13,0.014634409919381142,0.28301939368247986,0.2683849837630987
mlm,scale1p75_chck100,compact:frontier_consolidation_fwcompact_medium_012971,repeat,source,more,more,False,522,True,True,prefix_only,prefix_only,[3],[3],7,10,13,0.034307174384593964,3.843081474304199,3.8087742999196053
