pair_id,key,source_words,view_words,ratio_view_to_source,compact_source_content_coverage,repeat_source_content_coverage,compact_minus_repeat_content_coverage,compact_tail_content_coverage,compact_has_tail_content_recovery,compact_content_fraction,repeat_content_fraction,compact_source_absent_content_words,compact_source_absent_content_fraction_of_view,compact_source_absent_content_fraction_of_content,compact_copied_content_words,compact_tail_only_content_words,compact_tail_any_content_words,compact_tail_only_content_fraction_of_content,compact_content_jaccard_source,repeat_content_jaccard_source,compact_vs_repeat_content_jaccard,compact_minus_repeat_active_tokens,compact_minus_repeat_word_groups,compact_minus_repeat_truncated
compact:frontier_consolidation_fwcompact_medium_030942,sid:30942|doc:16937,35,16,0.45714285714285713,0.5,0.4444444444444444,0.05555555555555555,0.5,True,0.6875,0.5,3,0.1875,0.2727272727272727,8,4,6,0.36363636363636365,0.4117647058823529,0.42857142857142855,0.23076923076923078,4,0,0
compact:frontier_consolidation_fwcompact_medium_056222,sid:56222|doc:4470,24,16,0.6666666666666666,0.75,0.5,0.25,0.8333333333333334,True,0.625,0.375,1,0.0625,0.1,9,5,5,0.5,0.6923076923076923,0.5,0.3333333333333333,6,0,0
compact:frontier_consolidation_fwcompact_medium_061408,sid:61408|doc:12931,22,14,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,True,0.6428571428571429,0.42857142857142855,3,0.21428571428571427,0.3333333333333333,6,2,2,0.2222222222222222,0.5,0.6666666666666666,0.36363636363636365,0,0,0
compact:frontier_consolidation_fwcompact_medium_009048,sid:9048|doc:3017,14,7,0.5,0.7142857142857143,0.5714285714285714,0.14285714285714285,1.0,True,0.5714285714285714,0.5714285714285714,0,0.0,0.0,4,2,3,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,2,0,0
compact:frontier_consolidation_fwcompact_medium_006670,sid:6670|doc:3111,13,9,0.6923076923076923,0.5714285714285714,0.5714285714285714,0.0,0.3333333333333333,True,0.6666666666666666,0.4444444444444444,2,0.2222222222222222,0.3333333333333333,4,1,1,0.16666666666666666,0.4444444444444444,0.5714285714285714,0.42857142857142855,2,0,0
compact:frontier_consolidation_fwcompact_medium_032285,sid:32285|doc:13818,16,12,0.75,0.75,0.75,0.0,0.5,True,0.5833333333333334,0.5,2,0.16666666666666666,0.2857142857142857,5,1,1,0.14285714285714285,0.5555555555555556,0.7142857142857143,0.5,3,0,0
compact:frontier_consolidation_fwcompact_medium_027904,sid:27904|doc:14209,17,14,0.8235294117647058,0.7142857142857143,0.7142857142857143,0.0,1.0,True,0.5,0.35714285714285715,2,0.14285714285714285,0.2857142857142857,5,2,2,0.2857142857142857,0.5555555555555556,0.7142857142857143,0.3333333333333333,1,0,0
compact:frontier_consolidation_fwcompact_medium_043587,sid:43587|doc:6797,18,15,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,1.0,True,0.4,0.4,0,0.0,0.0,6,1,1,0.16666666666666666,0.8571428571428571,0.8571428571428571,0.7142857142857143,1,0,0
compact:frontier_consolidation_fwcompact_medium_002231,sid:2231|doc:13499,19,9,0.47368421052631576,0.45454545454545453,0.5454545454545454,-0.09090909090909091,0.4,True,0.7777777777777778,0.6666666666666666,2,0.2222222222222222,0.2857142857142857,5,2,2,0.2857142857142857,0.38461538461538464,0.5454545454545454,0.3,2,0,0
compact:frontier_consolidation_fwcompact_medium_047526,sid:47526|doc:13434,30,23,0.7666666666666667,0.8333333333333334,0.75,0.08333333333333333,0.6666666666666666,True,0.4782608695652174,0.391304347826087,1,0.043478260869565216,0.09090909090909091,10,1,3,0.09090909090909091,0.7272727272727273,0.8,0.7,4,0,0
compact:frontier_consolidation_fwcompact_medium_049817,sid:49817|doc:13608,24,15,0.625,0.6363636363636364,0.6363636363636364,0.0,0.25,True,0.6,0.4666666666666667,2,0.13333333333333333,0.2222222222222222,7,1,1,0.1111111111111111,0.5384615384615384,0.6363636363636364,0.6,1,0,0
compact:frontier_consolidation_fwcompact_medium_000116,sid:116|doc:2306,17,12,0.7058823529411765,0.75,0.625,0.125,0.6666666666666666,True,0.6666666666666666,0.4166666666666667,2,0.16666666666666666,0.25,6,2,2,0.25,0.6,0.625,0.4444444444444444,1,0,0
compact:frontier_consolidation_fwcompact_medium_059127,sid:59127|doc:4739,26,16,0.6153846153846154,0.7,0.7,0.0,0.6666666666666666,True,0.5,0.4375,1,0.0625,0.125,7,2,2,0.25,0.6363636363636364,0.7,0.5,2,0,0
compact:frontier_consolidation_fwcompact_medium_045904,sid:45904|doc:7496,16,11,0.6875,0.6,0.6,0.0,0.25,True,0.7272727272727273,0.5454545454545454,2,0.18181818181818182,0.25,6,1,1,0.125,0.5,0.6,0.5555555555555556,7,0,0
compact:frontier_consolidation_fwcompact_medium_060568,sid:60568|doc:4478,13,10,0.7692307692307693,0.8,0.6,0.2,1.0,True,0.5,0.3,1,0.1,0.2,4,2,2,0.4,0.6666666666666666,0.6,0.3333333333333333,4,0,0
compact:frontier_consolidation_fwcompact_medium_013583,sid:13583|doc:3954,26,17,0.6538461538461539,0.625,0.625,0.0,0.8333333333333334,True,0.6470588235294118,0.5882352941176471,1,0.058823529411764705,0.09090909090909091,10,3,7,0.2727272727272727,0.6153846153846154,0.75,0.38461538461538464,3,0,0
compact:frontier_consolidation_fwcompact_medium_057550,sid:57550|doc:14345,16,8,0.5,0.625,0.375,0.25,0.4,True,0.625,0.375,0,0.0,0.0,5,2,2,0.4,0.625,0.375,0.6,1,0,0
compact:frontier_consolidation_fwcompact_medium_045263,sid:45263|doc:10582,27,16,0.5925925925925926,0.5555555555555556,0.6666666666666666,-0.1111111111111111,0.6666666666666666,True,0.4375,0.375,2,0.125,0.2857142857142857,5,2,2,0.2857142857142857,0.45454545454545453,0.6666666666666666,0.3,-1,0,0
compact:frontier_consolidation_fwcompact_medium_044413,sid:44413|doc:9417,19,12,0.631578947368421,0.5714285714285714,0.7142857142857143,-0.14285714285714285,1.0,True,0.4166666666666667,0.4166666666666667,1,0.08333333333333333,0.2,4,2,2,0.4,0.5,0.7142857142857143,0.25,1,0,0
compact:frontier_consolidation_fwcompact_medium_002320,sid:2320|doc:5834,42,24,0.5714285714285714,0.55,0.55,0.0,0.7777777777777778,True,0.5833333333333334,0.4583333333333333,3,0.125,0.21428571428571427,11,5,9,0.35714285714285715,0.42857142857142855,0.6111111111111112,0.21052631578947367,0,0,0
compact:frontier_consolidation_fwcompact_medium_053532,sid:53532|doc:12000,34,17,0.5,0.5294117647058824,0.5294117647058824,0.0,0.375,True,0.5882352941176471,0.5294117647058824,1,0.058823529411764705,0.1,9,1,5,0.1,0.4375,0.6,0.5454545454545454,2,0,0
compact:frontier_consolidation_fwcompact_medium_008176,sid:8176|doc:8386,16,12,0.75,0.7777777777777778,0.6666666666666666,0.1111111111111111,0.6666666666666666,True,0.5833333333333334,0.5,0,0.0,0.0,7,2,2,0.2857142857142857,0.7777777777777778,0.6666666666666666,0.625,1,0,0
compact:frontier_consolidation_fwcompact_medium_013194,sid:13194|doc:2472,23,16,0.6956521739130435,0.8888888888888888,0.5555555555555556,0.3333333333333333,1.0,True,0.5,0.3125,0,0.0,0.0,8,4,4,0.5,0.8888888888888888,0.5555555555555556,0.4444444444444444,3,0,0
compact:frontier_consolidation_fwcompact_medium_036269,sid:36269|doc:3488,14,8,0.5714285714285714,0.7,0.5,0.2,0.4,True,0.75,0.625,1,0.125,0.16666666666666666,5,0,2,0.0,0.5555555555555556,0.625,0.8333333333333334,4,0,0
compact:frontier_consolidation_fwcompact_medium_006713,sid:6713|doc:13082,16,12,0.75,1.0,0.6,0.4,1.0,True,0.75,0.5,0,0.0,0.0,9,3,4,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,7,0,0
compact:frontier_consolidation_fwcompact_medium_059794,sid:59794|doc:8844,17,14,0.8235294117647058,0.6363636363636364,0.9090909090909091,-0.2727272727272727,1.0,True,0.5714285714285714,0.7142857142857143,1,0.07142857142857142,0.125,7,1,1,0.125,0.5454545454545454,0.9,0.45454545454545453,-4,0,0
compact:frontier_consolidation_fwcompact_medium_053027,sid:53027|doc:7838,34,27,0.7941176470588235,0.8181818181818182,0.7727272727272727,0.045454545454545456,1.0,True,0.7037037037037037,0.6296296296296297,1,0.037037037037037035,0.05263157894736842,18,5,5,0.2631578947368421,0.782608695652174,0.7727272727272727,0.5652173913043478,-1,0,0
compact:frontier_consolidation_fwcompact_medium_010536,sid:10536|doc:3716,23,14,0.6086956521739131,0.6923076923076923,0.6923076923076923,0.0,0.75,True,0.8571428571428571,0.6428571428571429,3,0.21428571428571427,0.25,9,3,3,0.25,0.5625,0.6923076923076923,0.4,1,0,0
compact:frontier_consolidation_fwcompact_medium_010009,sid:10009|doc:9835,13,7,0.5384615384615384,0.8,0.4,0.4,1.0,True,0.5714285714285714,0.2857142857142857,0,0.0,0.0,4,3,3,0.75,0.8,0.4,0.2,3,0,0
compact:frontier_consolidation_fwcompact_medium_012062,sid:12062|doc:9883,25,14,0.56,0.7272727272727273,0.45454545454545453,0.2727272727272727,0.5,True,0.6428571428571429,0.35714285714285715,1,0.07142857142857142,0.1111111111111111,8,3,3,0.3333333333333333,0.6666666666666666,0.45454545454545453,0.5555555555555556,1,0,0
compact:frontier_consolidation_fwcompact_medium_055301,sid:55301|doc:13566,28,20,0.7142857142857143,0.75,0.6875,0.0625,0.6,True,0.65,0.55,1,0.05,0.07692307692307693,12,3,3,0.23076923076923078,0.7058823529411765,0.6875,0.6,6,0,0
