seed,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
43022,VminusC,gain_T_vs_U,1200,0.025288814347457233,0.0354581591790232,0.5125
43022,VminusC,gain_T_vs_N,1200,0.04852485634341266,0.03564127557264377,0.5408333333333334
43022,VminusC,gain_U_vs_N,1200,0.023236041995955414,0.017782896820974635,0.5016666666666667
43022,RminusC,gain_T_vs_U,1200,-0.27535098202843483,0.03658146124209052,0.4091666666666667
43022,RminusC,gain_T_vs_N,1200,-0.20726262486630326,0.036691688221760055,0.4475
43022,RminusC,gain_U_vs_N,1200,0.0680883571621315,0.018271093004842486,0.5233333333333333
43022,VminusR,gain_T_vs_U,1200,0.300639796375892,0.03596462762176541,0.6
43022,VminusR,gain_T_vs_N,1200,0.25578748120971595,0.03628407710221502,0.6075
43022,VminusR,gain_U_vs_N,1200,-0.04485231516617609,0.018008529838573012,0.46416666666666667
43122,VminusC,gain_T_vs_U,1200,0.08620000646242665,0.03587517013575734,0.5341666666666667
43122,VminusC,gain_T_vs_N,1200,0.06022028758468676,0.03571442089304093,0.52
43122,VminusC,gain_U_vs_N,1200,-0.025979718877739887,0.018476764679812373,0.48333333333333334
43122,RminusC,gain_T_vs_U,1200,-0.23822301080346933,0.03874243636883503,0.445
43122,RminusC,gain_T_vs_N,1200,-0.24929583524434648,0.0383799816027892,0.44166666666666665
43122,RminusC,gain_U_vs_N,1200,-0.011072824440877106,0.020536747486814888,0.51
43122,VminusR,gain_T_vs_U,1200,0.324423017265896,0.03607256158202752,0.6025
43122,VminusR,gain_T_vs_N,1200,0.30951612282903324,0.036050873482430974,0.5858333333333333
43122,VminusR,gain_U_vs_N,1200,-0.014906894436862782,0.019274861955197994,0.4775
43222,VminusC,gain_T_vs_U,1200,-0.0009780236512112062,0.03620216753983018,0.49916666666666665
43222,VminusC,gain_T_vs_N,1200,-0.013901631670822898,0.036613265195166306,0.49916666666666665
43222,VminusC,gain_U_vs_N,1200,-0.012923608019611704,0.018100475169301203,0.5025
43222,RminusC,gain_T_vs_U,1200,-0.17077898657137766,0.03314146479593384,0.445
43222,RminusC,gain_T_vs_N,1200,-0.19483282776407174,0.03355705227647521,0.43333333333333335
43222,RminusC,gain_U_vs_N,1200,-0.024053841192694058,0.018626428548154626,0.45916666666666667
43222,VminusR,gain_T_vs_U,1200,0.16980096292016647,0.03646090075183618,0.5383333333333333
43222,VminusR,gain_T_vs_N,1200,0.18093119609324881,0.03637927336350252,0.5433333333333333
43222,VminusR,gain_U_vs_N,1200,0.01113023317308236,0.017711222403209468,0.5133333333333333
