seed,token_class,contrast,n_min,delta_true_nll,delta_unrelated_nll,delta_gain_U_minus_T,delta_true_target_prob,delta_unrelated_target_prob,a_true_target_prob,b_true_target_prob
43022,overlap,RminusC,3160,-0.09194928021200899,-0.35983289498759774,-0.2678836147755881,0.06704407696507164,0.00028964847398435176,0.6548181510927851,0.5877740741277134
43022,overlap,VminusC,3160,-0.9362133596122856,-0.38498404902113403,0.551229310591153,0.16790794919383323,0.00210271871961756,0.7556820233215467,0.5877740741277134
43022,overlap,VminusR,3160,-0.8442640794002766,-0.025151154033536294,0.8191129253667411,0.10086387222876159,0.0018130702456332082,0.7556820233215467,0.6548181510927851
43022,nonoverlap,RminusC,2732,0.4479982410859824,-0.30371032848219226,-0.7517085695681751,-0.00378689068614238,0.0028319699630872074,0.029380498167570553,0.03316738885371293
43022,nonoverlap,VminusC,2732,-1.1787566183766254,-0.49506759217783713,0.683689026198788,0.03500184335214441,0.0054641871224549825,0.06816923220585734,0.03316738885371293
43022,nonoverlap,VminusR,2732,-1.6267548594626078,-0.19135726369564487,1.4353975957669631,0.03878873403828679,0.002632217159367775,0.06816923220585734,0.029380498167570553
43122,overlap,RminusC,3160,-0.06382148656189157,-0.347168550526459,-0.283347063964567,0.07691634413391424,0.0007036410137291251,0.6659420971988919,0.5890257530649776
43122,overlap,VminusC,3160,-0.9770984118534911,-0.31886385437359,0.6582345574799007,0.16150402530163743,0.0016835119011853594,0.750529778366615,0.5890257530649776
43122,overlap,VminusR,3160,-0.9132769252915995,0.028304696152869013,0.9415816214444677,0.0845876811677232,0.0009798708874562342,0.750529778366615,0.6659420971988919
43122,nonoverlap,RminusC,2732,0.6931114426860381,-0.350199598403524,-1.0433110410895625,-0.007620323877697479,0.0006596631165134061,0.025173759576523912,0.03279408345422139
43122,nonoverlap,VminusC,2732,-1.3543801780278972,-0.4605914249900529,0.8937887530378439,0.03854522593500987,0.004424046253132837,0.07133930938923126,0.03279408345422139
43122,nonoverlap,VminusR,2732,-2.0474916207139353,-0.11039182658652891,1.9370997941274064,0.046165549812707346,0.0037643831366194307,0.07133930938923126,0.025173759576523912
43222,overlap,RminusC,3160,0.21512869489128095,-0.4968150833269913,-0.7119437782182727,0.022013429192793366,0.0008627941727311003,0.6167275846689636,0.5947141554761702
43222,overlap,VminusC,3160,-0.8526292548455775,-0.44861048086664734,0.4040187739789296,0.1539058063093094,0.002681842433166005,0.7486199617854796,0.5947141554761702
43222,overlap,VminusR,3160,-1.0677579497368583,0.04820460246034397,1.1159625521972023,0.13189237711651602,0.0018190482604349047,0.7486199617854796,0.6167275846689636
43222,nonoverlap,RminusC,2732,0.41559257040391984,-0.4347227539543548,-0.8503153243582737,-0.006847287332478129,0.0035410422702022073,0.02466200973979124,0.03150929707226937
43222,nonoverlap,VminusC,2732,-1.3680078738549488,-0.5287590559172912,0.8392488179376587,0.03902828852225473,0.00480032326170122,0.0705375855945241,0.03150929707226937
43222,nonoverlap,VminusR,2732,-1.7836004442588687,-0.09403630196293644,1.6895641422959324,0.045875575854732856,0.0012592809914990129,0.0705375855945241,0.02466200973979124
