contrast,group,late_mean_acc_a,late_mean_acc_b,late_mean_delta_accuracy_pct,mean_prefix_words,mean_relevant_updates,mean_total_ops,n,n_checkpoints,seed
RminusC,ALL,25.653883972468044,25.058997050147493,0.5948869223205513,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
RSminusC,ALL,24.700098328416914,25.058997050147493,-0.35889872173057924,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
RSminusR,ALL,24.700098328416914,25.653883972468044,-0.9537856440511305,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
VminusC,ALL,27.369714847590956,25.058997050147493,2.3107177974434627,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
VSminusC,ALL,23.03834808259587,25.058997050147493,-2.0206489675516224,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
VSminusV,ALL,23.03834808259587,27.369714847590956,-4.331366764995085,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
RminusV,ALL,25.653883972468044,27.369714847590956,-1.7158308751229114,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
RSminusVS,ALL,24.700098328416914,23.03834808259587,1.6617502458210431,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
RminusC,rel0_total_ops_0,46.82017543859649,36.40350877192983,10.416666666666664,61.473684210526315,0.0,0.0,304,3,43122
RSminusC,rel0_total_ops_0,39.69298245614035,36.40350877192983,3.2894736842105203,61.473684210526315,0.0,0.0,304,3,43122
RSminusR,rel0_total_ops_0,39.69298245614035,46.82017543859649,-7.127192982456144,61.473684210526315,0.0,0.0,304,3,43122
VminusC,rel0_total_ops_0,41.00877192982456,36.40350877192983,4.605263157894733,61.473684210526315,0.0,0.0,304,3,43122
VSminusC,rel0_total_ops_0,36.95175438596491,36.40350877192983,0.548245614035082,61.473684210526315,0.0,0.0,304,3,43122
VSminusV,rel0_total_ops_0,36.95175438596491,41.00877192982456,-4.057017543859651,61.473684210526315,0.0,0.0,304,3,43122
RminusV,rel0_total_ops_0,46.82017543859649,41.00877192982456,5.811403508771932,61.473684210526315,0.0,0.0,304,3,43122
RSminusVS,rel0_total_ops_0,39.69298245614035,36.95175438596491,2.7412280701754383,61.473684210526315,0.0,0.0,304,3,43122
RminusC,rel0_total_ops_1,45.39559014267186,39.559014267185475,5.836575875486382,69.715953307393,0.0,1.0,257,3,43122
RSminusC,rel0_total_ops_1,35.01945525291829,39.559014267185475,-4.539559014267184,69.715953307393,0.0,1.0,257,3,43122
RSminusR,rel0_total_ops_1,35.01945525291829,45.39559014267186,-10.376134889753565,69.715953307393,0.0,1.0,257,3,43122
VminusC,rel0_total_ops_1,39.0402075226978,39.559014267185475,-0.5188067444876765,69.715953307393,0.0,1.0,257,3,43122
VSminusC,rel0_total_ops_1,37.22438391699092,39.559014267185475,-2.3346303501945584,69.715953307393,0.0,1.0,257,3,43122
VSminusV,rel0_total_ops_1,37.22438391699092,39.0402075226978,-1.815823605706882,69.715953307393,0.0,1.0,257,3,43122
RminusV,rel0_total_ops_1,45.39559014267186,39.0402075226978,6.355382619974058,69.715953307393,0.0,1.0,257,3,43122
RSminusVS,rel0_total_ops_1,35.01945525291829,37.22438391699092,-2.204928664072625,69.715953307393,0.0,1.0,257,3,43122
RminusC,rel0_total_ops_10,42.59259259259259,42.592592592592595,-7.105427357601002e-15,143.72222222222223,0.0,10.0,36,3,43122
RSminusC,rel0_total_ops_10,24.074074074074073,42.592592592592595,-18.518518518518523,143.72222222222223,0.0,10.0,36,3,43122
RSminusR,rel0_total_ops_10,24.074074074074073,42.59259259259259,-18.518518518518515,143.72222222222223,0.0,10.0,36,3,43122
VminusC,rel0_total_ops_10,33.333333333333336,42.592592592592595,-9.25925925925926,143.72222222222223,0.0,10.0,36,3,43122
VSminusC,rel0_total_ops_10,48.148148148148145,42.592592592592595,5.55555555555555,143.72222222222223,0.0,10.0,36,3,43122
VSminusV,rel0_total_ops_10,48.148148148148145,33.333333333333336,14.81481481481481,143.72222222222223,0.0,10.0,36,3,43122
RminusV,rel0_total_ops_10,42.59259259259259,33.333333333333336,9.259259259259252,143.72222222222223,0.0,10.0,36,3,43122
RSminusVS,rel0_total_ops_10,24.074074074074073,48.148148148148145,-24.074074074074073,143.72222222222223,0.0,10.0,36,3,43122
RminusC,rel0_total_ops_11,41.666666666666664,33.333333333333336,8.333333333333329,148.96875,0.0,11.0,32,3,43122
RSminusC,rel0_total_ops_11,34.375,33.333333333333336,1.0416666666666643,148.96875,0.0,11.0,32,3,43122
RSminusR,rel0_total_ops_11,34.375,41.666666666666664,-7.291666666666664,148.96875,0.0,11.0,32,3,43122
VminusC,rel0_total_ops_11,31.25,33.333333333333336,-2.0833333333333357,148.96875,0.0,11.0,32,3,43122
VSminusC,rel0_total_ops_11,40.625,33.333333333333336,7.291666666666664,148.96875,0.0,11.0,32,3,43122
VSminusV,rel0_total_ops_11,40.625,31.25,9.375,148.96875,0.0,11.0,32,3,43122
RminusV,rel0_total_ops_11,41.666666666666664,31.25,10.416666666666664,148.96875,0.0,11.0,32,3,43122
RSminusVS,rel0_total_ops_11,34.375,40.625,-6.25,148.96875,0.0,11.0,32,3,43122
RminusC,rel0_total_ops_12,45.55555555555556,41.111111111111114,4.444444444444443,157.36666666666667,0.0,12.0,30,3,43122
RSminusC,rel0_total_ops_12,13.333333333333334,41.111111111111114,-27.77777777777778,157.36666666666667,0.0,12.0,30,3,43122
RSminusR,rel0_total_ops_12,13.333333333333334,45.55555555555556,-32.22222222222222,157.36666666666667,0.0,12.0,30,3,43122
VminusC,rel0_total_ops_12,37.77777777777778,41.111111111111114,-3.3333333333333357,157.36666666666667,0.0,12.0,30,3,43122
VSminusC,rel0_total_ops_12,40.0,41.111111111111114,-1.1111111111111143,157.36666666666667,0.0,12.0,30,3,43122
VSminusV,rel0_total_ops_12,40.0,37.77777777777778,2.2222222222222214,157.36666666666667,0.0,12.0,30,3,43122
RminusV,rel0_total_ops_12,45.55555555555556,37.77777777777778,7.777777777777779,157.36666666666667,0.0,12.0,30,3,43122
RSminusVS,rel0_total_ops_12,13.333333333333334,40.0,-26.666666666666664,157.36666666666667,0.0,12.0,30,3,43122
RminusC,rel0_total_ops_2,48.113207547169814,41.35220125786164,6.7610062893081775,77.93867924528301,0.0,2.0,212,3,43122
RSminusC,rel0_total_ops_2,38.9937106918239,41.35220125786164,-2.3584905660377373,77.93867924528301,0.0,2.0,212,3,43122
RSminusR,rel0_total_ops_2,38.9937106918239,48.113207547169814,-9.119496855345915,77.93867924528301,0.0,2.0,212,3,43122
VminusC,rel0_total_ops_2,38.679245283018865,41.35220125786164,-2.672955974842772,77.93867924528301,0.0,2.0,212,3,43122
VSminusC,rel0_total_ops_2,38.83647798742138,41.35220125786164,-2.5157232704402546,77.93867924528301,0.0,2.0,212,3,43122
VSminusV,rel0_total_ops_2,38.83647798742138,38.679245283018865,0.15723270440251724,77.93867924528301,0.0,2.0,212,3,43122
RminusV,rel0_total_ops_2,48.113207547169814,38.679245283018865,9.43396226415095,77.93867924528301,0.0,2.0,212,3,43122
RSminusVS,rel0_total_ops_2,38.9937106918239,38.83647798742138,0.15723270440251724,77.93867924528301,0.0,2.0,212,3,43122
RminusC,rel0_total_ops_3,54.457364341085274,38.565891472868216,15.891472868217058,85.88372093023256,0.0,3.0,172,3,43122
RSminusC,rel0_total_ops_3,38.75968992248062,38.565891472868216,0.19379844961240167,85.88372093023256,0.0,3.0,172,3,43122
RSminusR,rel0_total_ops_3,38.75968992248062,54.457364341085274,-15.697674418604656,85.88372093023256,0.0,3.0,172,3,43122
VminusC,rel0_total_ops_3,42.44186046511628,38.565891472868216,3.875968992248062,85.88372093023256,0.0,3.0,172,3,43122
VSminusC,rel0_total_ops_3,42.44186046511628,38.565891472868216,3.875968992248062,85.88372093023256,0.0,3.0,172,3,43122
VSminusV,rel0_total_ops_3,42.44186046511628,42.44186046511628,0.0,85.88372093023256,0.0,3.0,172,3,43122
