arm_family,total_vs_clean,split_exposure_vs_clean,inwindow_share_local_minus_split,share_inwindow_of_total,share_split_of_total
REPEAT,0.10741466047064918,0.08643609771532912,0.020978562755320063,0.19530446461777357,0.8046955353822265
VIEW,0.09940497820439376,0.07914876260162096,0.020256215602772798,0.20377465966666708,0.7962253403333329
