seed,role,token_class,n_min,mean_true_nll,mean_unrelated_nll,mean_gain_U_minus_T,mean_true_target_prob,mean_unrelated_target_prob,n_checkpoints
43022,C,nonoverlap,2732,7.0072837803692805,8.219192791840161,1.2119090114708804,0.03316738885371293,0.014444685348954135,3
43022,C,overlap,3160,1.8430455576679532,8.144512986142743,6.30146742847479,0.5877740741277134,0.01597162829915208,3
43022,R,nonoverlap,2732,7.455282021455263,7.915482463357969,0.4602004419027052,0.029380498167570553,0.017276655312041343,3
43022,R,overlap,3160,1.7510962774559442,7.7846800911551455,6.0335838136992015,0.6548181510927851,0.01626127677313643,3
43022,V,nonoverlap,2732,5.828527161992655,7.724125199662324,1.8955980376696684,0.06816923220585734,0.019908872471409118,3
43022,V,overlap,3160,0.9068321980556676,7.759528937121609,6.852696739065943,0.7556820233215467,0.01807434701876964,3
43122,C,nonoverlap,2732,6.953423093540436,8.225382418865578,1.271959325325143,0.03279408345422139,0.015348345888769639,3
43122,C,overlap,3160,1.7908147287875673,8.168085345508578,6.3772706167210105,0.5890257530649776,0.015421799266680357,3
43122,R,nonoverlap,2732,7.646534536226474,7.875182820462054,0.22864828423558056,0.025173759576523912,0.016008009005283045,3
43122,R,overlap,3160,1.7269932422256757,7.820916794982119,6.0939235527564435,0.6659420971988919,0.01612544028040948,3
43122,V,nonoverlap,2732,5.5990429155125385,7.7647909938755255,2.165748078362987,0.07133930938923126,0.019772392141902476,3
43122,V,overlap,3160,0.8137163169340762,7.849221491134988,7.035505174200911,0.750529778366615,0.017105311167865716,3
43222,C,nonoverlap,2732,7.074444144886948,8.215737393236342,1.1412932483493925,0.03150929707226937,0.013973422010207863,3
43222,C,overlap,3160,1.748732713478365,8.225847810869624,6.477115097391259,0.5947141554761702,0.014109075664327618,3
43222,R,nonoverlap,2732,7.490036715290868,7.781014639281987,0.2909779239911188,0.02466200973979124,0.01751446428041007,3
43222,R,overlap,3160,1.963861408369646,7.7290327275426325,5.765171319172986,0.6167275846689636,0.014971869837058718,3
43222,V,nonoverlap,2732,5.706436271032,7.686978337319051,1.9805420662870512,0.0705375855945241,0.018773745271909083,3
43222,V,overlap,3160,0.8961034586327875,7.7772373300029765,6.881133871370189,0.7486199617854796,0.016790918097493623,3
