token_class,contrast,n_seeds,delta_true_target_prob_mean,delta_true_target_prob_seed_sd,delta_true_target_prob_signs,delta_true_nll_mean,delta_true_nll_seed_sd,delta_true_nll_signs,delta_gain_U_minus_T_mean,delta_gain_U_minus_T_seed_sd,delta_gain_U_minus_T_signs,delta_unrelated_nll_mean,delta_unrelated_nll_seed_sd,delta_unrelated_nll_signs,delta_unrelated_target_prob_mean,delta_unrelated_target_prob_seed_sd,delta_unrelated_target_prob_signs
overlap,RminusC,3,0.055324616763926415,0.029267590058162606,+/+/+,0.019785976039126796,0.16975534321581665,-/-/+,-0.4210581523194759,0.25203296427472754,-/-/-,-0.40127217628034934,0.08298452699359106,-/-/-,0.0006186945534815257,0.00029586470527831195,+/+/+
overlap,VminusC,3,0.16110592693492667,0.007009555126528268,+/+/+,-0.9219803421037848,0.06344349337885746,-/-/-,0.5378275473499944,0.12763667806995058,+/+/+,-0.38415279475379044,0.06487730735260955,-/-/-,0.002156024351322975,0.0005012954024822338,+/+/+
overlap,VminusR,3,0.10578131017100027,0.02403267487481909,+/+/+,-0.9417663181429115,0.11443824381859193,-/-/-,0.9588856996694703,0.14917941741325705,+/+/+,0.017119381526558897,0.037935474165542264,-/+/+,0.001537329797841449,0.0004827828308268072,+/+/+
nonoverlap,RminusC,3,-0.00608483396543933,0.0020272651186292036,-/-/-,0.5189007513919801,0.15173844468015923,+/+/+,-0.8817783116720038,0.14832545306646916,-/-/-,-0.36287756028002366,0.06641996646364118,-/-/-,0.0023442251166009404,0.0015013353167375807,+/+/+
nonoverlap,VminusC,3,0.037525119269803,0.0021985286860252214,+/+/+,-1.3003815567531571,0.10555045120562025,-/-/-,0.8055755323914302,0.10902243541615576,+/+/+,-0.4948060243617271,0.03408456820688599,-/-/-,0.004896185545763013,0.0005266549535869905,+/+/+
nonoverlap,VminusR,3,0.04360995323524233,0.004177814875373886,+/+/+,-1.8192823081451373,0.21262585008616142,-/-/-,1.687353844063434,0.2508584023381175,+/+/+,-0.13192846408170342,0.05211249815633234,-/-/-,0.002551960429162073,0.0012544779975867304,+/+/+
