contrast,n_seeds,overlap_gain_delta_mean,overlap_gain_delta_seed_sd,overlap_gain_delta_signs,nonoverlap_gain_delta_mean,nonoverlap_gain_delta_seed_sd,nonoverlap_gain_delta_signs,overlap_true_delta_mean,overlap_true_delta_seed_sd,overlap_true_delta_signs,nonoverlap_true_delta_mean,nonoverlap_true_delta_seed_sd,nonoverlap_true_delta_signs,nonoverlap_excess_mean,nonoverlap_excess_seed_sd,nonoverlap_excess_signs,overlap_excess_mean,overlap_excess_seed_sd,overlap_excess_signs,overlap_minus_nonoverlap_gain_delta_mean,overlap_minus_nonoverlap_gain_delta_seed_sd,overlap_minus_nonoverlap_gain_delta_signs,overlap_minus_nonoverlap_true_delta_mean,overlap_minus_nonoverlap_true_delta_seed_sd,overlap_minus_nonoverlap_true_delta_signs
RminusC,3,-0.4203463289319217,0.25155763738951326,-/-/-,-0.8964867103751024,0.14099665461247934,-/-/-,0.011170392578773438,0.16741857938240123,-/-/+,0.5383665095175506,0.1506945113150142,+/+/+,0.8964867103751024,0.14099665461247934,+/+/+,0.4203463289319217,0.25155763738951326,+/+/+,0.47614038144318066,0.3174157234568591,+/+/+,-0.5271961169387772,0.2849036250886919,-/-/-
VminusC,3,0.5515002362466863,0.12328820488192771,+/+/+,0.8028815909902113,0.11594002431230152,+/+/+,-0.9385841539528436,0.05931876887872104,-/-/-,-1.2946121427058894,0.12152911806277115,-/-/-,-0.8028815909902113,0.11594002431230152,-/-/-,-0.5515002362466863,0.12328820488192771,-/-/-,-0.25138135474352485,0.1655773877721559,-/-/-,0.3560279887530459,0.15027858756352824,+/+/+
VminusR,3,0.9718465651786081,0.1490609348728793,+/+/+,1.6993683013653138,0.24392895306238507,+/+/+,-0.949754546531617,0.11533147410878536,-/-/-,-1.83297865222344,0.21279652117699743,-/-/-,-1.6993683013653138,0.24392895306238507,-/-/-,-0.9718465651786081,0.1490609348728793,-/-/-,-0.7275217361867056,0.23198421571298403,-/-/-,0.883224105691823,0.22646951537031942,+/+/+
RSminusC,1,-0.7817380314733411,nan,-,-0.047023890390875615,nan,-,0.04628271093400874,nan,+,-0.5285477931830033,nan,-,0.04702389039087562,nan,+,0.7817380314733411,nan,+,-0.7347141410824655,nan,-,0.574830504117012,nan,+
