contrast,n_seeds,delta_true_src_content_mass_mean,delta_true_src_content_mass_seed_sd,delta_target_prob_mean,delta_target_prob_seed_sd,delta_target_over_source_content_mass_mean,delta_target_over_source_content_mass_seed_sd,delta_target_over_average_true_source_content_token_prob_mean,delta_target_over_average_true_source_content_token_prob_seed_sd
RminusC,3,0.07497748523077664,0.021190576806802947,-0.008081232254776149,0.0021688865809713553,-174.1051768985341,387.20740394936,-1608.7988738055626,4934.396210278632
VminusC,3,0.06604727400739313,0.005435161532226317,0.058000229673151285,0.004581855397208526,273.7350859796546,536.9389173403695,7052.287260292687,7208.641568972437
VminusR,3,-0.008930211223383519,0.01874309307205696,0.06608146192792744,0.0030925284564239904,447.8402628781887,184.65564853052513,8661.086134098248,3176.634930662459
