target_label,target_selected_dir,target_prev,target_mid,target_next,target_window_string,target_window_role,target_mid_selected_cheap7,target_mid_selected_BLiMP,target_mid_selected_Supplement,target_mid_selected_EWoK,target_mid_selected_Entity,target_mid_selected_COMPS,target_mid_selected_GlobalPIQA,target_mid_selected_Reading,window,column,n_items,ref_gain,ref_loss,ref_net,ref_net_pct,ref_churn_pct,other_gain,other_loss,other_net,other_net_pct,other_churn_pct,same_gain,same_loss,same_signed_transition_on_ref_changed,opposite_signed_transition_on_ref_changed,other_zero_on_ref_changed,sign_agreement_on_ref_changed,opposition_on_ref_changed,other_zero_on_ref_changed_fraction,signed_transition_cosine,gain_jaccard,loss_jaccard
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,rise,ALL,170722,4443,4501,-58,-0.03397336019962278,5.238926441817692,9220,9366,-146,-0.08551914808870562,10.886704701210155,626,636,1262,1369,6313,0.14110017889087656,0.15306350626118068,0.7058363148479427,-0.008298983784364463,0.04801718186699394,0.048068929030307614
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,rise,BLiMP,59875,1015,1154,-139,-0.2321503131524008,3.622546972860125,2017,2164,-147,-0.24551148225469727,6.982881002087684,143,168,311,311,1547,0.1433840479483633,0.1433840479483633,0.7132319041032734,0.0,0.04949809622706819,0.05333333333333334
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,rise,Supplement,5218,51,61,-10,-0.19164430816404754,2.146416251437332,148,184,-36,-0.6899195093905711,6.362591031046377,10,13,23,13,76,0.20535714285714285,0.11607142857142858,0.6785714285714286,0.05185873835281389,0.05291005291005291,0.05603448275862069
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,rise,EWoK,7618,237,240,-3,-0.03938041480703597,6.261485954318719,441,440,1,0.013126804935678657,11.564715148332896,28,22,50,87,340,0.10482180293501048,0.18238993710691823,0.7127882599580713,-0.05707613813240726,0.043076923076923075,0.03343465045592705
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,rise,Entity,6780,134,123,11,0.16224188790560473,3.7905604719764017,250,277,-27,-0.39823008849557523,7.772861356932154,27,20,47,47,163,0.1828793774319066,0.1828793774319066,0.6342412451361867,0.0,0.07563025210084033,0.05263157894736842
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,rise,COMPS,91028,3001,2919,82,0.09008217251834601,6.503493430592784,6355,6296,59,0.06481522169002944,13.8979215186536,418,413,831,911,4178,0.14037162162162162,0.15388513513513513,0.7057432432432432,-0.009244144079008323,0.04676661445513538,0.046921154283117474
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,rise,GlobalPIQA,203,5,4,1,0.49261083743842365,4.433497536945813,9,5,4,1.9704433497536946,6.896551724137931,0,0,0,0,9,0.0,0.0,1.0,0.0,0.0,0.0
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,fall,ALL,170722,4225,4049,176,0.10309157577816568,4.846475556753084,8708,8393,315,0.1845104907393306,10.016869530581882,754,725,1479,1062,5733,0.1787527193618564,0.12835387962291517,0.6928934010152284,0.035056418369936844,0.061909844814845225,0.061875906802082443
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,fall,BLiMP,59875,986,859,127,0.21210855949895616,3.0814196242171192,2188,1868,320,0.5344467640918581,6.7741127348643,174,123,297,266,1282,0.16097560975609757,0.14417344173441735,0.6948509485094851,0.011332207951203994,0.058,0.04723502304147465
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,fall,Supplement,5218,64,47,17,0.32579532387888077,2.1272518206209274,161,134,27,0.5174396320429283,5.653507090839402,15,13,28,13,70,0.25225225225225223,0.11711711711711711,0.6306306306306306,0.08289317256396173,0.07142857142857142,0.07738095238095238
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,fall,EWoK,7618,234,206,28,0.36755053819900235,5.7757941716986085,454,428,26,0.3412969283276451,11.577841953268575,40,34,74,52,314,0.16818181818181818,0.11818181818181818,0.7136363636363636,0.035315230890931734,0.06172839506172839,0.056666666666666664
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,fall,Entity,6780,119,109,10,0.14749262536873156,3.3628318584070795,254,207,47,0.6932153392330384,6.7994100294985245,18,17,35,39,154,0.15350877192982457,0.17105263157894737,0.6754385964912281,-0.012337924409488586,0.05070422535211268,0.056856187290969896
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,fall,COMPS,91028,2820,2822,-2,-0.0021971261589840488,6.198092894494002,5640,5745,-105,-0.11534912334666256,12.507140660016697,506,536,1042,691,3909,0.184686281460475,0.12247429989365473,0.6928394186458703,0.043794952342440935,0.06361579079708322,0.06674137716349147
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_70M,chck_72M,chck_74M,chck_70M->chck_72M->chck_74M,background,42.93857142857143,67.32,60.96,48.6,26.82,52.2,36.635,8.035,fall,GlobalPIQA,203,2,6,-4,-1.9704433497536946,3.9408866995073892,11,11,0,0.0,10.83743842364532,1,2,3,1,4,0.375,0.125,0.5,0.1507556722888818,0.08333333333333333,0.13333333333333333
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_72M,chck_74M,chck_76M,chck_72M->chck_74M->chck_76M,background,43.45,67.84,62.05,50.14,27.38,52.19,36.605000000000004,7.945,rise,ALL,170722,4443,4501,-58,-0.03397336019962278,5.238926441817692,8708,8393,315,0.1845104907393306,10.016869530581882,646,659,1305,1374,6265,0.14590787119856888,0.15362254025044722,0.7004695885509838,-0.0055792065766877294,0.0516593362654938,0.05386187167960768
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_72M,chck_74M,chck_76M,chck_72M->chck_74M->chck_76M,background,43.45,67.84,62.05,50.14,27.38,52.19,36.605000000000004,7.945,rise,BLiMP,59875,1015,1154,-139,-0.2321503131524008,3.622546972860125,2188,1868,320,0.5344467640918581,6.7741127348643,144,148,292,327,1550,0.13462425080682341,0.1507607192254495,0.7146150299677271,-0.011800198016883074,0.04707420725727362,0.05149617258176757
