context_kind,delta_target_minus_distractor,distractor,distractor_id,distractor_nll,family,logp_distractor,logp_target,masked_len,prompt_id,row_index,source_bucket,target,target_id,target_nll
query_only,1.8745663166046143,before,755,4.012912750244141,entity_state_update,-4.012912750244141,-2.1383464336395264,28,v2_003_row48575,48575,SimpleWiki,after,644,2.1383464336395264
neutral,0.8967857360839844,before,755,8.37596321105957,entity_state_update,-8.37596321105957,-7.479177474975586,57,v2_003_row48575,48575,SimpleWiki,after,644,7.479177474975586
structured,-0.7130451202392578,before,755,3.8465585708618164,entity_state_update,-3.8465585708618164,-4.559603691101074,58,v2_003_row48575,48575,SimpleWiki,after,644,4.559603691101074
reversed,-1.0492572784423828,before,755,3.738499164581299,entity_state_update,-3.738499164581299,-4.787756443023682,58,v2_003_row48575,48575,SimpleWiki,after,644,4.787756443023682
query_only,1.464522361755371,before,755,4.047255039215088,entity_state_update,-4.047255039215088,-2.582732677459717,27,v2_004_row3757,3757,Gutenberg,after,644,2.582732677459717
neutral,0.31357479095458984,before,755,4.791914463043213,entity_state_update,-4.791914463043213,-4.478339672088623,48,v2_004_row3757,3757,Gutenberg,after,644,4.478339672088623
structured,1.6962567567825317,before,755,2.323606014251709,entity_state_update,-2.323606014251709,-0.6273492574691772,48,v2_004_row3757,3757,Gutenberg,after,644,0.6273492574691772
reversed,-0.1557636260986328,before,755,1.0888885259628296,entity_state_update,-1.0888885259628296,-1.2446521520614624,48,v2_004_row3757,3757,Gutenberg,after,644,1.2446521520614624
query_only,-0.03551292419433594,before,755,4.111880302429199,entity_state_update,-4.111880302429199,-4.147393226623535,18,v2_005_row5106,5106,Gutenberg,after,644,4.147393226623535
neutral,1.0689458847045898,before,755,7.816235065460205,entity_state_update,-7.816235065460205,-6.747289180755615,37,v2_005_row5106,5106,Gutenberg,after,644,6.747289180755615
structured,-0.2755488157272339,before,755,1.9059444665908813,entity_state_update,-1.9059444665908813,-2.1814932823181152,36,v2_005_row5106,5106,Gutenberg,after,644,2.1814932823181152
reversed,-1.0774049758911133,before,755,2.196436643600464,entity_state_update,-2.196436643600464,-3.273841619491577,36,v2_005_row5106,5106,Gutenberg,after,644,3.273841619491577
query_only,8.445234298706055,despite,5714,11.02409553527832,event_temporal_causal,-11.02409553527832,-2.5788607597351074,21,v2_007_row21797,21797,Gutenberg,because,684,2.5788607597351074
neutral,1.9996981620788574,despite,5714,7.347363471984863,event_temporal_causal,-7.347363471984863,-5.347665309906006,42,v2_007_row21797,21797,Gutenberg,because,684,5.347665309906006
structured,3.8491854667663574,despite,5714,7.992090225219727,event_temporal_causal,-7.992090225219727,-4.142904758453369,41,v2_007_row21797,21797,Gutenberg,because,684,4.142904758453369
reversed,1.7529296875,despite,5714,6.007396697998047,event_temporal_causal,-6.007396697998047,-4.254467010498047,41,v2_007_row21797,21797,Gutenberg,because,684,4.254467010498047
query_only,4.370643615722656,despite,5714,11.172629356384277,event_temporal_causal,-11.172629356384277,-6.801985740661621,23,v2_009_row27775,27775,Gutenberg,because,684,6.801985740661621
neutral,1.226792335510254,despite,5714,7.58809232711792,event_temporal_causal,-7.58809232711792,-6.361299991607666,45,v2_009_row27775,27775,Gutenberg,because,684,6.361299991607666
structured,4.826512336730957,despite,5714,9.106987953186035,event_temporal_causal,-9.106987953186035,-4.280475616455078,45,v2_009_row27775,27775,Gutenberg,because,684,4.280475616455078
reversed,1.5982732772827148,despite,5714,6.282991409301758,event_temporal_causal,-6.282991409301758,-4.684718132019043,45,v2_009_row27775,27775,Gutenberg,because,684,4.684718132019043
query_only,9.461838722229004,despite,5714,11.515172958374023,event_temporal_causal,-11.515172958374023,-2.0533342361450195,24,v2_010_row31794,31794,Gutenberg,because,684,2.0533342361450195
neutral,6.10832405090332,despite,5714,9.256423950195312,event_temporal_causal,-9.256423950195312,-3.148099899291992,45,v2_010_row31794,31794,Gutenberg,because,684,3.148099899291992
structured,8.135393142700195,despite,5714,10.605485916137695,event_temporal_causal,-10.605485916137695,-2.470092296600342,47,v2_010_row31794,31794,Gutenberg,because,684,2.470092296600342
reversed,4.783853530883789,despite,5714,7.250492572784424,event_temporal_causal,-7.250492572784424,-2.466639280319214,47,v2_010_row31794,31794,Gutenberg,because,684,2.466639280319214
query_only,1.8531975746154785,rejected,13727,8.696077346801758,polarity_contrast_event,-8.696077346801758,-6.842879772186279,26,v2_015_row11580,11580,Gutenberg,accepted,6812,6.842879772186279
neutral,0.3328685760498047,rejected,13727,9.502154350280762,polarity_contrast_event,-9.502154350280762,-9.169285774230957,51,v2_015_row11580,11580,Gutenberg,accepted,6812,9.169285774230957
structured,0.7600326538085938,rejected,13727,9.568363189697266,polarity_contrast_event,-9.568363189697266,-8.808330535888672,51,v2_015_row11580,11580,Gutenberg,accepted,6812,8.808330535888672
reversed,-0.792729377746582,rejected,13727,6.028979778289795,polarity_contrast_event,-6.028979778289795,-6.821709156036377,51,v2_015_row11580,11580,Gutenberg,accepted,6812,6.821709156036377
query_only,3.1278343200683594,despite,5714,9.575410842895508,polarity_contrast_event,-9.575410842895508,-6.447576522827148,29,v2_016_row14948,14948,Gutenberg,because,684,6.447576522827148
neutral,0.24139785766601562,despite,5714,7.361363887786865,polarity_contrast_event,-7.361363887786865,-7.11996603012085,54,v2_016_row14948,14948,Gutenberg,because,684,7.11996603012085
structured,3.478419303894043,despite,5714,7.766943454742432,polarity_contrast_event,-7.766943454742432,-4.288524150848389,57,v2_016_row14948,14948,Gutenberg,because,684,4.288524150848389
reversed,0.865788459777832,despite,5714,5.626363754272461,polarity_contrast_event,-5.626363754272461,-4.760575294494629,57,v2_016_row14948,14948,Gutenberg,because,684,4.760575294494629
query_only,2.7212114334106445,false,6878,9.797385215759277,polarity_contrast_event,-9.797385215759277,-7.076173782348633,27,v2_017_row14082,14082,Gutenberg,true,1991,7.076173782348633
neutral,1.7925701141357422,false,6878,8.903247833251953,polarity_contrast_event,-8.903247833251953,-7.110677719116211,51,v2_017_row14082,14082,Gutenberg,true,1991,7.110677719116211
structured,0.4483194351196289,false,6878,9.322386741638184,polarity_contrast_event,-9.322386741638184,-8.874067306518555,55,v2_017_row14082,14082,Gutenberg,true,1991,8.874067306518555
reversed,1.4344615936279297,false,6878,9.213541984558105,polarity_contrast_event,-9.213541984558105,-7.779080390930176,55,v2_017_row14082,14082,Gutenberg,true,1991,7.779080390930176
query_only,1.0326881408691406,rejected,13727,12.338338851928711,social_belief_report,-12.338338851928711,-11.30565071105957,47,v2_029_row29083,29083,Gutenberg,accepted,6812,11.30565071105957
neutral,2.57344913482666,rejected,13727,13.087054252624512,social_belief_report,-13.087054252624512,-10.513605117797852,70,v2_029_row29083,29083,Gutenberg,accepted,6812,10.513605117797852
structured,2.983440399169922,rejected,13727,13.230131149291992,social_belief_report,-13.230131149291992,-10.24669075012207,74,v2_029_row29083,29083,Gutenberg,accepted,6812,10.24669075012207
reversed,2.718470573425293,rejected,13727,13.237964630126953,social_belief_report,-13.237964630126953,-10.51949405670166,75,v2_029_row29083,29083,Gutenberg,accepted,6812,10.51949405670166
