family,lift_delta_structured_minus_neutral,neutral_delta,neutral_target_nll,prompt_id,query_only_delta,query_only_target_nll,reversed_delta,reversed_target_nll,sensitivity_delta_structured_minus_reversed,structured_delta,structured_target_nll,target_nll_improvement_neutral_minus_structured,target_nll_improvement_reversed_minus_structured
entity_state_update,-1.6098308563232422,0.8967857360839844,7.479177474975586,v2_003_row48575,1.8745663166046143,2.1383464336395264,-1.0492572784423828,4.787756443023682,0.336212158203125,-0.7130451202392578,4.559603691101074,2.9195737838745117,0.22815275192260742
entity_state_update,1.382681965827942,0.31357479095458984,4.478339672088623,v2_004_row3757,1.464522361755371,2.582732677459717,-0.1557636260986328,1.2446521520614624,1.8520203828811646,1.6962567567825317,0.6273492574691772,3.850990414619446,0.6173028945922852
entity_state_update,-1.3444947004318237,1.0689458847045898,6.747289180755615,v2_005_row5106,-0.03551292419433594,4.147393226623535,-1.0774049758911133,3.273841619491577,0.8018561601638794,-0.2755488157272339,2.1814932823181152,4.5657958984375,1.092348337173462
event_temporal_causal,1.8494873046875,1.9996981620788574,5.347665309906006,v2_007_row21797,8.445234298706055,2.5788607597351074,1.7529296875,4.254467010498047,2.0962557792663574,3.8491854667663574,4.142904758453369,1.2047605514526367,0.11156225204467773
event_temporal_causal,3.599720001220703,1.226792335510254,6.361299991607666,v2_009_row27775,4.370643615722656,6.801985740661621,1.5982732772827148,4.684718132019043,3.228239059448242,4.826512336730957,4.280475616455078,2.080824375152588,0.40424251556396484
event_temporal_causal,2.027069091796875,6.10832405090332,3.148099899291992,v2_010_row31794,9.461838722229004,2.0533342361450195,4.783853530883789,2.466639280319214,3.3515396118164062,8.135393142700195,2.470092296600342,0.6780076026916504,-0.0034530162811279297
polarity_contrast_event,0.42716407775878906,0.3328685760498047,9.169285774230957,v2_015_row11580,1.8531975746154785,6.842879772186279,-0.792729377746582,6.821709156036377,1.5527620315551758,0.7600326538085938,8.808330535888672,0.36095523834228516,-1.986621379852295
polarity_contrast_event,3.2370214462280273,0.24139785766601562,7.11996603012085,v2_016_row14948,3.1278343200683594,6.447576522827148,0.865788459777832,4.760575294494629,2.612630844116211,3.478419303894043,4.288524150848389,2.831441879272461,0.47205114364624023
polarity_contrast_event,-1.3442506790161133,1.7925701141357422,7.110677719116211,v2_017_row14082,2.7212114334106445,7.076173782348633,1.4344615936279297,7.779080390930176,-0.9861421585083008,0.4483194351196289,8.874067306518555,-1.7633895874023438,-1.094986915588379
social_belief_report,0.4099912643432617,2.57344913482666,10.513605117797852,v2_029_row29083,1.0326881408691406,11.30565071105957,2.718470573425293,10.51949405670166,0.2649698257446289,2.983440399169922,10.24669075012207,0.26691436767578125,0.27280330657958984
