arm,checkpoint,correct,domain,family,index,interaction,margin,model,numops,option_count,split,uid,words
dose1_view,chck_80M,False,physical-relations,EWoK,558,0.20689869951456785,-4.007377260364592,dose1_view_chck_80M,,,,physical-relations_558,80000000
dose1_view,chck_80M,False,physical-relations,EWoK,644,-0.4243034506216645,-0.17298952210694551,dose1_view_chck_80M,,,,physical-relations_644,80000000
dose1_view,chck_80M,True,physical-relations,EWoK,675,2.2655930258333683,0.022831641137599945,dose1_view_chck_80M,,,,physical-relations_675,80000000
dose1_view,chck_80M,False,physical-relations,EWoK,799,-21.27667141892016,-9.14171632938087,dose1_view_chck_80M,,,,physical-relations_799,80000000
dose1_view,chck_80M,True,quantitative-properties,EWoK,57,4.278869368135929,0.09707005321979523,dose1_view_chck_80M,,,,quantitative-properties_57,80000000
dose1_view,chck_80M,False,quantitative-properties,EWoK,173,-1.9626370146870613,-4.165299214422703,dose1_view_chck_80M,,,,quantitative-properties_173,80000000
dose1_view,chck_80M,True,quantitative-properties,EWoK,234,-0.005953505635261536,0.8921647369861603,dose1_view_chck_80M,,,,quantitative-properties_234,80000000
dose1_view,chck_80M,False,quantitative-properties,EWoK,252,0.9795875027775764,-1.0348535291850567,dose1_view_chck_80M,,,,quantitative-properties_252,80000000
dose1_view,chck_80M,False,quantitative-properties,EWoK,311,0.010425329208374023,-0.5797814317047596,dose1_view_chck_80M,,,,quantitative-properties_311,80000000
dose1_view,chck_80M,True,social-interactions,EWoK,118,0.9262328976765275,0.16833895072340965,dose1_view_chck_80M,,,,social-interactions_118,80000000
dose1_view,chck_80M,True,social-interactions,EWoK,161,5.498497201129794,2.1349595356732607,dose1_view_chck_80M,,,,social-interactions_161,80000000
dose1_view,chck_80M,True,social-interactions,EWoK,243,2.089362185448408,2.4020124785602093,dose1_view_chck_80M,,,,social-interactions_243,80000000
dose1_view,chck_80M,True,social-interactions,EWoK,265,1.4369062334299088,1.1388260163366795,dose1_view_chck_80M,,,,social-interactions_265,80000000
dose1_view,chck_80M,False,social-interactions,EWoK,293,-3.8379191551357508,-2.1864694952964783,dose1_view_chck_80M,,,,social-interactions_293,80000000
dose1_view,chck_80M,False,social-properties,EWoK,46,0.39728593826293945,-0.6595587730407715,dose1_view_chck_80M,,,,social-properties_46,80000000
dose1_view,chck_80M,True,social-properties,EWoK,48,-0.08476842939853668,2.3506379276514053,dose1_view_chck_80M,,,,social-properties_48,80000000
dose1_view,chck_80M,True,social-properties,EWoK,103,-1.6924699675291777,3.4629196664318442,dose1_view_chck_80M,,,,social-properties_103,80000000
dose1_view,chck_80M,False,social-properties,EWoK,194,-4.406287111341953,-3.0061099976301193,dose1_view_chck_80M,,,,social-properties_194,80000000
dose1_view,chck_80M,False,social-properties,EWoK,210,0.5310972332954407,-1.0127781927585602,dose1_view_chck_80M,,,,social-properties_210,80000000
dose1_view,chck_80M,True,social-relations,EWoK,34,1.345005692448467,0.5324516370892525,dose1_view_chck_80M,,,,social-relations_34,80000000
dose1_view,chck_80M,False,social-relations,EWoK,62,4.247260017320514,-14.706758186221123,dose1_view_chck_80M,,,,social-relations_62,80000000
dose1_view,chck_80M,False,social-relations,EWoK,386,-5.411911380011588,-2.035851000342518,dose1_view_chck_80M,,,,social-relations_386,80000000
dose1_view,chck_80M,True,social-relations,EWoK,640,1.2609637677669525,2.147549629211426,dose1_view_chck_80M,,,,social-relations_640,80000000
dose1_view,chck_80M,False,social-relations,EWoK,1407,4.033120542764664,-0.20849773287773132,dose1_view_chck_80M,,,,social-relations_1407,80000000
dose1_view,chck_80M,False,spatial-relations,EWoK,143,-6.352429664693773,-4.481367284432054,dose1_view_chck_80M,,,,spatial-relations_143,80000000
dose1_view,chck_80M,True,spatial-relations,EWoK,187,5.16948053939268,6.1355933006852865,dose1_view_chck_80M,,,,spatial-relations_187,80000000
dose1_view,chck_80M,False,spatial-relations,EWoK,247,-4.9359223616775125,-0.8062144527211785,dose1_view_chck_80M,,,,spatial-relations_247,80000000
dose1_view,chck_80M,False,spatial-relations,EWoK,289,-5.181536947377026,-1.9197135125286877,dose1_view_chck_80M,,,,spatial-relations_289,80000000
dose1_view,chck_80M,True,spatial-relations,EWoK,425,1.1582475546747446,0.9542885050177574,dose1_view_chck_80M,,,,spatial-relations_425,80000000
dose1_view,chck_80M,False,,Entity,14,,-17.014768389053643,dose1_view_chck_80M,0,5,ambiref,ambiref_0_ops_11,80000000
dose1_view,chck_80M,False,,Entity,125,,-7.323032882064581,dose1_view_chck_80M,0,5,ambiref,ambiref_0_ops_101,80000000
dose1_view,chck_80M,False,,Entity,212,,-2.7074475064873695,dose1_view_chck_80M,0,5,ambiref,ambiref_0_ops_175,80000000
dose1_view,chck_80M,True,,Entity,270,,0.9823472881689668,dose1_view_chck_80M,0,5,ambiref,ambiref_0_ops_227,80000000
dose1_view,chck_80M,False,,Entity,587,,-8.062715663574636,dose1_view_chck_80M,0,5,ambiref,ambiref_0_ops_491,80000000
dose1_view,chck_80M,False,,Entity,615,,-5.156159555539489,dose1_view_chck_80M,1,5,ambiref,ambiref_1_ops_5,80000000
dose1_view,chck_80M,False,,Entity,632,,-23.212111983448267,dose1_view_chck_80M,1,5,ambiref,ambiref_1_ops_18,80000000
dose1_view,chck_80M,False,,Entity,682,,-14.594895751215518,dose1_view_chck_80M,1,5,ambiref,ambiref_1_ops_52,80000000
dose1_view,chck_80M,False,,Entity,954,,-16.621276241727173,dose1_view_chck_80M,1,5,ambiref,ambiref_1_ops_240,80000000
dose1_view,chck_80M,True,,Entity,1014,,0.5801088884472847,dose1_view_chck_80M,1,5,ambiref,ambiref_1_ops_283,80000000
dose1_view,chck_80M,False,,Entity,1214,,-7.711960881948471,dose1_view_chck_80M,2,5,ambiref,ambiref_2_ops_0,80000000
dose1_view,chck_80M,False,,Entity,1395,,-7.200832650065422,dose1_view_chck_80M,2,5,ambiref,ambiref_2_ops_118,80000000
dose1_view,chck_80M,False,,Entity,1654,,-7.092148266732693,dose1_view_chck_80M,2,5,ambiref,ambiref_2_ops_298,80000000
dose1_view,chck_80M,False,,Entity,1670,,-3.467930417507887,dose1_view_chck_80M,2,5,ambiref,ambiref_2_ops_312,80000000
dose1_view,chck_80M,False,,Entity,1681,,-11.457992561161518,dose1_view_chck_80M,2,5,ambiref,ambiref_2_ops_321,80000000
dose1_view,chck_80M,False,,Entity,1853,,-6.808418422937393,dose1_view_chck_80M,3,5,ambiref,ambiref_3_ops_19,80000000
dose1_view,chck_80M,True,,Entity,1926,,1.6480357460677624,dose1_view_chck_80M,3,5,ambiref,ambiref_3_ops_67,80000000
dose1_view,chck_80M,True,,Entity,2222,,7.830470040440559,dose1_view_chck_80M,3,5,ambiref,ambiref_3_ops_266,80000000
dose1_view,chck_80M,False,,Entity,2256,,-0.44216688722372055,dose1_view_chck_80M,3,5,ambiref,ambiref_3_ops_290,80000000
dose1_view,chck_80M,True,,Entity,2346,,0.4092484600841999,dose1_view_chck_80M,3,5,ambiref,ambiref_3_ops_353,80000000
dose1_view,chck_80M,False,,Entity,2441,,-7.006416290998459,dose1_view_chck_80M,4,5,ambiref,ambiref_4_ops_12,80000000
dose1_view,chck_80M,True,,Entity,2657,,8.945523489266634,dose1_view_chck_80M,4,5,ambiref,ambiref_4_ops_165,80000000
dose1_view,chck_80M,False,,Entity,2717,,-7.566732004284859,dose1_view_chck_80M,4,5,ambiref,ambiref_4_ops_207,80000000
dose1_view,chck_80M,False,,Entity,2760,,-5.995454011484981,dose1_view_chck_80M,4,5,ambiref,ambiref_4_ops_239,80000000
dose1_view,chck_80M,True,,Entity,2827,,7.495230704545975,dose1_view_chck_80M,4,5,ambiref,ambiref_4_ops_284,80000000
dose1_view,chck_80M,False,,Entity,3050,,-21.808401515707374,dose1_view_chck_80M,5,5,ambiref,ambiref_5_ops_8,80000000
dose1_view,chck_80M,False,,Entity,3101,,-13.251220528036356,dose1_view_chck_80M,5,5,ambiref,ambiref_5_ops_43,80000000
dose1_view,chck_80M,False,,Entity,3143,,-11.735595971345901,dose1_view_chck_80M,5,5,ambiref,ambiref_5_ops_69,80000000
dose1_view,chck_80M,True,,Entity,3178,,0.7195446416735649,dose1_view_chck_80M,5,5,ambiref,ambiref_5_ops_97,80000000
dose1_view,chck_80M,True,,Entity,3180,,3.0757348872721195,dose1_view_chck_80M,5,5,ambiref,ambiref_5_ops_99,80000000
dose1_view,chck_80M,True,,Entity,132,,7.1965780183672905,dose1_view_chck_80M,0,5,move_contents,move_contents_0_ops_114,80000000
dose1_view,chck_80M,True,,Entity,265,,3.263231173157692,dose1_view_chck_80M,0,5,move_contents,move_contents_0_ops_236,80000000
dose1_view,chck_80M,False,,Entity,389,,-7.104457879438996,dose1_view_chck_80M,0,5,move_contents,move_contents_0_ops_346,80000000
dose1_view,chck_80M,False,,Entity,539,,-1.0064272806048393,dose1_view_chck_80M,0,5,move_contents,move_contents_0_ops_468,80000000
dose1_view,chck_80M,False,,Entity,593,,-1.3804169185459614,dose1_view_chck_80M,0,5,move_contents,move_contents_0_ops_504,80000000
dose1_view,chck_80M,False,,Entity,815,,-0.4947778172791004,dose1_view_chck_80M,1,5,move_contents,move_contents_1_ops_161,80000000
dose1_view,chck_80M,False,,Entity,860,,-5.1022816225886345,dose1_view_chck_80M,1,5,move_contents,move_contents_1_ops_194,80000000
dose1_view,chck_80M,False,,Entity,930,,-3.1819425560534,dose1_view_chck_80M,1,5,move_contents,move_contents_1_ops_243,80000000
dose1_view,chck_80M,True,,Entity,958,,0.3290383219718933,dose1_view_chck_80M,1,5,move_contents,move_contents_1_ops_265,80000000
dose1_view,chck_80M,False,,Entity,1004,,-5.3014223808422685,dose1_view_chck_80M,1,5,move_contents,move_contents_1_ops_293,80000000
dose1_view,chck_80M,True,,Entity,1278,,4.712797356769443,dose1_view_chck_80M,2,5,move_contents,move_contents_2_ops_46,80000000
dose1_view,chck_80M,False,,Entity,1280,,-0.9024800136685371,dose1_view_chck_80M,2,5,move_contents,move_contents_2_ops_48,80000000
dose1_view,chck_80M,True,,Entity,1359,,7.496696243993938,dose1_view_chck_80M,2,5,move_contents,move_contents_2_ops_103,80000000
dose1_view,chck_80M,True,,Entity,1447,,2.2062997221946716,dose1_view_chck_80M,2,5,move_contents,move_contents_2_ops_160,80000000
dose1_view,chck_80M,False,,Entity,1516,,-0.0063269734382629395,dose1_view_chck_80M,2,5,move_contents,move_contents_2_ops_210,80000000
