subset,arm,dose,seed,checkpoint,n,mean_loss,sd_loss,mean_masked
heldout2647_full,base43022,base0,43022,chck_100M,2647,2.658400992745717,1.1036370751865325,34.54854552323385
heldout2647_full,base43022,base0,43022,chck_80M,2647,2.6837817847779393,1.105641486946258,34.54854552323385
heldout2647_full,base43022,base0,43022,chck_90M,2647,2.6615800448001266,1.102900450232592,34.54854552323385
heldout2647_full,base43122,base0,43122,chck_100M,2647,2.6422531853162927,1.0955972581101847,34.54854552323385
heldout2647_full,base43122,base0,43122,chck_80M,2647,2.6713599648821322,1.09756938801079,34.54854552323385
heldout2647_full,base43122,base0,43122,chck_90M,2647,2.646493405100517,1.0965172067290163,34.54854552323385
heldout2647_no_inherited_aln_text,base43022,base0,43022,chck_100M,1743,2.462018762324572,1.108705744745283,35.187033849684454
heldout2647_no_inherited_aln_text,base43022,base0,43022,chck_80M,1743,2.486555569985271,1.1114790911079806,35.187033849684454
heldout2647_no_inherited_aln_text,base43022,base0,43022,chck_90M,1743,2.465104430443722,1.1082429639062106,35.187033849684454
heldout2647_no_inherited_aln_text,base43122,base0,43122,chck_100M,1743,2.4445776897880642,1.0946902692226654,35.187033849684454
heldout2647_no_inherited_aln_text,base43122,base0,43122,chck_80M,1743,2.4719561257106277,1.0981187188823227,35.187033849684454
heldout2647_no_inherited_aln_text,base43122,base0,43122,chck_90M,1743,2.44902890631197,1.0959700441239473,35.187033849684454
