example_id,source,words,loss,n_masked,subset,subset_path,arm,dose,seed,family,checkpoint
48421,open_subtitles,160,3.936706066131592,32,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
34484,gutenberg,160,2.977264165878296,26,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
47433,open_subtitles,160,3.5119707584381104,31,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
42150,open_subtitles,160,3.0044450759887695,27,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
15715,childes,160,1.2116150856018066,44,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
43486,open_subtitles,160,3.198380947113037,39,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
61699,simple_wiki,160,3.9088871479034424,40,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
6592,childes,160,1.5615167617797852,42,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
2222,bnc_spoken,160,2.7806434631347656,26,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
6088,childes,160,1.5747958421707153,35,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
38893,open_subtitles,160,1.8827205896377563,24,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
11401,childes,160,1.4358326196670532,42,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
13280,childes,160,1.2611156702041626,38,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
51799,open_subtitles,160,3.9258460998535156,40,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
45849,open_subtitles,160,3.3429532051086426,34,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
10410,childes,160,3.044323682785034,41,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
25440,gutenberg,160,3.5171120166778564,25,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
46605,open_subtitles,160,3.4035158157348633,29,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
35669,gutenberg,160,4.960594177246094,25,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
39615,open_subtitles,160,3.063089370727539,36,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
42731,open_subtitles,160,2.8923959732055664,31,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
15353,childes,160,1.2267423868179321,43,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
113,bnc_spoken,160,2.209519624710083,28,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
5253,childes,160,2.2255282402038574,36,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
10911,childes,160,2.965421199798584,47,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
25992,gutenberg,160,4.9054694175720215,36,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
8033,childes,160,2.6722631454467773,29,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
5270,childes,160,1.4603148698806763,39,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
35672,gutenberg,160,4.361731052398682,44,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
