arm,dose,seed,checkpoint,subset,n,mean_loss,elapsed_sec_since_model_load,device
base43022,base0,43022,chck_80M,heldout2647_full,2647,2.6837817847779393,104.12,cpu
base43022,base0,43022,chck_80M,heldout2647_no_inherited_aln_text,1743,2.486555569985271,174.99,cpu
base43022,base0,43022,chck_90M,heldout2647_full,2647,2.6615800448001266,108.91,cpu
base43022,base0,43022,chck_90M,heldout2647_no_inherited_aln_text,1743,2.465104430443722,183.42,cpu
base43022,base0,43022,chck_100M,heldout2647_full,2647,2.658400992745717,115.86,cpu
base43022,base0,43022,chck_100M,heldout2647_no_inherited_aln_text,1743,2.462018762324572,193.54,cpu
base43122,base0,43122,chck_80M,heldout2647_full,2647,2.6713599648821322,120.87,cpu
base43122,base0,43122,chck_80M,heldout2647_no_inherited_aln_text,1743,2.4719561257106277,199.32,cpu
base43122,base0,43122,chck_90M,heldout2647_full,2647,2.646493405100517,118.49,cpu
base43122,base0,43122,chck_90M,heldout2647_no_inherited_aln_text,1743,2.44902890631197,193.59,cpu
base43122,base0,43122,chck_100M,heldout2647_full,2647,2.6422531853162927,113.24,cpu
base43122,base0,43122,chck_100M,heldout2647_no_inherited_aln_text,1743,2.4445776897880642,187.57,cpu
