domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5180995475113123,749,0.3389140271493213,0.7032863849765258,1065,0.01571705739479512
social-relations,1548,0.5109819121447028,497,0.3210594315245478,0.6565389696169088,757,0.21944268885999918
physical-relations,818,0.5171149144254279,281,0.343520782396088,0.7113924050632912,395,0.12015103921294212
physical-interactions,556,0.4694244604316547,223,0.4010791366906475,0.7559322033898305,295,-0.1863145399838686
material-dynamics,770,0.5038961038961038,209,0.2714285714285714,0.5471204188481675,382,0.06673550605773926
spatial-relations,490,0.46938775510204084,208,0.42448979591836733,0.8,260,-0.24918216466903687
social-properties,328,0.46646341463414637,115,0.35060975609756095,0.6571428571428571,175,-0.21994280070066452
social-interactions,294,0.47278911564625853,102,0.3469387755102041,0.6580645161290323,155,-0.2594561818987131
quantitative-properties,314,0.5828025477707006,78,0.2484076433121019,0.5954198473282443,131,0.3735952612478286
material-properties,170,0.5764705882352941,33,0.19411764705882353,0.4583333333333333,72,0.38432465959340334
physical-dynamics,120,0.5166666666666667,31,0.25833333333333336,0.5344827586206896,58,0.20035768672823906
