seed,overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
43022,ALL,ALL,VminusC,gain_T_vs_U,1200,0.1579271977402459,0.03396229916796844,0.5675
43022,ALL,ALL,VminusC,gain_T_vs_N,1200,0.17318333219262663,0.03398455525069675,0.5766666666666667
43022,ALL,ALL,VminusC,gain_U_vs_N,1200,0.015256134452380745,0.01799075172629645,0.485
43022,ALL,ALL,RminusC,gain_T_vs_U,1200,-0.06073259359970001,0.03336595909482818,0.49416666666666664
43022,ALL,ALL,RminusC,gain_T_vs_N,1200,-0.0058596790361944906,0.03208274003547472,0.5066666666666667
43022,ALL,ALL,RminusC,gain_U_vs_N,1200,0.05487291456350552,0.017960082056965882,0.5158333333333334
43022,ALL,ALL,VminusR,gain_T_vs_U,1200,0.21865979133994595,0.030484212268066167,0.585
43022,ALL,ALL,VminusR,gain_T_vs_N,1200,0.17904301122882113,0.03081860294742871,0.5758333333333333
43022,ALL,ALL,VminusR,gain_U_vs_N,1200,-0.03961678011112478,0.016129558605508063,0.475
43022,ALL,nonoverlap,VminusC,gain_T_vs_U,1200,0.025288814347457233,0.0354581591790232,0.5125
43022,ALL,nonoverlap,VminusC,gain_T_vs_N,1200,0.04852485634341266,0.03564127557264377,0.5408333333333334
43022,ALL,nonoverlap,VminusC,gain_U_vs_N,1200,0.023236041995955414,0.017782896820974635,0.5016666666666667
43022,ALL,nonoverlap,RminusC,gain_T_vs_U,1200,-0.27535098202843483,0.03658146124209052,0.4091666666666667
43022,ALL,nonoverlap,RminusC,gain_T_vs_N,1200,-0.20726262486630326,0.036691688221760055,0.4475
43022,ALL,nonoverlap,RminusC,gain_U_vs_N,1200,0.0680883571621315,0.018271093004842486,0.5233333333333333
43022,ALL,nonoverlap,VminusR,gain_T_vs_U,1200,0.300639796375892,0.03596462762176541,0.6
43022,ALL,nonoverlap,VminusR,gain_T_vs_N,1200,0.25578748120971595,0.03628407710221502,0.6075
43022,ALL,nonoverlap,VminusR,gain_U_vs_N,1200,-0.04485231516617609,0.018008529838573012,0.46416666666666667
43022,ALL,overlap,VminusC,gain_T_vs_U,1200,0.2905655811330346,0.057806437035405,0.5825
43022,ALL,overlap,VminusC,gain_T_vs_N,1200,0.2978418080418406,0.05760595218017072,0.5791666666666667
43022,ALL,overlap,VminusC,gain_U_vs_N,1200,0.007276226908806065,0.03131715083427717,0.49166666666666664
43022,ALL,overlap,RminusC,gain_T_vs_U,1200,0.15388579482903475,0.055005869754790035,0.5516666666666666
43022,ALL,overlap,RminusC,gain_T_vs_N,1200,0.1955432667939143,0.05230896172393808,0.57
43022,ALL,overlap,RminusC,gain_U_vs_N,1200,0.04165747196487953,0.029811412107249465,0.5225
43022,ALL,overlap,VminusR,gain_T_vs_U,1200,0.13667978630399985,0.04961407648283989,0.5316666666666666
43022,ALL,overlap,VminusR,gain_T_vs_N,1200,0.10229854124792634,0.04928010786244672,0.5333333333333333
43022,ALL,overlap,VminusR,gain_U_vs_N,1200,-0.03438124505607347,0.027600028206187472,0.48083333333333333
43022,high,ALL,VminusC,gain_T_vs_U,400,0.14097204240313052,0.06069644546833356,0.575
43022,high,ALL,VminusC,gain_T_vs_N,400,0.15436012331376936,0.06314478053919798,0.57
43022,high,ALL,VminusC,gain_U_vs_N,400,0.013388080910638865,0.02733717389661361,0.495
43022,high,ALL,RminusC,gain_T_vs_U,400,-0.1355452342201776,0.0571633004601607,0.4675
43022,high,ALL,RminusC,gain_T_vs_N,400,-0.07457934386464334,0.05718507269949964,0.4975
43022,high,ALL,RminusC,gain_U_vs_N,400,0.06096589035553432,0.027219596915061976,0.5225
43022,high,ALL,VminusR,gain_T_vs_U,400,0.27651727662330816,0.05168280727499427,0.595
43022,high,ALL,VminusR,gain_T_vs_N,400,0.22893946717841268,0.05394185638817918,0.575
43022,high,ALL,VminusR,gain_U_vs_N,400,-0.047577809444895446,0.02632168436824816,0.47
43022,high,nonoverlap,VminusC,gain_T_vs_U,400,-0.008892516995935412,0.06527161297689525,0.51
43022,high,nonoverlap,VminusC,gain_T_vs_N,400,-0.002526790842724358,0.0671233953542885,0.5075
43022,high,nonoverlap,VminusC,gain_U_vs_N,400,0.006365726153211047,0.028764480110395473,0.5025
43022,high,nonoverlap,RminusC,gain_T_vs_U,400,-0.47668104392262955,0.07182778477832,0.38
43022,high,nonoverlap,RminusC,gain_T_vs_N,400,-0.42737350631582866,0.07169294143315236,0.4075
43022,high,nonoverlap,RminusC,gain_U_vs_N,400,0.04930753760680091,0.029575983188080395,0.5275
43022,high,nonoverlap,VminusR,gain_T_vs_U,400,0.46778852692669415,0.06854934407395838,0.6175
43022,high,nonoverlap,VminusR,gain_T_vs_N,400,0.42484671547310426,0.06893905025399076,0.6375
43022,high,nonoverlap,VminusR,gain_U_vs_N,400,-0.04294181145358986,0.02996219374786858,0.4675
43022,high,overlap,VminusC,gain_T_vs_U,400,0.29083660180219645,0.10117607418302166,0.585
43022,high,overlap,VminusC,gain_T_vs_N,400,0.3112470374702631,0.10399843418058563,0.565
43022,high,overlap,VminusC,gain_U_vs_N,400,0.020410435668066683,0.04694107866041546,0.5
43022,high,overlap,RminusC,gain_T_vs_U,400,0.20559057548227425,0.0864284543131846,0.5425
43022,high,overlap,RminusC,gain_T_vs_N,400,0.278214818586542,0.08725769813532022,0.57
43022,high,overlap,RminusC,gain_U_vs_N,400,0.0726242431042677,0.04432065213261671,0.53
43022,high,overlap,VminusR,gain_T_vs_U,400,0.08524602631992219,0.07897806525365413,0.5075
43022,high,overlap,VminusR,gain_T_vs_N,400,0.03303221888372113,0.08292420393668433,0.5175
43022,high,overlap,VminusR,gain_U_vs_N,400,-0.052213807436201014,0.04319591199911472,0.4925
43022,low,ALL,VminusC,gain_T_vs_U,400,0.25945881773305396,0.06146540201097678,0.585
43022,low,ALL,VminusC,gain_T_vs_N,400,0.3005344212167256,0.059890833075788165,0.6275
43022,low,ALL,VminusC,gain_U_vs_N,400,0.04107560348367163,0.03395731994756598,0.49
43022,low,ALL,RminusC,gain_T_vs_U,400,-0.004997207302803864,0.06390087272732006,0.5125
43022,low,ALL,RminusC,gain_T_vs_N,400,0.0839655394851676,0.05960610631594052,0.5225
43022,low,ALL,RminusC,gain_U_vs_N,400,0.08896274678797152,0.03541678882756034,0.5275
43022,low,ALL,VminusR,gain_T_vs_U,400,0.2644560250358578,0.055885369080575495,0.6075
43022,low,ALL,VminusR,gain_T_vs_N,400,0.21656888173155797,0.05727573149901729,0.6075
43022,low,ALL,VminusR,gain_U_vs_N,400,-0.04788714330429989,0.03111957674535206,0.445
43022,low,nonoverlap,VminusC,gain_T_vs_U,400,0.126869086852336,0.054034743065865656,0.5425
43022,low,nonoverlap,VminusC,gain_T_vs_N,400,0.19256247606147858,0.053653805566974466,0.61
43022,low,nonoverlap,VminusC,gain_U_vs_N,400,0.06569338920914257,0.032060903202087626,0.5175
43022,low,nonoverlap,RminusC,gain_T_vs_U,400,-0.12040599761297927,0.0576775466520099,0.445
43022,low,nonoverlap,RminusC,gain_T_vs_N,400,-0.008868260165521273,0.05863300670743356,0.4975
43022,low,nonoverlap,RminusC,gain_U_vs_N,400,0.111537737447458,0.03439339393873459,0.53
43022,low,nonoverlap,VminusR,gain_T_vs_U,400,0.24727508446531524,0.05581613902182007,0.5925
43022,low,nonoverlap,VminusR,gain_T_vs_N,400,0.2014307362269998,0.05726323941874324,0.595
43022,low,nonoverlap,VminusR,gain_U_vs_N,400,-0.04584434823831542,0.03431695688560535,0.475
43022,low,overlap,VminusC,gain_T_vs_U,400,0.392048548613772,0.11032723022585425,0.6
43022,low,overlap,VminusC,gain_T_vs_N,400,0.40850636637197263,0.10714713302544634,0.585
43022,low,overlap,VminusC,gain_U_vs_N,400,0.016457817758200672,0.0605980619012242,0.48
43022,low,overlap,RminusC,gain_T_vs_U,400,0.11041158300737151,0.11383431701815275,0.5425
43022,low,overlap,RminusC,gain_T_vs_N,400,0.17679933913585655,0.1029068617450292,0.5625
43022,low,overlap,RminusC,gain_U_vs_N,400,0.066387756128485,0.059591313337205076,0.515
43022,low,overlap,VminusR,gain_T_vs_U,400,0.2816369656064004,0.09731760038207207,0.5775
43022,low,overlap,VminusR,gain_T_vs_N,400,0.23170702723611616,0.09571324768060545,0.56
43022,low,overlap,VminusR,gain_U_vs_N,400,-0.04992993837028431,0.054159744426956424,0.46
43022,medium,ALL,VminusC,gain_T_vs_U,400,0.07335073308455321,0.05361447968878016,0.5425
43022,medium,ALL,VminusC,gain_T_vs_N,400,0.06465545204738497,0.05243565084788395,0.5325
43022,medium,ALL,VminusC,gain_U_vs_N,400,-0.008695281037168266,0.03177222312252449,0.47
43022,medium,ALL,RminusC,gain_T_vs_U,400,-0.04165533927611857,0.051438821105862884,0.5025
43022,medium,ALL,RminusC,gain_T_vs_N,400,-0.026965232729107783,0.04906738639185233,0.5
43022,medium,ALL,RminusC,gain_U_vs_N,400,0.01469010654701075,0.030013176984020108,0.4975
43022,medium,ALL,VminusR,gain_T_vs_U,400,0.11500607236067178,0.05028742925064474,0.5525
43022,medium,ALL,VminusR,gain_T_vs_N,400,0.09162068477649274,0.048259631403915086,0.545
43022,medium,ALL,VminusR,gain_U_vs_N,400,-0.02338538758417903,0.026061786872511778,0.51
43022,medium,nonoverlap,VminusC,gain_T_vs_U,400,-0.04211012681402887,0.06399467728939774,0.485
43022,medium,nonoverlap,VminusC,gain_T_vs_N,400,-0.044461116188516205,0.06299543570881903,0.505
43022,medium,nonoverlap,VminusC,gain_U_vs_N,400,-0.0023509893744873534,0.031367676337202305,0.485
43022,medium,nonoverlap,RminusC,gain_T_vs_U,400,-0.22896590454969556,0.05823372229153283,0.4025
43022,medium,nonoverlap,RminusC,gain_T_vs_N,400,-0.18554610811755992,0.05760304424447739,0.4375
43022,medium,nonoverlap,RminusC,gain_U_vs_N,400,0.04341979643213563,0.030654990847507065,0.5125
43022,medium,nonoverlap,VminusR,gain_T_vs_U,400,0.1868557777356667,0.06096968736780008,0.59
43022,medium,nonoverlap,VminusR,gain_T_vs_N,400,0.14108499192904372,0.06087204751057523,0.59
43022,medium,nonoverlap,VminusR,gain_U_vs_N,400,-0.04577078580662297,0.029040730777508607,0.45
43022,medium,overlap,VminusC,gain_T_vs_U,400,0.1888115929831353,0.08725783573722175,0.5625
43022,medium,overlap,VminusC,gain_T_vs_N,400,0.17377202028328612,0.08660415676783961,0.5875
43022,medium,overlap,VminusC,gain_U_vs_N,400,-0.015039572699849187,0.054308364415601905,0.495
43022,medium,overlap,RminusC,gain_T_vs_U,400,0.14565522599745842,0.08240815546488575,0.57
43022,medium,overlap,RminusC,gain_T_vs_N,400,0.13161564265934436,0.07996335134343859,0.5775
43022,medium,overlap,RminusC,gain_U_vs_N,400,-0.014039583338114113,0.04971273550251859,0.5225
43022,medium,overlap,VminusR,gain_T_vs_U,400,0.04315636698567685,0.07977936774771191,0.51
43022,medium,overlap,VminusR,gain_T_vs_N,400,0.04215637762394181,0.0758709974202609,0.5225
43022,medium,overlap,VminusR,gain_U_vs_N,400,-0.0009999893617350653,0.0453045704876585,0.49
43122,ALL,ALL,VminusC,gain_T_vs_U,1200,0.17523685080034637,0.033852926866754514,0.565
43122,ALL,ALL,VminusC,gain_T_vs_N,1200,0.15764598450013287,0.03299990009956484,0.5441666666666667
43122,ALL,ALL,VminusC,gain_U_vs_N,1200,-0.01759086630021355,0.019954642126465943,0.47833333333333333
43122,ALL,ALL,RminusC,gain_T_vs_U,1200,-0.04180349664132237,0.03476425216892939,0.47333333333333333
43122,ALL,ALL,RminusC,gain_T_vs_N,1200,-0.04386858722936164,0.03424169199261307,0.4766666666666667
