role,seed,pair_id,overlap_bin,token_class,n_checkpoints,n_targets,gain_T_vs_U,gain_T_vs_N,gain_U_vs_N
C,43022,wikilarge_00e870d0480c25e3f6c8,high,nonoverlap,3,2.0,-1.7036828398704529,-1.4471570650736492,0.2565257747968038
C,43022,wikilarge_00e870d0480c25e3f6c8,high,overlap,3,1.0,3.6855558454990387,3.0977279245853424,-0.5878279209136963
C,43022,wikilarge_00ed2371f449705b6f23,low,nonoverlap,3,2.0,0.26908715565999347,0.07499007383982341,-0.19409708182017008
C,43022,wikilarge_00ed2371f449705b6f23,low,overlap,3,1.0,3.811880588531494,2.99133030573527,-0.820550282796224
C,43022,wikilarge_00fb0e77f0f8f7a6a420,low,nonoverlap,3,2.0,2.798122008641561,2.2497861782709756,-0.5483358303705851
C,43022,wikilarge_00fb0e77f0f8f7a6a420,low,overlap,3,1.0,8.327544291814169,8.567187706629435,0.23964341481526694
C,43022,wikilarge_010317a91bf8561d95c3,low,nonoverlap,3,2.0,-0.12783320744832358,-0.592856248219808,-0.4650230407714844
C,43022,wikilarge_010317a91bf8561d95c3,low,overlap,3,1.0,3.470288117726644,4.456533273061116,0.9862451553344727
C,43022,wikilarge_01041aaee4684cb5061c,low,nonoverlap,3,2.0,0.6358120242754618,1.0497065981229146,0.4138945738474528
C,43022,wikilarge_01041aaee4684cb5061c,low,overlap,3,1.0,1.1889480749766033,0.695695161819458,-0.4932529131571452
C,43022,wikilarge_013b198c2bf6ca68542a,high,nonoverlap,3,2.0,0.230156679948171,-0.07933199405670166,-0.3094886740048726
C,43022,wikilarge_013b198c2bf6ca68542a,high,overlap,3,1.0,5.950274907673399,6.500708543385069,0.5504336357116699
C,43022,wikilarge_017089608da0d2887c82,medium,nonoverlap,3,2.0,-0.36823614438374835,-1.0058348973592122,-0.6375987529754639
C,43022,wikilarge_017089608da0d2887c82,medium,overlap,3,1.0,10.349333067735037,10.05881017446518,-0.29052289326985675
C,43022,wikilarge_017e738f835259332345,medium,nonoverlap,3,2.0,0.2858106295267741,0.44987964630126953,0.16406901677449545
C,43022,wikilarge_017e738f835259332345,medium,overlap,3,1.0,4.35717527071635,5.326671997706096,0.9694967269897461
C,43022,wikilarge_01963191926527b51b32,medium,nonoverlap,3,2.0,0.6373429298400879,1.1218288342158,0.4844859043757121
C,43022,wikilarge_01963191926527b51b32,medium,overlap,3,1.0,2.7105263670285544,3.3811756571133933,0.6706492900848389
C,43022,wikilarge_01d00fc38d7168edc816,high,nonoverlap,3,2.0,4.525167067845662,3.3443066279093423,-1.18086043993632
C,43022,wikilarge_01d00fc38d7168edc816,high,overlap,3,1.0,4.715046137571335,4.596036642789841,-0.11900949478149414
C,43022,wikilarge_01d0a0c7c5a04adafc96,medium,nonoverlap,3,2.0,0.08825634916623433,-0.05795423189798991,-0.14621058106422424
