role,seed,checkpoint,overlap_bin,token_class,n_targets,n_pairs,mean_gain_T_vs_U,mean_gain_T_vs_N,mean_gain_U_vs_N,se_gain_T_vs_U,se_gain_T_vs_N,se_gain_U_vs_N
C,43022,chck_100M,high,nonoverlap,800,400,-0.02117349039763212,-0.10899991601938382,-0.08782642562175169,0.08169610156645696,0.07996665690742048,0.030121638057555824
C,43022,chck_100M,high,overlap,400,400,5.077461335876942,5.036686165894134,-0.04077516998280771,0.17054075688412146,0.17329488366547474,0.043256230037396134
C,43022,chck_100M,low,nonoverlap,800,400,0.02285819734679535,-0.029350865634623916,-0.052209062981419266,0.06692210087400295,0.06958384776173335,0.033102915465219984
C,43022,chck_100M,low,overlap,400,400,4.379944943849696,4.300044906103867,-0.07990003774582874,0.17997589337185163,0.17692969882523307,0.06033952331844691
C,43022,chck_100M,medium,nonoverlap,800,400,-0.1579147445317358,-0.2157019047648646,-0.05778716023312882,0.07434356739763244,0.07280411848598295,0.02922765963322548
C,43022,chck_100M,medium,overlap,400,400,4.815252336534468,4.761497529667832,-0.0537548068666365,0.15720004825858752,0.1620226979029552,0.04833787923129896
C,43022,chck_80M,high,nonoverlap,800,400,0.06346309452783316,-0.01920193703379482,-0.08266503156162798,0.08038908201504665,0.07895921388422085,0.0306463083194612
C,43022,chck_80M,high,overlap,400,400,5.10539924119541,5.094210941933561,-0.011188299261848443,0.168586086277106,0.17283917126124976,0.04353845649395411
C,43022,chck_80M,low,nonoverlap,800,400,0.10087468186393381,0.042960566044785084,-0.057914115819148716,0.06483416366664695,0.06658530328217806,0.033920081987075856
C,43022,chck_80M,low,overlap,400,400,4.325591957766446,4.25791651558713,-0.06767544217931572,0.17698161192529277,0.17527083816589106,0.05718946454964104
C,43022,chck_80M,medium,nonoverlap,800,400,-0.09396783072967083,-0.14215190147282555,-0.048184070743154735,0.07236612168557136,0.07143177903721784,0.029094813076627264
