role,seed,overlap_bin,token_class,n_pairs,mean_gain_T_vs_U,mean_gain_T_vs_N,mean_gain_U_vs_N,se_pair_gain_T_vs_U,se_pair_gain_T_vs_N,se_pair_gain_U_vs_N
C,43022,ALL,ALL,1200,2.3650817535433166,2.3067932618672664,-0.0582884916760506,0.05456041985537469,0.05504457989209607,0.016924903871510185
C,43022,ALL,nonoverlap,1200,-0.02509778355713933,-0.09004931016437089,-0.06495152660723155,0.04287255873092962,0.04202762552348758,0.01740615358258634
C,43022,ALL,overlap,1200,4.755261290643773,4.703635833898904,-0.05162545674486965,0.09771553103477072,0.0987738912414711,0.0290085914850784
C,43022,high,ALL,400,2.5483945761556486,2.4909267366272494,-0.05746783952839905,0.0956639307528571,0.09651188975524191,0.02710361712012919
C,43022,high,nonoverlap,400,0.007633488258191701,-0.07775519727341208,-0.08538868553160378,0.08151678737963583,0.07879273923512294,0.029831451901531407
C,43022,high,overlap,400,5.089155664053106,5.059608670527911,-0.029546993525194316,0.1696928885664662,0.17294324357776214,0.04308163710392697
C,43022,low,ALL,400,2.2083766553817257,2.1428375426393176,-0.06553911274240817,0.09744935574838368,0.09677284669661375,0.033591370596339445
C,43022,low,nonoverlap,400,0.05027234667524075,-0.004292957674867165,-0.05456530435010791,0.06639395270718551,0.06762670209374212,0.03218585536939893
C,43022,low,overlap,400,4.366480964088211,4.289968042953503,-0.07651292113470844,0.17848659137650927,0.17589089534603763,0.05880667139646745
C,43022,medium,ALL,400,2.3384740290925765,2.2866155063352323,-0.051858522757344566,0.08942270419742102,0.0918511778206966,0.026736653236958036
C,43022,medium,nonoverlap,400,-0.13319918560485045,-0.1880997755448334,-0.05490058993998294,0.07377850827934856,0.07122097440093897,0.02827289167096452
C,43022,medium,overlap,400,4.810147243790004,4.7613307882152975,-0.048816455574706194,0.15690017578230916,0.16188466799057105,0.04750206864940966
C,43122,ALL,ALL,1200,2.4198908688673955,2.356077739197772,-0.06381312966962369,0.05482711165155744,0.05557389517734827,0.01907343251864715
C,43122,ALL,nonoverlap,1200,0.03558250474924636,-0.008428613107276358,-0.04401111785652271,0.0427159297070543,0.04207838858004282,0.019373333763522967
C,43122,ALL,overlap,1200,4.804199232985544,4.72058409150282,-0.08361514148272464,0.09984184775847108,0.10151877402350709,0.032851716297287614
C,43122,high,ALL,400,2.6213720167839893,2.584208514525665,-0.03716350225832381,0.09007754802057674,0.09108768900942793,0.027433469919195652
C,43122,high,nonoverlap,400,0.023146582598953202,-0.05144892356261457,-0.07459550616156775,0.07696882693681688,0.07743964965071301,0.030252972821716118
C,43122,high,overlap,400,5.219597450969026,5.2198659526139455,0.0002685016449201338,0.16094777686943534,0.16206820598624422,0.04496361629734108
C,43122,low,ALL,400,2.3239681054548904,2.2501961974801574,-0.07377190797473304,0.09888848062749354,0.09859230877439698,0.038100319770268135
C,43122,low,nonoverlap,400,0.20970432630196834,0.17355701672223706,-0.03614730957973128,0.06901285646723614,0.06744037306314472,0.03695570458127632
C,43122,low,overlap,400,4.438231884607813,4.326835378238077,-0.1113965063697348,0.18235387931581953,0.18240641449798844,0.0658339203995633
C,43122,medium,ALL,400,2.3143324843633066,2.2338285055874927,-0.08050397877581418,0.09491505299552674,0.09789387836573589,0.032668224670319004
C,43122,medium,nonoverlap,400,-0.1261033946531825,-0.1473939324814516,-0.021290537828269104,0.07478865356074868,0.07248801018861108,0.03306333939202301
C,43122,medium,overlap,400,4.754768363379796,4.615050943656437,-0.13971741972335924,0.17258649691548378,0.1793814530356886,0.0577052525233089
C,43222,ALL,ALL,1200,2.4011909639775846,2.3704230078583666,-0.03076795611921827,0.054108876812156974,0.05509355659773154,0.019000772129949425
C,43222,ALL,nonoverlap,1200,-0.01939086356788822,-0.03649273088596399,-0.01710186731807577,0.038740887473880915,0.03932706855438071,0.018181278855036787
C,43222,ALL,overlap,1200,4.821772791523057,4.777338746602696,-0.044434044920360766,0.099390840644152,0.10132397571147667,0.03305243808896923
C,43222,high,ALL,400,2.5585050493398707,2.534649136611888,-0.02385591272798289,0.09094885117376696,0.09279538995084802,0.029447869416789417
C,43222,high,nonoverlap,400,-0.0681109452653133,-0.10203225850185844,-0.033921313236545146,0.0665679071211059,0.06895638798469937,0.02895069210557047
C,43222,high,overlap,400,5.185121043945055,5.171330531725634,-0.01379051221942064,0.16716039637943997,0.17005701821181604,0.05132136901892033
C,43222,low,ALL,400,2.336100141107454,2.2892681750536816,-0.046831966053772094,0.09735339078558573,0.09614960097960724,0.03620852704040253
C,43222,low,nonoverlap,400,0.16921257134953824,0.16728780895355158,-0.0019247623959866662,0.06696291448267264,0.06646183229234105,0.03539705864540102
C,43222,low,overlap,400,4.50298771086537,4.411248541153812,-0.09173916971155752,0.17826360056966448,0.17666084547467537,0.060604220487487294
C,43222,medium,ALL,400,2.3089677014854293,2.2873517119095292,-0.02161598957589982,0.09223250270121527,0.0967513654759484,0.03271170527590924
C,43222,medium,nonoverlap,400,-0.1592742167878896,-0.1747337431095851,-0.015459526321695498,0.06669788939351004,0.06771318191668413,0.029709357687554422
C,43222,medium,overlap,400,4.7772096197587475,4.749437166928644,-0.02777245283010416,0.16910725601997167,0.17761028562657202,0.05930246613596192
R,43022,ALL,ALL,1200,2.304349159943617,2.3009335828310715,-0.003415577112545076,0.05533945032601364,0.05593341646779803,0.018157484963573747
R,43022,ALL,nonoverlap,1200,-0.3004487655855741,-0.29731193503067416,0.0031368305548999664,0.043039581996493555,0.044106023224322735,0.018627286027683442
R,43022,ALL,overlap,1200,4.909147085472808,4.899179100692818,-0.009967984779990119,0.10160765164273113,0.10199812791901887,0.031516735727100814
R,43022,high,ALL,400,2.412849341935471,2.416347392762606,0.003498050827135253,0.09182358544859362,0.09275963156545484,0.026437604818908556
R,43022,high,nonoverlap,400,-0.46904755566443784,-0.5051287035892408,-0.03608114792480289,0.08170293293996446,0.08234996026793363,0.03045578049721993
R,43022,high,overlap,400,5.29474623953538,5.337823489114453,0.0430772495790734,0.16405532317027255,0.16772887915067497,0.042584233003435626
R,43022,low,ALL,400,2.203379448078922,2.2268030821244853,0.02342363404556333,0.10229573301405845,0.10160559226970167,0.03548759135309024
R,43022,low,nonoverlap,400,-0.07013365093773852,-0.013161217840388423,0.0569724330973501,0.06816648250703475,0.07150162951781347,0.0368496125500209
R,43022,low,overlap,400,4.4768925470955825,4.466767382089359,-0.010125165006223444,0.19010736678487786,0.18441818662856876,0.06113798751474133
R,43022,medium,ALL,400,2.296818689816458,2.259650273606124,-0.037168416210333816,0.09279571823895044,0.0957996769071236,0.03168854310443856
R,43022,medium,nonoverlap,400,-0.36216509015454595,-0.3736458836623933,-0.011480793507847316,0.07166877427162974,0.07273019871022351,0.02873514502933162
R,43022,medium,overlap,400,4.955802469787462,4.892946430874642,-0.06285603891282031,0.1703461339116777,0.1747596902326688,0.058089963337259756
R,43122,ALL,ALL,1200,2.378087372226073,2.31220915196841,-0.06587822025766298,0.057828222749405356,0.058466984977883635,0.020542962077862537
R,43122,ALL,nonoverlap,1200,-0.202640506054223,-0.2577244483516228,-0.05508394229739982,0.04691435407280612,0.04651200473905415,0.020404941038359024
R,43122,ALL,overlap,1200,4.958815250506369,4.882142752288443,-0.07667249821792615,0.10470834679358748,0.1061241806568511,0.03533369913056976
R,43122,high,ALL,400,2.5034393307159433,2.470559131571305,-0.03288019914463803,0.10067819674935141,0.09863207586183569,0.029695947167614173
R,43122,high,nonoverlap,400,-0.3493582099082414,-0.41170863854999573,-0.06235042864175436,0.08837123438180305,0.08766824721487283,0.03131161538938521
R,43122,high,overlap,400,5.356236871340128,5.352826901692606,-0.003409969647521696,0.17708477879818607,0.17462586450068598,0.05137828380514563
R,43122,low,ALL,400,2.3006710468849634,2.2324321588848637,-0.06823888800009931,0.10251388864335353,0.10293154300092607,0.037894786983060855
R,43122,low,nonoverlap,400,0.026295726755245896,-0.04168927961999242,-0.06798500637523831,0.07418447089470541,0.07272097834479153,0.038864196467981484
R,43122,low,overlap,400,4.575046367014681,4.50655359738972,-0.0684927696249603,0.1886866766187305,0.1887258000142022,0.06159955934181124
R,43122,medium,ALL,400,2.330151739077313,2.2336361654490613,-0.09651557362825162,0.09691090179686054,0.10172646686619757,0.038407977501964286
R,43122,medium,nonoverlap,400,-0.2848590350096735,-0.3197754268848803,-0.0349163918752068,0.07933507641626533,0.07943963356044792,0.03542381430895201
R,43122,medium,overlap,400,4.9451625131642984,4.787047757783003,-0.15811475538129646,0.17592423918861486,0.18525744448681286,0.069078441080547
R,43222,ALL,ALL,1200,2.306653324027203,2.2580185255155283,-0.04863479851167438,0.05548643521862965,0.056769515787104805,0.019583411531700148
R,43222,ALL,nonoverlap,1200,-0.19016985013926588,-0.23132555865003573,-0.04115570851076983,0.04299794034696619,0.04351711640038005,0.020091950426101967
R,43222,ALL,overlap,1200,4.803476498193672,4.747362609681093,-0.056113888512578945,0.10093053065437703,0.102781802469935,0.03311054021076012
R,43222,high,ALL,400,2.4293310592879664,2.4109441150656252,-0.018386944222341606,0.09477659815292439,0.09523383480127445,0.0287214842617043
R,43222,high,nonoverlap,400,-0.3289599143872814,-0.36213201097756,-0.03317209659027867,0.07979289676209325,0.08274665093928694,0.030130306018319418
R,43222,high,overlap,400,5.187622032963215,5.1840202411088105,-0.003601791854404535,0.17062321385694812,0.17002213803582292,0.04643316853163938
R,43222,low,ALL,400,2.1890849273288406,2.16173767807161,-0.02734724925723034,0.09742090305778216,0.09933858726542867,0.03743178761119998
R,43222,low,nonoverlap,400,-0.018592057224620175,-0.03667873510877447,-0.018086677884154294,0.06722918453948012,0.06849098446666575,0.038270137097957964
R,43222,low,overlap,400,4.396761911882301,4.360154091251995,-0.036607820630306376,0.177611690886635,0.18038179845265492,0.06258710976551146
R,43222,medium,ALL,400,2.301543985464802,2.2013737834093505,-0.10017020205545123,0.09572365893276995,0.09988844243776834,0.03486355844376837
R,43222,medium,nonoverlap,400,-0.22295757880589614,-0.29516592986377266,-0.07220835105787653,0.07502196077773135,0.07319800759687373,0.03545192591332819
R,43222,medium,overlap,400,4.8260455497354995,4.697913496682474,-0.12813205305302594,0.17389887735508988,0.18103633831062982,0.061422909823931816
