arm,role,seed,checkpoint,records,elapsed_seconds,device
D_C_43022,C,43022,chck_80M,10800,12.766704320907593,cuda:0
D_C_43022,C,43022,chck_90M,10800,10.620150327682495,cuda:0
D_C_43022,C,43022,chck_100M,10800,10.949997663497925,cuda:0
D_R_43022,R,43022,chck_80M,10800,9.551877737045288,cuda:0
D_R_43022,R,43022,chck_90M,10800,6.979842662811279,cuda:0
D_R_43022,R,43022,chck_100M,10800,8.944291114807129,cuda:0
D_V_43022,V,43022,chck_80M,10800,10.592325210571289,cuda:0
D_V_43022,V,43022,chck_90M,10800,10.792275428771973,cuda:0
D_V_43022,V,43022,chck_100M,10800,11.043510437011719,cuda:0
D_C_43122,C,43122,chck_80M,10800,10.840957880020142,cuda:0
D_C_43122,C,43122,chck_90M,10800,10.932424545288086,cuda:0
D_C_43122,C,43122,chck_100M,10800,10.608152627944946,cuda:0
D_R_43122,R,43122,chck_80M,10800,11.424440622329712,cuda:0
D_R_43122,R,43122,chck_90M,10800,10.890199184417725,cuda:0
D_R_43122,R,43122,chck_100M,10800,10.730527400970459,cuda:0
D_V_43122,V,43122,chck_80M,10800,11.204712629318237,cuda:0
D_V_43122,V,43122,chck_90M,10800,10.457709789276123,cuda:0
D_V_43122,V,43122,chck_100M,10800,11.089484930038452,cuda:0
D_C_43222,C,43222,chck_80M,10800,10.787671089172363,cuda:0
D_C_43222,C,43222,chck_90M,10800,11.054991960525513,cuda:0
D_C_43222,C,43222,chck_100M,10800,11.229408740997314,cuda:0
D_R_43222,R,43222,chck_80M,10800,10.797520875930786,cuda:0
D_R_43222,R,43222,chck_90M,10800,11.185581922531128,cuda:0
D_R_43222,R,43222,chck_100M,10800,10.709229469299316,cuda:0
D_V_43222,V,43222,chck_80M,10800,10.510274171829224,cuda:0
D_V_43222,V,43222,chck_90M,10800,10.54863977432251,cuda:0
D_V_43222,V,43222,chck_100M,10800,10.803627490997314,cuda:0
