family,seed,summary_path,cheap7,SuperGLUE,AoA,Overall,delta_cheap7_vs_chck82,delta_overall_vs_historical_421210,delta_cheap7_vs_coherent86,train_summary_path,train_updates,train_words,final_readout_kl,BLiMP,BLiMP_vs_chck82,BLiMP_vs_coherent86,Supplement,Supplement_vs_chck82,Supplement_vs_coherent86,EWoK,EWoK_vs_chck82,EWoK_vs_coherent86,Entity,Entity_vs_chck82,Entity_vs_coherent86,COMPS,COMPS_vs_chck82,COMPS_vs_coherent86,GlobalPIQA,GlobalPIQA_vs_chck82,GlobalPIQA_vs_coherent86,Reading,Reading_vs_chck82,Reading_vs_coherent86
faithful_reference,coherent86,experiments/archive/relation_learning/data/faithful_superglue/coherent86_alpha075/faithful_superglue_summary.json,44.18142857142857,68.94571192183594,0.0,42.023967991315104,0.22197869497684053,-0.09705671865148702,,,,,,,,,,,,,,,,,,,,,,,,,,
faithful_reference,chck82,experiments/archive/relation_learning/data/faithful_superglue/chck82_scale1p75/faithful_superglue_summary.json,43.95944987645173,69.47199304980661,0.0,41.90979357610763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coherent_unsplit_special,98097,experiments/archive/relation_learning/data/eval_format_replay_corrected/coherent_unsplit_special/summary/coherent_unsplit_special_seed98097_alpha0p75_summary.json,43.5,,,,-0.4594498764517283,,-0.6814285714285688,experiments/archive/relation_learning/data/format_replay_corrected/coherent_unsplit_special/seed98097/summary.json,101,3992800,0.003226861357688904,68.87,0.3787159634801469,0.35999999999999943,60.99,-1.9478112562001968,-2.6499999999999986,49.69,-0.3654533255327621,-0.3300000000000054,27.98,-0.33404193029877405,-0.33999999999999986,52.26,0.06882490556403553,0.21000000000000085,36.59,-0.9876699029126144,-1.9749999999999943,8.120000000000001,-0.028713589261901262,-0.04499999999999815
coherent_unsplit_special,98098,experiments/archive/relation_learning/data/eval_format_replay_corrected/coherent_unsplit_special/summary/coherent_unsplit_special_seed98098_alpha0p75_summary.json,43.837857142857146,,,,-0.12159273359458211,,-0.34357142857142264,experiments/archive/relation_learning/data/format_replay_corrected/coherent_unsplit_special/seed98098/summary.json,101,3992800,0.0037048112135380507,68.81,0.31871596348014464,0.29999999999999716,60.74,-2.197811256200197,-2.8999999999999986,49.22,-0.835453325532761,-0.8000000000000043,28.72,0.4059580697012244,0.3999999999999986,52.26,0.06882490556403553,0.21000000000000085,39.05,1.4723300970873794,0.48499999999999943,8.065000000000001,-0.08371358926190098,-0.09999999999999787
half_coherent_half_isolated,98097,experiments/archive/relation_learning/data/eval_format_replay_corrected/half_coherent_half_isolated/summary/half_coherent_half_isolated_seed98097_alpha0p75_summary.json,43.71785714285714,,,,-0.24159273359458666,,-0.4635714285714272,experiments/archive/relation_learning/data/format_replay_corrected/half_coherent_half_isolated/seed98097/summary.json,101,3992800,0.004626541864126921,70.11,1.6187159634801418,1.5999999999999943,60.73,-2.207811256200202,-2.9100000000000037,50.66,0.6045466744672368,0.6399999999999935,28.5,0.18595806970122553,0.17999999999999972,52.47,0.2788249055640364,0.4200000000000017,35.12,-2.4576699029126203,-3.4450000000000003,8.435,0.28628641073809824,0.27000000000000135
half_coherent_half_isolated,98098,experiments/archive/relation_learning/data/eval_format_replay_corrected/half_coherent_half_isolated/summary/half_coherent_half_isolated_seed98098_alpha0p75_summary.json,43.78642857142857,,,,-0.1730213050231555,,-0.394999999999996,experiments/archive/relation_learning/data/format_replay_corrected/half_coherent_half_isolated/seed98098/summary.json,101,3992800,0.003910352010279894,69.95,1.4587159634801452,1.4399999999999977,60.16,-2.777811256200202,-3.480000000000004,50.37,0.3145466744672376,0.3499999999999943,28.59,0.2759580697012254,0.2699999999999996,52.38,0.18882490556404008,0.3300000000000054,36.59,-0.9876699029126144,-1.9749999999999943,8.465,0.3162864107380976,0.3000000000000007
isolated_all,98097,experiments/archive/relation_learning/data/eval_format_replay_corrected/isolated_all/summary/isolated_all_seed98097_alpha0p75_summary.json,43.57357142857143,,,,-0.3858784478803017,,-0.6078571428571422,experiments/archive/relation_learning/data/format_replay_corrected/isolated_all/seed98097/summary.json,101,3992800,0.011927672661840916,69.9,1.408715963480148,1.3900000000000006,61.14,-1.7978112562001982,-2.5,50.74,0.6845466744672422,0.7199999999999989,26.81,-1.5040419302987758,-1.5100000000000016,52.33,0.13882490556403582,0.28000000000000114,35.605000000000004,-1.9726699029126138,-2.9599999999999937,8.49,0.34128641073809796,0.32500000000000107
isolated_all,98098,experiments/archive/relation_learning/data/eval_format_replay_corrected/isolated_all/summary/isolated_all_seed98098_alpha0p75_summary.json,43.45357142857143,,,,-0.5058784478802991,,-0.7278571428571396,experiments/archive/relation_learning/data/format_replay_corrected/isolated_all/seed98098/summary.json,101,3992800,0.011549617163836956,70.18,1.6887159634801492,1.6700000000000017,60.61,-2.3278112562001994,-3.030000000000001,50.77,0.7145466744672433,0.75,26.68,-1.6340419302987748,-1.6400000000000006,52.38,0.18882490556404008,0.3300000000000054,35.105000000000004,-2.472669902912614,-3.4599999999999937,8.45,0.30128641073809703,0.28500000000000014
coherent_unsplit_no_special_control,98097,experiments/archive/relation_learning/data/coherent_no_special_control/eval/summary/coherent_unsplit_no_special_seed98097_alpha0p75_summary.json,44.11714285714286,,,,0.1576929806911309,,-0.06428571428570962,,,,,68.28,-0.2112840365198565,-0.23000000000000398,62.63,-0.3078112562001962,-1.009999999999998,49.65,-0.40545332553276126,-0.37000000000000455,28.58,0.2659580697012238,0.259999999999998,52.04,-0.15117509443596333,-0.00999999999999801,39.55,1.9723300970873794,0.9849999999999994,8.09,-0.0587135892619024,-0.07499999999999929
coherent_unsplit_no_special_control,98098,experiments/archive/relation_learning/data/coherent_no_special_control/eval/summary/coherent_unsplit_no_special_seed98098_alpha0p75_summary.json,43.91642857142857,,,,-0.04302130502316004,,-0.26500000000000057,,,,,68.5,0.008715963480142364,-0.010000000000005116,62.52,-0.41781125620019566,-1.1199999999999974,49.55,-0.5054533255327627,-0.47000000000000597,28.19,-0.1240419302987732,-0.129999999999999,51.98,-0.2111750944359656,-0.07000000000000028,38.565,0.98733009708738,0.0,8.11,-0.038713589261902825,-0.054999999999999716
