pair_id,edit_class,is_transform,bucket,absent_frac,gap1,skip,source_span,content_density,func_frac,compression,gen_words
compact:frontier_consolidation_fwcompact_medium_013187,deletion_reorder,False,hard_absent_relation,0.0,0.5454545454545454,0.4545454545454546,1.0,0.7058823529411764,0.29411764705882354,0.85,17
compact:frontier_consolidation_fwcompact_medium_054905,verbatim_substring,False,hard_absent_relation,0.0,0.5,0.5,0.9375,0.5625,0.4375,1.0,16
compact:frontier_consolidation_fwcompact_medium_057265,deletion_reorder,False,hard_absent_relation,0.0,0.5454545454545454,0.4545454545454546,0.9,0.631578947368421,0.3684210526315789,0.95,19
compact:frontier_consolidation_fwcompact_medium_029936,deletion_reorder,False,hard_absent_relation,0.0,0.2857142857142857,0.7142857142857143,1.0,0.6153846153846154,0.38461538461538464,0.7222222222222222,13
compact:frontier_consolidation_fwcompact_medium_021237,verbatim_substring,False,hard_absent_relation,0.0,0.7037037037037037,0.2962962962962963,1.0,0.7777777777777778,0.2222222222222222,1.0,36
compact:frontier_consolidation_fwcompact_medium_042919,deletion_reorder,False,hard_absent_relation,0.058823529411764705,0.6,0.4,0.9230769230769231,0.8095238095238095,0.19047619047619047,0.8076923076923077,21
compact:frontier_consolidation_fwcompact_medium_044276,deletion_reorder,False,hard_absent_relation,0.0,0.3333333333333333,0.6666666666666667,1.0,0.5555555555555556,0.4444444444444444,0.9473684210526315,18
compact:frontier_consolidation_fwcompact_medium_034181,verbatim_substring,False,hard_absent_relation,0.0,0.16666666666666666,0.8333333333333334,0.7777777777777778,0.4666666666666667,0.5333333333333333,0.8333333333333334,15
compact:frontier_consolidation_fwcompact_medium_038975,substantive_restructure,True,hard_absent_relation,0.2222222222222222,0.3333333333333333,0.6666666666666667,0.8888888888888888,0.8181818181818181,0.18181818181818182,0.6111111111111112,11
compact:frontier_consolidation_fwcompact_medium_026050,light_restructure,True,hard_absent_relation,0.05555555555555555,0.5625,0.4375,1.0,0.8181818181818181,0.18181818181818182,0.6285714285714286,22
compact:frontier_consolidation_fwcompact_medium_013221,light_restructure,True,hard_absent_relation,0.0,0.6363636363636364,0.36363636363636365,0.9473684210526315,0.8,0.2,0.7894736842105263,15
compact:frontier_consolidation_fwcompact_medium_024789,light_restructure,True,hard_absent_relation,0.0,0.2,0.8,1.0,0.6875,0.3125,0.7272727272727273,16
compact:frontier_consolidation_fwcompact_medium_007911,deletion_reorder,False,hard_absent_relation,0.0,0.6666666666666666,0.33333333333333337,0.9333333333333333,0.8333333333333334,0.16666666666666666,0.8,12
