arm,pair_id,category,match_level,pair_cost,target_class,target_token_len,target_freq_bin_a,target_freq_bin_b,distance_bin_a,distance_bin_b,target_norm_a,target_norm_b,pivot_norm_a,pivot_norm_b,true_m,true_m_a,true_m_b,tperm_m,cperm_m
compact,p0000771,causal_connector,0,0.0,content,1,101-250,101-250,2,2,overcome,abuse,if,because,5.79296875,-1.5625004768371582,7.355469226837158,9.648437976837158,-1.35986328125
compact,p0001319,causal_connector,0,0.0,content,1,501-1000,501-1000,2,2,lose,nose,if,because,22.328125476837158,13.062500953674316,9.265624523162842,-0.82421875,6.357422828674316
compact,p0001750,causal_connector,0,0.0,content,1,1001+,1001+,2,2,wants,should,if,because,21.91406261920929,10.07812511920929,11.8359375,1.390625,-0.248046875
compact,p0001994,causal_connector,0,0.0,content,1,1001+,1001+,2,2,goes,home,if,if,12.195312261581421,9.539062261581421,2.65625,15.812500715255737,17.388671875
compact,p0002000,causal_connector,0,0.0,content,1,1001+,1001+,3-4,3-4,help,quite,if,because,10.421875,0.90625,9.515625,0.51953125,-3.0234375
compact,p0002617,causal_connector,0,0.0,content,1,1001+,1001+,2,2,out,saw,if,if,17.21874988079071,16.43749988079071,0.78125,-4.97265625,-0.99609375
compact,p0002791,causal_connector,0,0.0,content,1,1001+,1001+,2,2,dog,rest,if,because,12.814453601837158,3.9375,8.876953601837158,5.1484375,1.24609375
compact,p0003053,causal_connector,0,0.0,content,1,1001+,1001+,2,2,pick,lord,if,if,18.634766578674316,15.078125953674316,3.556640625,-5.1015625,2.19140625
compact,p0003109,causal_connector,0,0.0,content,1,1001+,1001+,2,2,means,heart,if,because,17.48828101158142,11.355468511581421,6.1328125,-0.212158203125,-6.359375
compact,p0003231,causal_connector,0,0.0,content,2,1-2,1-2,3-4,3-4,comfort’s,freign,if,because,8.191405773162842,8.242187023162842,-0.05078125,3.103515625,-3.849609375
compact,p0003581,causal_connector,0,0.0,content,2,251-500,251-500,2,2,hadn't,didn’t,if,though,11.343750208616257,5.875000298023224,5.468749910593033,-3.849609375,3.103515625
