family,arch,arm,checkpoint,seed,role,group,n,mean_gain,mean_a_nll,mean_b_nll,sd_gain,se_gain
rewrite,D,D_R_43222,chck_100M,43222,R,ALL,5892,3.246773106752426,4.49245456685632,7.739227673608746,4.323046113433655,0.05631946220108512
rewrite,D,D_R_43222,chck_100M,43222,R,token_nonoverlap,2732,0.31488251833831155,7.455204904373373,7.7700874227116845,2.7868470091683357,0.05331786862196302
rewrite,D,D_R_43222,chck_100M,43222,R,token_overlap,3160,5.781559526862351,1.9309881358130951,7.712547662675446,3.7781930868082925,0.06721103878500058
rewrite,D,D_R_43222,chck_80M,43222,R,ALL,5892,3.1841302075767013,4.594176934268513,7.778307141845215,4.329484673138528,0.056403341995658954
rewrite,D,D_R_43222,chck_80M,43222,R,token_nonoverlap,2732,0.2254264049851922,7.572374497030232,7.797800902015425,2.7318099587764397,0.052264901518824056
rewrite,D,D_R_43222,chck_80M,43222,R,token_overlap,3160,5.742098178677968,2.0193554970960403,7.761453675774009,3.7929669798558425,0.06747385454793534
rewrite,D,D_R_43222,chck_90M,43222,R,ALL,5892,3.249795798160879,4.492076419762506,7.741872217923384,4.306645744816792,0.05610580268504825
rewrite,D,D_R_43222,chck_90M,43222,R,token_nonoverlap,2732,0.33262484864985276,7.442530744469,7.7751555931188525,2.7698810524048683,0.05299327647507283
rewrite,D,D_R_43222,chck_90M,43222,R,token_overlap,3160,5.771856251978639,1.9412405921998022,7.713096844178442,3.7724191875881985,0.06710832572732828
rewrite,D,D_V_43222,chck_100M,43222,V,ALL,5892,4.622689301465798,3.108254762533578,7.7309440639993765,4.250003655623381,0.05536788504142057
rewrite,D,D_V_43222,chck_100M,43222,V,token_nonoverlap,2732,1.9901627362548955,5.689389243634693,7.679551979889589,3.554558280801296,0.06800569633043191
rewrite,D,D_V_43222,chck_100M,43222,V,token_overlap,3160,6.8986584711354775,0.876716976974007,7.775375448109485,3.403447616872156,0.060544616043843584
rewrite,D,D_V_43222,chck_80M,43222,V,ALL,5892,4.590249084051721,3.166453279816087,7.756702363867808,4.227373032839115,0.05507305947837026
rewrite,D,D_V_43222,chck_80M,43222,V,token_nonoverlap,2732,1.9646701875345927,5.746711586232503,7.711381773767096,3.4969644982414723,0.06690381390851777
rewrite,D,D_V_43222,chck_80M,43222,V,token_overlap,3160,6.860211598382352,0.935672997180122,7.795884595562474,3.4111215548878535,0.060681129274839526
rewrite,D,D_V_43222,chck_90M,43222,V,ALL,5892,4.613550391786972,3.104961418820921,7.718511810607892,4.241399770094448,0.055255795974333485
rewrite,D,D_V_43222,chck_90M,43222,V,token_nonoverlap,2732,1.9867932750716653,5.683207983228802,7.670001258300467,3.551141210040433,0.06794032104097388
rewrite,D,D_V_43222,chck_90M,43222,V,token_overlap,3160,6.884531544592737,0.8759204017442336,7.76045194633697,3.393690997409472,0.060371053572564254
