family,arm,checkpoint,seed,role,group,n,mean_gain,mean_a_nll,mean_b_nll,sd_gain,se_gain,source,arm_role,norm_gain
copy,D_C_43022,chck_100M,43022,C,ALL,2000,3.69436349498353,0.3831298776533022,4.077493372636832,3.750357879217002,0.0838605515788116,orig,C,0.9060378907726979
copy,D_C_43022,chck_80M,43022,C,ALL,2000,3.654901640995348,0.4044440854005638,4.059345726395912,3.680002518906729,0.082287357896459,orig,C,0.9003671742540517
copy,D_C_43022,chck_90M,43022,C,ALL,2000,3.711297154229921,0.3864156427881319,4.097712797018053,3.759829905817724,0.0840723525324506,orig,C,0.9056996763976893
copy,D_R_43022,chck_100M,43022,R,ALL,2000,4.161582367425114,0.2034905019846857,4.3650728694098,4.100938536966539,0.0916997734020571,orig,R,0.9533821065369293
copy,D_R_43022,chck_80M,43022,R,ALL,2000,4.193962873260293,0.2068936748377704,4.400856548098064,4.103852187003429,0.0917649245975084,orig,R,0.9529878621180723
copy,D_R_43022,chck_90M,43022,R,ALL,2000,4.203754187105353,0.1992369764301681,4.402991163535521,4.131402944165781,0.0923809782559745,orig,R,0.9547496306419602
copy,D_V_43022,chck_100M,43022,V,ALL,2000,4.014276821363527,0.3784424102000573,4.392719231563584,4.085801879872711,0.0913613074599181,orig,V,0.9138478035471094
copy,D_V_43022,chck_80M,43022,V,ALL,2000,4.018221683784589,0.3844271502254632,4.402648834010053,4.051213013383581,0.0905878768925745,orig,V,0.9126827587847117
copy,D_V_43022,chck_90M,43022,V,ALL,2000,4.009384055191637,0.383221769253699,4.392605824445336,4.082812617916664,0.0912944655305553,orig,V,0.9127575328701184
copy,D_RS_43022,chck_100M,43022,R,ALL,2000,3.5237411776888665,0.4854874463098685,4.009228623998735,3.6511819247994817,0.0816429098207016,split,RS,0.878907517669658
copy,D_RS_43022,chck_80M,43022,R,ALL,2000,3.425217417797592,0.5350788377888261,3.9602962555864174,3.5507033603571663,0.0793961408169555,split,RS,0.864889189278696
copy,D_RS_43022,chck_90M,43022,R,ALL,2000,3.51009117645272,0.4956529504305108,4.005744126883231,3.6280450934624073,0.0811255545441652,split,RS,0.8762644505663506
