contrast,mean_gain_delta,mean_gain_delta_sd,mean_gain_delta_values,norm_gain_delta,norm_gain_delta_sd,norm_gain_delta_values,mean_a_nll_delta,mean_a_nll_delta_sd,mean_a_nll_delta_values,mean_b_nll_delta,mean_b_nll_delta_sd,mean_b_nll_delta_values
RSminusC,-0.20050417275654006,0.029537206705132348,chck_100M:-0.170622;chck_80M:-0.229684;chck_90M:-0.201206,-0.030681194636578108,0.0043110305833326205,chck_100M:-0.0271304;chck_80M:-0.035478;chck_90M:-0.0294352,0.11407654289573584,0.01474664125579188,chck_100M:0.102358;chck_80M:0.130635;chck_90M:0.109237,-0.08642762986080459,0.016123030896243975,chck_100M:-0.0682647;chck_80M:-0.0990495;chck_90M:-0.0919687
RSminusR,-0.7000832186171939,0.06568786797481477,chck_100M:-0.637841;chck_80M:-0.768745;chck_90M:-0.693663,-0.08035281392741907,0.007001425438656105,chck_100M:-0.0744746;chck_80M:-0.0880987;chck_90M:-0.0784852,0.3021993604255271,0.023630987153843434,chck_100M:0.281997;chck_80M:0.328185;chck_90M:0.296416,-0.3978838581916673,0.04236161370087009,chck_100M:-0.355844;chck_80M:-0.44056;chck_90M:-0.397247
RminusC,0.4995790458606539,0.03644685813576505,chck_100M:0.467219;chck_80M:0.539061;chck_90M:0.492457,0.04967161929084096,0.0026926084059065787,chck_100M:0.0473442;chck_80M:0.0526207;chck_90M:0.04905,-0.1881228175297912,0.008992767028092808,chck_100M:-0.179639;chck_80M:-0.19755;chck_90M:-0.187179,0.31145622833086267,0.027491297433794644,chck_100M:0.287579;chck_80M:0.341511;chck_90M:0.305278
VminusC,0.32710675671031825,0.03320617078361182,chck_100M:0.319913;chck_80M:0.36332;chck_90M:0.298087,0.009061117925833528,0.002843424314411448,chck_100M:0.00780991;chck_80M:0.0123156;chck_90M:0.00705786,-0.0092994253875928,0.009311630777289893,chck_100M:-0.00468747;chck_80M:-0.0200169;chck_90M:-0.00319387,0.31780733132272526,0.024308063800370823,chck_100M:0.315226;chck_80M:0.343303;chck_90M:0.294893
VminusR,-0.17247228915033563,0.02370196389249268,chck_100M:-0.147306;chck_80M:-0.175741;chck_90M:-0.19437,-0.040610501365007434,0.0012570361036715388,chck_100M:-0.0395343;chck_80M:-0.0403051;chck_90M:-0.0419921,0.17882339214219842,0.004652543928996912,chck_100M:0.174952;chck_80M:0.177533;chck_90M:0.183985,0.006351102991862589,0.019421371855598942,chck_100M:0.0276464;chck_80M:0.00179229;chck_90M:-0.0103853
