checkpoint,contrast,mean_gain_delta,mean_a_nll_delta,mean_b_nll_delta
chck_100M,RminusC,-0.6646676499977447,0.3655350241918489,-0.29913262580589706
chck_80M,RminusC,-0.922518839236379,0.6387975916582107,-0.2837212475781685
chck_90M,RminusC,-0.6679392194704017,0.3396621074078885,-0.328277112062513
chck_100M,RSminusC,-0.03419635082509176,-0.5546849174309108,-0.5888812682560021
chck_80M,RSminusC,-0.03733088987358579,-0.5202206582118007,-0.5575515480853879
chck_90M,RSminusC,-0.022289978948252687,-0.5658843354330543,-0.5881743143813081
chck_100M,RSminusR,0.630471299172653,-0.9202199416227597,-0.289748642450105
chck_80M,RSminusR,0.8851879493627932,-1.1590182498700115,-0.27383030050721935
chck_90M,RSminusR,0.645649240522149,-0.9055464428409428,-0.2598972023187951
chck_100M,VminusC,0.7139960551193996,-1.2010869631601029,-0.4870909080407033
chck_80M,VminusC,0.6256331679694855,-1.1113462380987853,-0.4857130701293002
chck_90M,VminusC,0.711437855507479,-1.223836653870987,-0.5123987983635088
chck_100M,VminusR,1.3786637051171442,-1.5666219873519518,-0.18795828223480626
chck_80M,VminusR,1.5481520072058645,-1.750143829756996,-0.20199182255113168
chck_90M,VminusR,1.3793770749778806,-1.5634987612788755,-0.1841216863009958
