contrast,mean_gain_delta,mean_gain_delta_sd,mean_gain_delta_values,mean_a_nll_delta,mean_a_nll_delta_sd,mean_a_nll_delta_values,mean_b_nll_delta,mean_b_nll_delta_sd,mean_b_nll_delta_values
RSminusC,-0.03127240654897675,0.007935322171362705,chck_100M:-0.0341964;chck_80M:-0.0373309;chck_90M:-0.02229,-0.5469299703585886,0.023799102029542957,chck_100M:-0.554685;chck_80M:-0.520221;chck_90M:-0.565884,-0.578202376907566,0.017887635232959484,chck_100M:-0.588881;chck_80M:-0.557552;chck_90M:-0.588174
RSminusR,0.7204361630191984,0.14288091476280632,chck_100M:0.630471;chck_80M:0.885188;chck_90M:0.645649,-0.9949282114445713,0.14229540900700843,chck_100M:-0.92022;chck_80M:-1.15902;chck_90M:-0.905546,-0.27449204842537317,0.014936718254311443,chck_100M:-0.289749;chck_80M:-0.27383;chck_90M:-0.259897
RminusC,-0.7517085695681752,0.14793507684047416,chck_100M:-0.664668;chck_80M:-0.922519;chck_90M:-0.667939,0.4479982410859827,0.16574271051788494,chck_100M:0.365535;chck_80M:0.638798;chck_90M:0.339662,-0.30371032848219287,0.022627920503909348,chck_100M:-0.299133;chck_80M:-0.283721;chck_90M:-0.328277
VminusC,0.6836890261987879,0.05029411598158635,chck_100M:0.713996;chck_80M:0.625633;chck_90M:0.711438,-1.1787566183766252,0.0594769420343922,chck_100M:-1.20109;chck_80M:-1.11135;chck_90M:-1.22384,-0.4950675921778374,0.015025067061920696,chck_100M:-0.487091;chck_80M:-0.485713;chck_90M:-0.512399
VminusR,1.4353975957669631,0.09764883613407457,chck_100M:1.37866;chck_80M:1.54815;chck_90M:1.37938,-1.6267548594626078,0.10686939284944005,chck_100M:-1.56662;chck_80M:-1.75014;chck_90M:-1.5635,-0.19135726369564457,0.00940745707553041,chck_100M:-0.187958;chck_80M:-0.201992;chck_90M:-0.184122
