family,arm,checkpoint,seed,role,group,n,mean_gain,mean_a_nll,mean_b_nll,sd_gain,se_gain,source,arm_role
rewrite,D_C_43022,chck_100M,43022,C,token_nonoverlap,2732,1.2222962530979569,6.993866054545393,8.21616230764335,3.0934573361804203,0.059183927677227,orig,C
rewrite,D_C_43022,chck_80M,43022,C,token_nonoverlap,2732,1.183997265826829,7.019573019757474,8.203570285584304,3.0239883876738487,0.0578548499569238,orig,C
rewrite,D_C_43022,chck_90M,43022,C,token_nonoverlap,2732,1.229433515487855,7.008412266804974,8.23784578229283,3.095768514827294,0.0592281450738227,orig,C
rewrite,D_R_43022,chck_100M,43022,R,token_nonoverlap,2732,0.5576286031002121,7.359401078737242,7.917029681837453,3.0248080334371217,0.0578705313936797,orig,R
rewrite,D_R_43022,chck_80M,43022,R,token_nonoverlap,2732,0.26147842659045,7.658370611415685,7.919849038006135,3.01874230776409,0.0577544821224181,orig,R
rewrite,D_R_43022,chck_90M,43022,R,token_nonoverlap,2732,0.5614942960174534,7.348074374212863,7.909568670230317,3.035960373384622,0.0580838976079685,orig,R
rewrite,D_V_43022,chck_100M,43022,V,token_nonoverlap,2732,1.9362923082173564,5.79277909138529,7.729071399602646,3.5409203346100244,0.0677447755762938,orig,V
rewrite,D_V_43022,chck_80M,43022,V,token_nonoverlap,2732,1.8096304337963145,5.908226781658689,7.717857215455004,3.4019047016311506,0.0650851328936556,orig,V
rewrite,D_V_43022,chck_90M,43022,V,token_nonoverlap,2732,1.940871370995334,5.784575612933987,7.725446983929321,3.514829376643605,0.0672456041956984,orig,V
rewrite,D_RS_43022,chck_100M,43022,R,token_nonoverlap,2732,1.188099902272865,6.439181137114482,7.627281039387348,2.8930780442954176,0.0553502774179418,split,RS
rewrite,D_RS_43022,chck_80M,43022,R,token_nonoverlap,2732,1.1466663759532432,6.499352361545673,7.646018737498916,2.8327483915601843,0.0541960524145729,split,RS
rewrite,D_RS_43022,chck_90M,43022,R,token_nonoverlap,2732,1.2071435365396024,6.44252793137192,7.649671467911522,2.8941599081805984,0.0553709756034924,split,RS
