column,group,exposure,missing,n,gain,loss,net_gain_minus_loss,net_pct,base_item_pct,cand_item_pct
BLiMP,existential_there_quantifiers_2,20M,False,911,138,106,32,3.512623490669594,40.065861690450056,43.578485181119646
BLiMP,existential_there_quantifiers_2,50M,False,911,180,88,92,10.098792535675083,29.967069154774972,40.065861690450056
BLiMP,existential_there_quantifiers_2,70M,False,911,216,54,162,17.78265642151482,21.185510428100987,38.96816684961581
BLiMP,existential_there_quantifiers_2,80M,False,911,248,48,200,21.95389681668496,21.953896816684964,43.90779363336993
BLiMP,existential_there_quantifiers_2,100M,False,911,244,50,194,21.295279912184412,19.64873765093304,40.944017563117455
BLiMP,wh_questions_object_gap,20M,False,859,70,92,-22,-2.561117578579744,40.27939464493598,37.71827706635623
BLiMP,wh_questions_object_gap,50M,False,859,239,58,181,21.07101280558789,33.87660069848661,54.94761350407451
BLiMP,wh_questions_object_gap,70M,False,859,190,58,132,15.366705471478463,37.25261932479628,52.61932479627474
BLiMP,wh_questions_object_gap,80M,False,859,187,54,133,15.48311990686845,42.724097788125725,58.207217694994185
BLiMP,wh_questions_object_gap,100M,False,859,180,58,122,14.202561117578579,41.327124563445864,55.529685681024446
BLiMP,principle_A_reconstruction,20M,False,967,132,22,110,11.375387797311271,27.30093071354705,38.67631851085832
BLiMP,principle_A_reconstruction,50M,False,967,166,87,79,8.169596690796277,37.5387797311272,45.708376421923475
BLiMP,principle_A_reconstruction,70M,False,967,127,92,35,3.6194415718717683,31.64426059979317,35.263702171664946
BLiMP,principle_A_reconstruction,80M,False,967,180,65,115,11.892450879007239,30.81695966907963,42.709410548086865
BLiMP,principle_A_reconstruction,100M,False,967,170,64,106,10.961737331954499,33.092037228541884,44.05377456049638
BLiMP,matrix_question_npi_licensor_present,20M,False,929,38,46,-8,-0.8611410118406889,10.54897739504844,9.68783638320775
BLiMP,matrix_question_npi_licensor_present,50M,False,929,101,72,29,3.1216361679224973,20.129171151776106,23.2508073196986
BLiMP,matrix_question_npi_licensor_present,70M,False,929,116,83,33,3.552206673842842,26.157158234660926,29.709364908503765
BLiMP,matrix_question_npi_licensor_present,80M,False,929,121,89,32,3.4445640473627557,32.83100107642626,36.27556512378902
BLiMP,matrix_question_npi_licensor_present,100M,False,929,161,61,100,10.76426264800861,30.247578040904198,41.01184068891281
BLiMP,only_npi_licensor_present,20M,False,882,34,131,-97,-10.997732426303855,90.702947845805,79.70521541950113
BLiMP,only_npi_licensor_present,50M,False,882,174,77,97,10.997732426303855,73.92290249433107,84.92063492063492
BLiMP,only_npi_licensor_present,70M,False,882,161,156,5,0.5668934240362812,68.82086167800453,69.38775510204081
BLiMP,only_npi_licensor_present,80M,False,882,208,104,104,11.791383219954648,64.05895691609977,75.85034013605441
BLiMP,only_npi_licensor_present,100M,False,882,226,100,126,14.285714285714286,60.544217687074834,74.82993197278913
BLiMP,npi_present_1,20M,False,909,111,27,84,9.24092409240924,18.04180418041804,27.282728272827285
BLiMP,npi_present_1,50M,False,909,84,130,-46,-5.060506050605061,29.042904290429046,23.982398239823983
BLiMP,npi_present_1,70M,False,909,144,50,94,10.34103410341034,21.45214521452145,31.79317931793179
BLiMP,npi_present_1,80M,False,909,108,62,46,5.060506050605061,17.82178217821782,22.882288228822883
BLiMP,npi_present_1,100M,False,909,131,51,80,8.800880088008801,19.03190319031903,27.83278327832783
BLiMP,npi_present_2,20M,False,914,80,30,50,5.470459518599562,21.334792122538293,26.805251641137858
BLiMP,npi_present_2,50M,False,914,55,180,-125,-13.676148796498905,45.51422319474836,31.838074398249454
BLiMP,npi_present_2,70M,False,914,138,63,75,8.205689277899344,29.64989059080963,37.85557986870897
BLiMP,npi_present_2,80M,False,914,98,98,0,0.0,29.21225382932166,29.21225382932166
BLiMP,npi_present_2,100M,False,914,108,92,16,1.75054704595186,30.525164113785557,32.27571115973742
BLiMP,left_branch_island_echo_question,20M,False,947,59,71,-12,-1.2671594508975712,51.319957761351645,50.05279831045406
BLiMP,left_branch_island_echo_question,50M,False,947,61,159,-98,-10.348468848996832,48.57444561774023,38.2259767687434
BLiMP,left_branch_island_echo_question,70M,False,947,96,77,19,2.0063357972544877,37.48680042238649,39.493136219640974
BLiMP,left_branch_island_echo_question,80M,False,947,94,86,8,0.8447729672650475,35.90285110876452,36.74762407602957
BLiMP,left_branch_island_echo_question,100M,False,947,97,88,9,0.9503695881731784,37.59239704329461,38.54276663146779
BLiMP,adjunct_island,20M,False,928,113,54,59,6.357758620689655,56.25,62.60775862068966
BLiMP,adjunct_island,50M,False,928,91,183,-92,-9.913793103448276,71.98275862068965,62.06896551724138
BLiMP,adjunct_island,70M,False,928,92,115,-23,-2.478448275862069,77.69396551724138,75.21551724137932
BLiMP,adjunct_island,80M,False,928,106,113,-7,-0.7543103448275862,74.03017241379311,73.27586206896551
BLiMP,adjunct_island,100M,False,928,120,95,25,2.6939655172413794,72.62931034482759,75.32327586206897
BLiMP,wh_vs_that_with_gap,20M,False,919,24,38,-14,-1.5233949945593035,10.228509249183896,8.705114254624592
BLiMP,wh_vs_that_with_gap,50M,False,919,57,133,-76,-8.269858541893363,31.229597388465724,22.95973884657236
BLiMP,wh_vs_that_with_gap,70M,False,919,63,111,-48,-5.223068552774755,51.79542981501633,46.57236126224157
BLiMP,wh_vs_that_with_gap,80M,False,919,74,117,-43,-4.6789989118607185,47.76931447225245,43.09031556039173
BLiMP,wh_vs_that_with_gap,100M,False,919,68,107,-39,-4.243743199129488,52.23068552774755,47.98694232861806
BLiMP,existential_there_object_raising,20M,False,812,40,40,0,0.0,69.33497536945814,69.33497536945814
BLiMP,existential_there_object_raising,50M,False,812,42,64,-22,-2.70935960591133,74.8768472906404,72.16748768472905
BLiMP,existential_there_object_raising,70M,False,812,30,74,-44,-5.41871921182266,76.72413793103449,71.30541871921181
BLiMP,existential_there_object_raising,80M,False,812,22,60,-38,-4.679802955665025,78.32512315270937,73.64532019704434
BLiMP,existential_there_object_raising,100M,False,812,23,53,-30,-3.6945812807881775,78.07881773399015,74.38423645320196
Supplement,subject_aux_inversion,20M,False,3867,248,261,-13,-0.3361779156969227,77.06232221360227,76.72614429790535
Supplement,subject_aux_inversion,50M,False,3867,179,330,-151,-3.904835790018102,84.53581587794156,80.63098008792345
Supplement,subject_aux_inversion,70M,False,3867,169,271,-102,-2.6377036462373935,82.85492629945695,80.21722265321955
Supplement,subject_aux_inversion,80M,False,3867,164,266,-102,-2.6377036462373935,83.55314197051979,80.91543832428239
Supplement,subject_aux_inversion,100M,False,3867,146,307,-161,-4.163434186708042,85.10473235065943,80.94129816395139
Supplement,qa_congruence_tricky,20M,False,165,8,7,1,0.6060606060606061,35.75757575757576,36.36363636363637
Supplement,qa_congruence_tricky,50M,False,165,20,8,12,7.2727272727272725,38.78787878787879,46.06060606060606
Supplement,qa_congruence_tricky,70M,False,165,10,13,-3,-1.8181818181818181,43.03030303030303,41.21212121212121
Supplement,qa_congruence_tricky,80M,False,165,17,10,7,4.242424242424242,42.42424242424242,46.666666666666664
Supplement,qa_congruence_tricky,100M,False,165,22,10,12,7.2727272727272725,42.42424242424242,49.696969696969695
Supplement,qa_congruence_easy,20M,False,64,4,4,0,0.0,53.125,53.125
Supplement,qa_congruence_easy,50M,False,64,5,5,0,0.0,60.9375,60.9375
Supplement,qa_congruence_easy,70M,False,64,8,2,6,9.375,54.6875,64.0625
Supplement,qa_congruence_easy,80M,False,64,9,2,7,10.9375,57.8125,68.75
Supplement,qa_congruence_easy,100M,False,64,8,4,4,6.25,59.375,65.625
Supplement,hypernym,20M,False,842,94,86,8,0.9501187648456056,49.16864608076009,50.1187648456057
Supplement,hypernym,50M,False,842,85,106,-21,-2.494061757719715,50.5938242280285,48.09976247030879
Supplement,hypernym,70M,False,842,85,79,6,0.7125890736342043,49.16864608076009,49.8812351543943
Supplement,hypernym,80M,False,842,76,102,-26,-3.0878859857482186,51.66270783847982,48.574821852731596
Supplement,hypernym,100M,False,842,79,88,-9,-1.0688836104513064,51.78147268408551,50.712589073634206
Supplement,turn_taking,20M,False,280,16,8,8,2.857142857142857,62.142857142857146,65.0
Supplement,turn_taking,50M,False,280,13,16,-3,-1.0714285714285714,60.71428571428571,59.64285714285714
Supplement,turn_taking,70M,False,280,9,9,0,0.0,66.78571428571428,66.78571428571428
Supplement,turn_taking,80M,False,280,9,8,1,0.35714285714285715,67.85714285714286,68.21428571428572
Supplement,turn_taking,100M,False,280,10,9,1,0.35714285714285715,67.14285714285714,67.5
EWoK,material-properties,20M,False,170,32,21,11,6.470588235294118,42.35294117647059,48.8235294117647
EWoK,material-properties,50M,False,170,16,32,-16,-9.411764705882353,58.82352941176471,49.411764705882355
EWoK,material-properties,70M,False,170,26,37,-11,-6.470588235294118,54.70588235294118,48.23529411764706
EWoK,material-properties,80M,False,170,21,39,-18,-10.588235294117647,58.235294117647065,47.647058823529406
EWoK,material-properties,100M,False,170,21,40,-19,-11.176470588235293,58.82352941176471,47.647058823529406
EWoK,material-dynamics,20M,False,770,103,143,-40,-5.194805194805195,55.58441558441558,50.38961038961038
EWoK,material-dynamics,50M,False,770,127,158,-31,-4.025974025974026,47.01298701298701,42.98701298701298
EWoK,material-dynamics,70M,False,770,129,111,18,2.3376623376623376,51.81818181818182,54.15584415584416
EWoK,material-dynamics,80M,False,770,127,141,-14,-1.8181818181818181,51.94805194805194,50.12987012987013
EWoK,material-dynamics,100M,False,770,145,137,8,1.0389610389610389,49.35064935064935,50.38961038961038
EWoK,social-interactions,20M,False,294,37,65,-28,-9.523809523809524,60.204081632653065,50.68027210884354
EWoK,social-interactions,50M,False,294,37,53,-16,-5.442176870748299,58.50340136054422,53.06122448979592
EWoK,social-interactions,70M,False,294,36,65,-29,-9.863945578231293,61.224489795918366,51.36054421768708
EWoK,social-interactions,80M,False,294,40,57,-17,-5.782312925170068,59.523809523809526,53.74149659863946
EWoK,social-interactions,100M,False,294,34,59,-25,-8.503401360544217,59.523809523809526,51.02040816326531
EWoK,social-relations,20M,False,1548,252,217,35,2.260981912144703,48.25581395348838,50.51679586563308
EWoK,social-relations,50M,False,1548,250,258,-8,-0.5167958656330749,49.935400516795866,49.41860465116279
