feature,standardized_ridge_coefficient
prev_to_fraction,0.3738511441098205
qwen_occurrence_fraction,-0.35551401525674164
child_speaker_fraction,-0.3536096257548667
childes_enrichment,-0.3384790030162577
single_piece,-0.2593566819235669
mean_clause_words,0.25237241459090537
clause_le3_fraction,-0.24869199149541169
vowel_group_count,0.23318830645700261
char_len,0.20775505647162137
childes_logfreq,-0.20357444650172235
first_piece_id_scaled,0.2021030410258591
childes_occurrence_fraction,-0.16247196341227155
occurrence_centroid_fraction,0.12761961076586287
suffix_y,0.1253443594296543
subword_len,-0.12428233021536839
suffix_ing,0.1109321816293155
spoken_logfreq,-0.08540768040182148
first_occurrence_log10_position,-0.08080643230585359
piece_logfreq_min,-0.07413737772552471
whole_logfreq,-0.06442090430831383
piece_logfreq_max,0.061133562890119425
spoken_enrichment,-0.0523027393055506
source_entropy,-0.04949800544986321
prev_determiner_fraction,-0.039221132394860594
source_presence_count,-0.0360232371799558
suffix_plural_s,-0.030922284938195602
suffix_ed,0.028615943318439457
spoken_occurrence_fraction,-0.01991235469621506
piece_logfreq_mean,0.001728240273323346
early_10m_fraction,0.0
